YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2013,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,379.0,968.0,1050.0,900.0,1231.0,1155.0
2013,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,1125.0,364.0,1370.0,242.0,1725.0,766.0
2013,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,647.0,473.0,1310.0,585.0,1853.0,573.0
2013,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,,,,,
2013,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,586.0,733.0,1083.0,567.0,1223.0,1487.0
2013,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,1680.0,635.0,2001.0,,2001.0,
2013,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,1630.0,149.0,1940.0,230.0,2001.0,
2013,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,1371.0,115.0,1683.0,270.0,2001.0,
2013,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,1490.0,150.0,1769.0,135.0,2001.0,
2013,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,1626.0,60.0,1868.0,83.0,2001.0,
2013,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,1618.0,158.0,1826.0,230.0,2001.0,
2013,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,1125.0,364.0,1370.0,242.0,1725.0,766.0
2013,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,1552.0,420.0,1701.0,111.0,1851.0,56.0
2013,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,99.0,,99.0,,528.0,1807.0
2013,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,586.0,733.0,1083.0,567.0,1223.0,1487.0
2013,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,862.0,98.0,1151.0,107.0,1500.0,127.0
2013,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,977.0,59.0,1175.0,76.0,1413.0,93.0
2013,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,954.0,45.0,1142.0,56.0,1411.0,110.0
2013,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1047.0,52.0,1221.0,72.0,1591.0,223.0
2013,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1098.0,77.0,1430.0,161.0,1896.0,185.0
2013,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1095.0,54.0,1325.0,78.0,1662.0,99.0
2013,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,747.0,159.0,1047.0,164.0,1278.0,173.0
2013,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,836.0,67.0,1019.0,138.0,1327.0,201.0
2013,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1006.0,62.0,1241.0,98.0,1651.0,154.0
2013,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,931.0,36.0,1060.0,51.0,1215.0,44.0
2013,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,920.0,41.0,1060.0,64.0,1233.0,67.0
2013,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,901.0,93.0,1034.0,125.0,1304.0,139.0
2013,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,882.0,53.0,1001.0,150.0,1354.0,81.0
2013,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,924.0,71.0,1098.0,53.0,1259.0,105.0
2013,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,860.0,162.0,1174.0,248.0,1561.0,224.0
2013,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,973.0,73.0,1128.0,49.0,1428.0,324.0
2013,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,964.0,62.0,1136.0,51.0,1347.0,78.0
2013,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,946.0,76.0,1170.0,96.0,1585.0,222.0
2013,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1023.0,50.0,1161.0,46.0,1372.0,104.0
2013,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,981.0,301.0,1438.0,398.0,1875.0,362.0
2013,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,940.0,61.0,1147.0,127.0,1433.0,170.0
2013,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,944.0,59.0,1092.0,80.0,1250.0,354.0
2013,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1388.0,194.0,1693.0,218.0,2001.0,
2013,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,846.0,47.0,967.0,26.0,1157.0,49.0
2013,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,1021.0,97.0,1177.0,151.0,1627.0,398.0
2013,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,1136.0,156.0,1412.0,198.0,1946.0,433.0
2013,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,1507.0,778.0,1726.0,162.0,1946.0,170.0
2013,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,931.0,283.0,1343.0,296.0,1857.0,372.0
2013,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,920.0,90.0,1136.0,157.0,1461.0,145.0
2013,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,945.0,69.0,1178.0,132.0,1446.0,130.0
2013,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,973.0,176.0,1179.0,103.0,1632.0,275.0
2013,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,1044.0,340.0,1628.0,626.0,2001.0,
2013,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,881.0,93.0,1265.0,206.0,1907.0,291.0
2013,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,1094.0,76.0,1272.0,154.0,1818.0,592.0
2013,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,1277.0,352.0,1461.0,187.0,1949.0,424.0
2013,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,1813.0,724.0,2001.0,,2001.0,
2013,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,986.0,58.0,1160.0,89.0,1535.0,440.0
2013,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,1112.0,127.0,1503.0,233.0,1860.0,160.0
2013,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,1028.0,81.0,1308.0,114.0,1681.0,171.0
2013,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,1122.0,50.0,1395.0,146.0,1780.0,81.0
2013,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,1028.0,108.0,1357.0,183.0,1864.0,200.0
2013,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,1008.0,72.0,1120.0,55.0,1232.0,561.0
2013,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,1031.0,137.0,1160.0,68.0,1378.0,222.0
2013,6037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,907.0,179.0,1194.0,125.0,1484.0,161.0
2013,6037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,1210.0,296.0,1612.0,172.0,1896.0,158.0
2013,6037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,867.0,283.0,1280.0,258.0,1554.0,272.0
2013,6037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,986.0,157.0,1204.0,178.0,1659.0,176.0
2013,6037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,743.0,158.0,892.0,253.0,1666.0,621.0
2013,6037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,969.0,380.0,1160.0,104.0,2001.0,
2013,6037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,1102.0,145.0,1466.0,213.0,1882.0,182.0
2013,6037431900,Census Tract 4319,Arcadia,Los Angeles County,California,Arcadia,844.0,40.0,1006.0,77.0,1216.0,183.0
2013,6037432500,Census Tract 4325,Arcadia,Los Angeles County,California,Arcadia,852.0,120.0,1155.0,143.0,1447.0,136.0
2013,6037463101,Census Tract 4631.01,Arcadia,Los Angeles County,California,Arcadia,995.0,88.0,1198.0,106.0,1634.0,217.0
2013,6037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,914.0,38.0,1057.0,93.0,1340.0,140.0
2013,6037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,1398.0,390.0,1690.0,124.0,1926.0,107.0
2013,6037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,1593.0,564.0,1827.0,163.0,2001.0,
2013,6037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,1929.0,337.0,2001.0,,2001.0,
2013,6037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,1278.0,126.0,1505.0,261.0,2001.0,
2013,6037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,1010.0,608.0,1558.0,203.0,1790.0,105.0
2013,6037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,1057.0,32.0,1199.0,44.0,1479.0,144.0
2013,6037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,1077.0,61.0,1255.0,144.0,1615.0,200.0
2013,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,913.0,152.0,1251.0,140.0,1702.0,176.0
2013,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,697.0,172.0,847.0,172.0,1045.0,212.0
2013,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,848.0,129.0,1168.0,119.0,1450.0,238.0
2013,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1070.0,81.0,1214.0,129.0,1410.0,188.0
2013,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1030.0,1194.0,1519.0,399.0,1851.0,265.0
2013,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,1118.0,197.0,1505.0,537.0,1839.0,251.0
2013,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,886.0,343.0,1101.0,88.0,1210.0,514.0
2013,6037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,2001.0,,2001.0,,2001.0,
2013,6037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,775.0,42.0,1000.0,98.0,1170.0,51.0
2013,6037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,1029.0,111.0,1227.0,109.0,1486.0,233.0
2013,6037400604,Census Tract 4006.04,Azusa,Los Angeles County,California,Azusa,1010.0,94.0,1190.0,115.0,1408.0,115.0
2013,6037400800,Census Tract 4008,Azusa,Los Angeles County,California,Azusa,508.0,657.0,1077.0,425.0,1432.0,445.0
2013,6037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,1092.0,40.0,1208.0,66.0,1438.0,202.0
2013,6037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,1076.0,149.0,1310.0,132.0,1479.0,229.0
2013,6037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,833.0,95.0,1004.0,78.0,1146.0,53.0
2013,6037404202,Census Tract 4042.02,Azusa,Los Angeles County,California,Azusa,841.0,209.0,1104.0,106.0,1517.0,389.0
2013,6037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,943.0,53.0,1152.0,78.0,1432.0,112.0
2013,6037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,963.0,65.0,1110.0,166.0,1300.0,130.0
2013,6037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,922.0,126.0,1200.0,119.0,1386.0,61.0
2013,6037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,986.0,202.0,1314.0,174.0,1614.0,206.0
2013,6037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,992.0,64.0,1134.0,88.0,1310.0,138.0
2013,6037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,968.0,376.0,1238.0,206.0,1439.0,150.0
