YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25059_001E,B25059_001M
2015,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,1258,423
2015,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2015,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,1804,372
2015,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,1827,128
2015,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,2137,940
2015,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,2667,274
2015,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,2420,335
2015,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,2256,235
2015,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,2253,120
2015,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,2286,187
2015,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,3301,958
2015,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2015,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,1934,589
2015,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,1938,676
2015,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,2137,940
2015,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1546,124
2015,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1375,112
2015,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1420,104
2015,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1469,166
2015,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1757,168
2015,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1673,134
2015,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,1353,183
2015,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,1404,133
2015,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1447,68
2015,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1226,36
2015,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1242,73
2015,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,1362,141
2015,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,1394,36
2015,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1247,95
2015,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,1411,78
2015,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,1585,142
2015,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,1347,107
2015,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,1556,201
2015,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1293,99
2015,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,1757,129
2015,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,1652,235
2015,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,1238,138
2015,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1960,217
2015,06037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1173,72
2015,06037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,1922,1340
2015,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,1953,435
2015,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,1827,120
2015,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,1754,192
2015,06037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,1543,259
2015,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,1603,192
2015,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,1501,200
2015,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,1880,1002
2015,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,1729,262
2015,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,2206,382
2015,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,2333,746
2015,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,2633,367
2015,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,1465,236
2015,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,1733,129
2015,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,1696,113
2015,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,1754,65
2015,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,1876,142
2015,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,1730,458
2015,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,1981,359
