YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,1228.0,94.0,1591.0,117.0,1945.0,129.0,$1591,$1945,$1228,1
2021,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1353.0,51.0,1613.0,100.0,1932.0,106.0,$1613,$1932,$1353,1
2021,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1210.0,85.0,1459.0,70.0,1789.0,66.0,$1459,$1789,$1210,1
2021,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1355.0,184.0,1692.0,117.0,1976.0,167.0,$1692,$1976,$1355,1
2021,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,1031.0,408.0,1344.0,331.0,1802.0,302.0,$1344,$1802,$1031,1
2021,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,1088.0,322.0,1539.0,177.0,1853.0,109.0,$1539,$1853,$1088,1
2021,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1262.0,94.0,1546.0,116.0,1864.0,75.0,$1546,$1864,$1262,1
2021,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1261.0,118.0,1497.0,113.0,1805.0,92.0,$1497,$1805,$1261,1
2021,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1264.0,64.0,1406.0,43.0,1689.0,198.0,$1406,$1689,$1264,1
2021,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,1076.0,123.0,1350.0,225.0,1739.0,150.0,$1350,$1739,$1076,1
2021,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,1245.0,194.0,1455.0,103.0,2048.0,316.0,$1455,$2048,$1245,1
2021,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,1369.0,90.0,1709.0,121.0,2150.0,226.0,$1709,$2150,$1369,1
2021,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,1304.0,336.0,1705.0,139.0,1997.0,203.0,$1705,$1997,$1304,1
2021,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,1121.0,113.0,1542.0,238.0,1927.0,183.0,$1542,$1927,$1121,1
2021,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,1303.0,73.0,1508.0,194.0,2007.0,241.0,$1508,$2007,$1303,1
2021,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,1068.0,163.0,1362.0,116.0,1697.0,168.0,$1362,$1697,$1068,1
2021,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1255.0,114.0,1521.0,94.0,1822.0,56.0,$1521,$1822,$1255,1
2021,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,1671.0,1177.0,2100.0,244.0,2325.0,120.0,$2100,$2325,$1671,1
2021,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,1289.0,308.0,1695.0,132.0,1983.0,186.0,$1695,$1983,$1289,1
2021,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,1360.0,195.0,1695.0,167.0,2030.0,585.0,$1695,$2030,$1360,1
2012,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,791.0,118.0,1123.0,81.0,1465.0,118.0,$1123,$1465,$791,1
2012,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1039.0,52.0,1213.0,73.0,1418.0,73.0,$1213,$1418,$1039,1
2012,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,888.0,83.0,1113.0,93.0,1365.0,75.0,$1113,$1365,$888,1
2012,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1027.0,63.0,1176.0,64.0,1477.0,244.0,$1176,$1477,$1027,1
2012,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1125.0,67.0,1398.0,140.0,1876.0,201.0,$1398,$1876,$1125,1
2012,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1088.0,57.0,1334.0,81.0,1659.0,116.0,$1334,$1659,$1088,1
2012,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,804.0,151.0,1094.0,155.0,1395.0,269.0,$1094,$1395,$804,1
2012,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,820.0,86.0,1011.0,251.0,1353.0,156.0,$1011,$1353,$820,1
2012,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,984.0,40.0,1210.0,89.0,1635.0,122.0,$1210,$1635,$984,1
2012,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,939.0,26.0,1058.0,49.0,1216.0,43.0,$1058,$1216,$939,1
2012,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,914.0,59.0,1086.0,51.0,1244.0,70.0,$1086,$1244,$914,1
2012,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,904.0,186.0,1076.0,95.0,1226.0,99.0,$1076,$1226,$904,1
2012,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,819.0,94.0,945.0,62.0,1268.0,171.0,$945,$1268,$819,1
2012,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,951.0,81.0,1118.0,45.0,1295.0,115.0,$1118,$1295,$951,1
2012,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,780.0,176.0,1263.0,214.0,1710.0,247.0,$1263,$1710,$780,1
2012,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,966.0,62.0,1129.0,61.0,1386.0,216.0,$1129,$1386,$966,1
2012,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,968.0,55.0,1129.0,58.0,1321.0,107.0,$1129,$1321,$968,1
2012,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,873.0,99.0,1144.0,114.0,1580.0,240.0,$1144,$1580,$873,1
2012,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,983.0,108.0,1153.0,63.0,1385.0,121.0,$1153,$1385,$983,1
2012,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,941.0,464.0,1250.0,675.0,1984.0,529.0,$1250,$1984,$941,1
2012,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,924.0,68.0,1071.0,121.0,1302.0,103.0,$1071,$1302,$924,1
2012,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,903.0,151.0,1017.0,84.0,1193.0,79.0,$1017,$1193,$903,1
2013,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,862.0,98.0,1151.0,107.0,1500.0,127.0,$1151,$1500,$862,1
2013,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,977.0,59.0,1175.0,76.0,1413.0,93.0,$1175,$1413,$977,1
2013,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,954.0,45.0,1142.0,56.0,1411.0,110.0,$1142,$1411,$954,1
2013,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1047.0,52.0,1221.0,72.0,1591.0,223.0,$1221,$1591,$1047,1
2013,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,1098.0,77.0,1430.0,161.0,1896.0,185.0,$1430,$1896,$1098,1
2013,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,1095.0,54.0,1325.0,78.0,1662.0,99.0,$1325,$1662,$1095,1
2013,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,747.0,159.0,1047.0,164.0,1278.0,173.0,$1047,$1278,$747,1
2013,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,836.0,67.0,1019.0,138.0,1327.0,201.0,$1019,$1327,$836,1
2013,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1006.0,62.0,1241.0,98.0,1651.0,154.0,$1241,$1651,$1006,1
2013,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,931.0,36.0,1060.0,51.0,1215.0,44.0,$1060,$1215,$931,1
2013,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,920.0,41.0,1060.0,64.0,1233.0,67.0,$1060,$1233,$920,1
2013,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,901.0,93.0,1034.0,125.0,1304.0,139.0,$1034,$1304,$901,1
2013,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,882.0,53.0,1001.0,150.0,1354.0,81.0,$1001,$1354,$882,1
2013,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,924.0,71.0,1098.0,53.0,1259.0,105.0,$1098,$1259,$924,1
2013,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,860.0,162.0,1174.0,248.0,1561.0,224.0,$1174,$1561,$860,1
2013,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,973.0,73.0,1128.0,49.0,1428.0,324.0,$1128,$1428,$973,1
2013,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,964.0,62.0,1136.0,51.0,1347.0,78.0,$1136,$1347,$964,1
2013,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,946.0,76.0,1170.0,96.0,1585.0,222.0,$1170,$1585,$946,1
2013,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,1023.0,50.0,1161.0,46.0,1372.0,104.0,$1161,$1372,$1023,1
2013,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,981.0,301.0,1438.0,398.0,1875.0,362.0,$1438,$1875,$981,1
2013,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,940.0,61.0,1147.0,127.0,1433.0,170.0,$1147,$1433,$940,1
2013,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,944.0,59.0,1092.0,80.0,1250.0,354.0,$1092,$1250,$944,1
