YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,839.0,211.0,1536.0,465.0,1952.0,292.0,$1536,$1952,$839
2010,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,814.0,43.0,929.0,74.0,1145.0,64.0,$929,$1145,$814
2011,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,886.0,792.0,1662.0,191.0,1964.0,251.0,$1662,$1964,$886
2011,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,823.0,42.0,975.0,50.0,1167.0,52.0,$975,$1167,$823
2012,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1268.0,575.0,1645.0,154.0,1893.0,124.0,$1645,$1893,$1268
2012,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,845.0,46.0,980.0,46.0,1228.0,74.0,$980,$1228,$845
2013,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1388.0,194.0,1693.0,218.0,2001.0,,$1693,Not available. Exceeds $2000!,$1388
2013,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,846.0,47.0,967.0,26.0,1157.0,49.0,$967,$1157,$846
2014,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1382.0,161.0,1690.0,246.0,2001.0,,$1690,Not available. Exceeds $2000!,$1382
2014,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,839.0,37.0,955.0,37.0,1133.0,55.0,$955,$1133,$839
2015,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1288.0,176.0,1569.0,239.0,1960.0,217.0,$1569,$1960,$1288
2015,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,844.0,33.0,961.0,42.0,1173.0,72.0,$961,$1173,$844
2016,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1264.0,179.0,1484.0,202.0,1870.0,215.0,$1484,$1870,$1264
2016,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,864.0,37.0,997.0,61.0,1250.0,76.0,$997,$1250,$864
2017,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1107.0,212.0,1371.0,474.0,2153.0,605.0,$1371,$2153,$1107
2017,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,916.0,47.0,1057.0,73.0,1277.0,102.0,$1057,$1277,$916
2018,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1232.0,177.0,1520.0,371.0,2179.0,604.0,$1520,$2179,$1232
2018,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,944.0,29.0,1100.0,78.0,1367.0,107.0,$1100,$1367,$944
2019,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1295.0,149.0,1509.0,498.0,2394.0,644.0,$1509,$2394,$1295
2019,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,976.0,38.0,1186.0,83.0,1444.0,81.0,$1186,$1444,$976
2020,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1274.0,152.0,1436.0,464.0,2558.0,1302.0,$1436,$2558,$1274
2020,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1044.0,50.0,1170.0,56.0,1382.0,167.0,$1170,$1382,$1044
2021,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1447.0,908.0,2671.0,1010.0,3501.0,,$2671,Not available. Exceeds $3500!,$1447
2021,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1074.0,71.0,1243.0,135.0,1623.0,185.0,$1243,$1623,$1074
2022,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,,,2755.0,636.0,3501.0,,$2755,Not available. Exceeds $3500!,Not Available!
2022,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1256.0,109.0,1496.0,127.0,1785.0,96.0,$1496,$1785,$1256
2023,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,1875.0,633.0,2478.0,482.0,2878.0,897.0,$2478,$2878,$1875
2023,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,1431.0,120.0,1668.0,75.0,1886.0,63.0,$1668,$1886,$1431
