YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,1443.0,278.0,1806.0,503.0,2178.0,378.0,$1806,$2178,$1443,1
2021,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,1374.0,140.0,1613.0,276.0,1933.0,448.0,$1613,$1933,$1374,1
2021,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,972.0,519.0,1471.0,847.0,2580.0,474.0,$1471,$2580,$972,1
2021,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,1200.0,208.0,1525.0,468.0,2309.0,690.0,$1525,$2309,$1200,1
2021,6037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,1511.0,390.0,1717.0,89.0,1924.0,232.0,$1717,$1924,$1511,1
2021,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,1259.0,224.0,1447.0,117.0,1806.0,192.0,$1447,$1806,$1259,1
2021,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,1350.0,192.0,1711.0,166.0,2135.0,254.0,$1711,$2135,$1350,1
2021,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,1563.0,600.0,1887.0,607.0,2772.0,1075.0,$1887,$2772,$1563,1
2021,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,1273.0,257.0,2023.0,794.0,2619.0,305.0,$2023,$2619,$1273,1
2021,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,1197.0,808.0,1919.0,300.0,2888.0,1007.0,$1919,$2888,$1197,1
2012,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,1017.0,184.0,1161.0,144.0,1487.0,413.0,$1161,$1487,$1017,1
2012,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,1093.0,151.0,1357.0,168.0,1854.0,445.0,$1357,$1854,$1093,1
2012,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,1116.0,538.0,1668.0,247.0,1939.0,225.0,$1668,$1939,$1116,1
2012,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,1040.0,203.0,1387.0,284.0,1946.0,423.0,$1387,$1946,$1040,1
2012,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,860.0,128.0,1141.0,176.0,1473.0,143.0,$1141,$1473,$860,1
2012,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,986.0,93.0,1191.0,95.0,1460.0,144.0,$1191,$1460,$986,1
2012,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,836.0,204.0,1132.0,107.0,1559.0,314.0,$1132,$1559,$836,1
2012,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,1076.0,378.0,1681.0,673.0,2001.0,,$1681,Not available. Exceeds $2000!,$1076,1
2012,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,913.0,123.0,1200.0,138.0,1733.0,419.0,$1200,$1733,$913,1
2012,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,1110.0,63.0,1282.0,111.0,1483.0,626.0,$1282,$1483,$1110,1
