YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1124.0,282.0,1385.0,79.0,1652.0,185.0,$1385,$1652,$1124,1
2021,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1538.0,544.0,1833.0,256.0,2444.0,621.0,$1833,$2444,$1538,1
2021,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,,,1704.0,575.0,2548.0,883.0,$1704,$2548,Not Available!,1
2021,6037980035,Census Tract 9800.35,Avocado Heights,Los Angeles County,California,AvocadoHeights,778.0,31.0,870.0,98.0,1135.0,580.0,$870,$1135,$778,1
2012,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1001.0,316.0,1203.0,152.0,1476.0,223.0,$1203,$1476,$1001,1
2012,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1090.0,87.0,1250.0,216.0,1653.0,267.0,$1250,$1653,$1090,1
2012,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1133.0,1251.0,1565.0,343.0,1894.0,286.0,$1565,$1894,$1133,1
2012,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,1136.0,167.0,1330.0,471.0,1699.0,412.0,$1330,$1699,$1136,1
2012,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1048.0,76.0,1135.0,52.0,1222.0,477.0,$1135,$1222,$1048,1
2013,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,848.0,129.0,1168.0,119.0,1450.0,238.0,$1168,$1450,$848,1
2013,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1070.0,81.0,1214.0,129.0,1410.0,188.0,$1214,$1410,$1070,1
2013,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1030.0,1194.0,1519.0,399.0,1851.0,265.0,$1519,$1851,$1030,1
2013,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,1118.0,197.0,1505.0,537.0,1839.0,251.0,$1505,$1839,$1118,1
2013,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,886.0,343.0,1101.0,88.0,1210.0,514.0,$1101,$1210,$886,1
2014,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,810.0,176.0,1076.0,164.0,1280.0,144.0,$1076,$1280,$810,1
2014,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1101.0,155.0,1352.0,168.0,1671.0,366.0,$1352,$1671,$1101,1
2014,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1012.0,1056.0,1176.0,246.0,1566.0,522.0,$1176,$1566,$1012,1
2014,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,909.0,645.0,1189.0,642.0,1860.0,545.0,$1189,$1860,$909,1
2014,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1012.0,370.0,1128.0,81.0,1245.0,318.0,$1128,$1245,$1012,1
2023,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,1354.0,84.0,1583.0,166.0,1864.0,141.0,$1583,$1864,$1354,1
2023,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,1932.0,929.0,2245.0,213.0,2497.0,388.0,$2245,$2497,$1932,1
2023,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,2056.0,1412.0,2301.0,209.0,2578.0,287.0,$2301,$2578,$2056,1
2023,6037980035,Census Tract 9800.35,Avocado Heights,Los Angeles County,California,AvocadoHeights,821.0,102.0,1255.0,816.0,1505.0,238.0,$1255,$1505,$821,1
2011,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,914.0,210.0,1151.0,156.0,1572.0,424.0,$1151,$1572,$914,1
