YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1276.0,314.0,1640.0,285.0,2086.0,322.0,$1640,$2086,$1276,1
2021,6037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1292.0,282.0,1610.0,136.0,1877.0,92.0,$1610,$1877,$1292,1
2021,6037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,1208.0,103.0,1415.0,99.0,1730.0,142.0,$1415,$1730,$1208,1
2021,6037404804,Census Tract 4048.04,Baldwin Park,Los Angeles County,California,BaldwinPark,1159.0,343.0,1455.0,159.0,1825.0,187.0,$1455,$1825,$1159,1
2021,6037404805,Census Tract 4048.05,Baldwin Park,Los Angeles County,California,BaldwinPark,510.0,479.0,1336.0,87.0,1514.0,186.0,$1336,$1514,$510,1
2021,6037404806,Census Tract 4048.06,Baldwin Park,Los Angeles County,California,BaldwinPark,1300.0,67.0,1485.0,94.0,1787.0,90.0,$1485,$1787,$1300,1
2021,6037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,994.0,379.0,1433.0,142.0,1779.0,164.0,$1433,$1779,$994,1
2021,6037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1338.0,227.0,1598.0,195.0,1930.0,178.0,$1598,$1930,$1338,1
2021,6037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,1191.0,256.0,1463.0,169.0,1903.0,274.0,$1463,$1903,$1191,1
2021,6037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,,,1509.0,345.0,1791.0,164.0,$1509,$1791,Not Available!,1
2021,6037405002,Census Tract 4050.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1302.0,33.0,1386.0,32.0,1471.0,104.0,$1386,$1471,$1302,1
2021,6037405101,Census Tract 4051.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1307.0,72.0,1470.0,174.0,1871.0,235.0,$1470,$1871,$1307,1
2021,6037405102,Census Tract 4051.02,Baldwin Park,Los Angeles County,California,BaldwinPark,1148.0,150.0,1606.0,123.0,1851.0,72.0,$1606,$1851,$1148,1
2021,6037405201,Census Tract 4052.01,Baldwin Park,Los Angeles County,California,BaldwinPark,1092.0,230.0,1566.0,158.0,1843.0,87.0,$1566,$1843,$1092,1
2021,6037405202,Census Tract 4052.02,Baldwin Park,Los Angeles County,California,BaldwinPark,942.0,66.0,1320.0,130.0,1663.0,210.0,$1320,$1663,$942,1
2021,6037405203,Census Tract 4052.03,Baldwin Park,Los Angeles County,California,BaldwinPark,1585.0,150.0,1803.0,142.0,2333.0,933.0,$1803,$2333,$1585,1
2021,6037406903,Census Tract 4069.03,Baldwin Park,Los Angeles County,California,BaldwinPark,546.0,510.0,1199.0,471.0,1784.0,133.0,$1199,$1784,$546,1
