YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,1000.0,78.0,1247.0,87.0,1466.0,78.0,$1247,$1466,$1000,1
2021,6037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,1167.0,83.0,1434.0,102.0,1779.0,105.0,$1434,$1779,$1167,1
2021,6037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,1025.0,111.0,1282.0,114.0,1608.0,248.0,$1282,$1608,$1025,1
2021,6037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,1176.0,166.0,1425.0,80.0,1766.0,123.0,$1425,$1766,$1176,1
2021,6037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,863.0,109.0,1085.0,381.0,1398.0,114.0,$1085,$1398,$863,1
2021,6037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,1017.0,95.0,1310.0,91.0,1575.0,138.0,$1310,$1575,$1017,1
2021,6037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,994.0,148.0,1329.0,54.0,1491.0,214.0,$1329,$1491,$994,1
2021,6037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,923.0,142.0,1346.0,84.0,1665.0,129.0,$1346,$1665,$923,1
2021,6037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,918.0,261.0,1272.0,117.0,1593.0,145.0,$1272,$1593,$918,1
2012,6037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,819.0,74.0,991.0,71.0,1248.0,94.0,$991,$1248,$819,1
2012,6037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,740.0,165.0,1058.0,112.0,1337.0,100.0,$1058,$1337,$740,1
2012,6037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,686.0,109.0,880.0,114.0,1203.0,111.0,$880,$1203,$686,1
2012,6037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,823.0,112.0,995.0,125.0,1372.0,92.0,$995,$1372,$823,1
2012,6037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,817.0,144.0,951.0,110.0,1189.0,128.0,$951,$1189,$817,1
2012,6037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,762.0,73.0,984.0,48.0,1210.0,62.0,$984,$1210,$762,1
2012,6037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,646.0,69.0,877.0,57.0,1135.0,80.0,$877,$1135,$646,1
2012,6037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,857.0,57.0,1045.0,49.0,1203.0,45.0,$1045,$1203,$857,1
2012,6037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,631.0,57.0,1000.0,75.0,1230.0,103.0,$1000,$1230,$631,1
2013,6037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,868.0,79.0,1062.0,60.0,1241.0,72.0,$1062,$1241,$868,1
2013,6037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,847.0,99.0,1084.0,78.0,1322.0,112.0,$1084,$1322,$847,1
2013,6037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,771.0,79.0,1049.0,75.0,1275.0,105.0,$1049,$1275,$771,1
2013,6037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,829.0,93.0,997.0,147.0,1383.0,94.0,$997,$1383,$829,1
2013,6037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,840.0,35.0,1060.0,201.0,1421.0,367.0,$1060,$1421,$840,1
2013,6037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,804.0,72.0,1015.0,59.0,1216.0,58.0,$1015,$1216,$804,1
2013,6037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,681.0,70.0,909.0,79.0,1180.0,78.0,$909,$1180,$681,1
2013,6037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,903.0,62.0,1079.0,41.0,1218.0,44.0,$1079,$1218,$903,1
2013,6037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,661.0,81.0,962.0,83.0,1174.0,69.0,$962,$1174,$661,1
