YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,473.0,410.0,755.0,94.0,1222.0,179.0,$755,$1222,$473,1
2021,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,970.0,95.0,1286.0,104.0,1600.0,189.0,$1286,$1600,$970,1
2021,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,968.0,58.0,1145.0,61.0,1388.0,132.0,$1145,$1388,$968,1
2021,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,828.0,202.0,1094.0,87.0,1342.0,75.0,$1094,$1342,$828,1
2021,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,1037.0,137.0,1321.0,66.0,1474.0,73.0,$1321,$1474,$1037,1
2021,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,972.0,107.0,1148.0,80.0,1453.0,279.0,$1148,$1453,$972,1
2021,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,952.0,116.0,1233.0,155.0,1636.0,160.0,$1233,$1636,$952,1
2021,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,993.0,154.0,1299.0,136.0,1495.0,180.0,$1299,$1495,$993,1
2012,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,308.0,218.0,818.0,278.0,1175.0,175.0,$818,$1175,$308,1
2012,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,757.0,51.0,901.0,95.0,1233.0,116.0,$901,$1233,$757,1
2012,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,809.0,30.0,947.0,85.0,1147.0,48.0,$947,$1147,$809,1
2012,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,735.0,28.0,874.0,39.0,1113.0,109.0,$874,$1113,$735,1
2012,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,790.0,34.0,953.0,127.0,1203.0,79.0,$953,$1203,$790,1
2012,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,798.0,80.0,963.0,45.0,1159.0,50.0,$963,$1159,$798,1
2012,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,754.0,79.0,898.0,86.0,1116.0,77.0,$898,$1116,$754,1
2012,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,857.0,61.0,992.0,93.0,1229.0,157.0,$992,$1229,$857,1
2012,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,742.0,73.0,910.0,129.0,1145.0,93.0,$910,$1145,$742,1
2013,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,347.0,242.0,857.0,144.0,1238.0,193.0,$857,$1238,$347,1
2013,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,753.0,52.0,917.0,83.0,1227.0,115.0,$917,$1227,$753,1
2013,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,825.0,35.0,962.0,59.0,1149.0,48.0,$962,$1149,$825,1
2013,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,734.0,33.0,890.0,61.0,1227.0,109.0,$890,$1227,$734,1
2013,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,851.0,42.0,993.0,66.0,1205.0,74.0,$993,$1205,$851,1
2013,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,823.0,48.0,946.0,49.0,1119.0,55.0,$946,$1119,$823,1
2013,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,772.0,100.0,891.0,64.0,1113.0,79.0,$891,$1113,$772,1
2013,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,887.0,57.0,1020.0,96.0,1243.0,135.0,$1020,$1243,$887,1
2013,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,742.0,75.0,980.0,111.0,1164.0,60.0,$980,$1164,$742,1
2014,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,297.0,114.0,713.0,124.0,1176.0,162.0,$713,$1176,$297,1
2014,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,750.0,43.0,913.0,79.0,1253.0,113.0,$913,$1253,$750,1
2014,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,806.0,47.0,952.0,76.0,1151.0,47.0,$952,$1151,$806,1
2014,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,750.0,50.0,891.0,42.0,1167.0,86.0,$891,$1167,$750,1
2014,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,862.0,32.0,986.0,68.0,1263.0,125.0,$986,$1263,$862,1
2014,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,837.0,38.0,1001.0,74.0,1193.0,53.0,$1001,$1193,$837,1
2014,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,816.0,38.0,919.0,55.0,1102.0,98.0,$919,$1102,$816,1
2014,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,869.0,85.0,1051.0,111.0,1307.0,124.0,$1051,$1307,$869,1
2014,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,747.0,42.0,893.0,105.0,1128.0,85.0,$893,$1128,$747,1
2023,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,332.0,195.0,1267.0,831.0,1493.0,191.0,$1267,$1493,$332,1
2023,6037533201,Census Tract 5332.01,Bell,Los Angeles County,California,Bell,1042.0,64.0,1211.0,77.0,1467.0,159.0,$1211,$1467,$1042,1
2023,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,1143.0,115.0,1408.0,114.0,1804.0,165.0,$1408,$1804,$1143,1
2023,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,1102.0,94.0,1335.0,68.0,1535.0,161.0,$1335,$1535,$1102,1
2023,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,1047.0,164.0,1350.0,94.0,1634.0,156.0,$1350,$1634,$1047,1
2023,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,1279.0,97.0,1472.0,94.0,1821.0,97.0,$1472,$1821,$1279,1
2023,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,1281.0,130.0,1573.0,166.0,1909.0,144.0,$1573,$1909,$1281,1
2023,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,1126.0,188.0,1528.0,172.0,1810.0,82.0,$1528,$1810,$1126,1
2023,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,1306.0,125.0,1570.0,191.0,1925.0,194.0,$1570,$1925,$1306,1
2011,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,415.0,280.0,796.0,322.0,1103.0,139.0,$796,$1103,$415,1
2011,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,725.0,40.0,877.0,96.0,1190.0,101.0,$877,$1190,$725,1
2011,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,771.0,26.0,868.0,39.0,1072.0,94.0,$868,$1072,$771,1
2011,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,723.0,23.0,872.0,46.0,1047.0,114.0,$872,$1047,$723,1
2011,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,804.0,33.0,895.0,169.0,1169.0,73.0,$895,$1169,$804,1
2011,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,755.0,63.0,934.0,48.0,1165.0,96.0,$934,$1165,$755,1
2011,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,773.0,71.0,962.0,69.0,1143.0,68.0,$962,$1143,$773,1
2011,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,781.0,43.0,957.0,56.0,1168.0,117.0,$957,$1168,$781,1
2011,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,747.0,72.0,904.0,64.0,1099.0,129.0,$904,$1099,$747,1
2015,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,375.0,301.0,903.0,102.0,1240.0,155.0,$903,$1240,$375,1
2015,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,756.0,57.0,956.0,97.0,1296.0,82.0,$956,$1296,$756,1
2015,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,786.0,52.0,951.0,42.0,1139.0,48.0,$951,$1139,$786,1
2015,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,741.0,42.0,889.0,40.0,1163.0,59.0,$889,$1163,$741,1
2015,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,835.0,36.0,1007.0,109.0,1283.0,124.0,$1007,$1283,$835,1
2015,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,841.0,49.0,1018.0,69.0,1218.0,57.0,$1018,$1218,$841,1
2015,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,783.0,53.0,890.0,48.0,1057.0,154.0,$890,$1057,$783,1
2015,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,891.0,102.0,1097.0,85.0,1323.0,130.0,$1097,$1323,$891,1
2015,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,758.0,42.0,865.0,71.0,1164.0,112.0,$865,$1164,$758,1
2010,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,569.0,264.0,794.0,195.0,898.0,296.0,$794,$898,$569,1
2010,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,735.0,103.0,939.0,49.0,1172.0,77.0,$939,$1172,$735,1
2010,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,761.0,27.0,863.0,53.0,1031.0,92.0,$863,$1031,$761,1
2010,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,709.0,42.0,864.0,46.0,999.0,104.0,$864,$999,$709,1
2010,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,734.0,63.0,860.0,47.0,1095.0,131.0,$860,$1095,$734,1
2010,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,713.0,106.0,898.0,62.0,1092.0,109.0,$898,$1092,$713,1
2010,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,738.0,99.0,931.0,66.0,1095.0,83.0,$931,$1095,$738,1
2010,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,755.0,44.0,917.0,79.0,1101.0,238.0,$917,$1101,$755,1
2010,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,806.0,108.0,923.0,43.0,1071.0,72.0,$923,$1071,$806,1
2020,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,621.0,187.0,728.0,188.0,1173.0,149.0,$728,$1173,$621,1
2020,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,894.0,161.0,1208.0,132.0,1556.0,185.0,$1208,$1556,$894,1
2020,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,948.0,62.0,1105.0,38.0,1239.0,88.0,$1105,$1239,$948,1
2020,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,800.0,122.0,1010.0,97.0,1296.0,86.0,$1010,$1296,$800,1
2020,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,934.0,90.0,1141.0,77.0,1381.0,100.0,$1141,$1381,$934,1
2020,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,913.0,71.0,1054.0,103.0,1363.0,402.0,$1054,$1363,$913,1
2020,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,941.0,119.0,1224.0,138.0,1442.0,91.0,$1224,$1442,$941,1
