YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,3008.0,2137.0,3212.0,167.0,3416.0,165.0,$3212,$3416,$3008,1
2021,6037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,3360.0,484.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$3360,1
2021,6037700801,Census Tract 7008.01,Beverly Hills,Los Angeles County,California,BeverlyHills,1321.0,1073.0,2602.0,369.0,3054.0,249.0,$2602,$3054,$1321,1
2021,6037700802,Census Tract 7008.02,Beverly Hills,Los Angeles County,California,BeverlyHills,1640.0,132.0,2141.0,152.0,2776.0,334.0,$2141,$2776,$1640,1
2021,6037700901,Census Tract 7009.01,Beverly Hills,Los Angeles County,California,BeverlyHills,1928.0,234.0,2373.0,226.0,3467.0,596.0,$2373,$3467,$1928,1
2021,6037700902,Census Tract 7009.02,Beverly Hills,Los Angeles County,California,BeverlyHills,1818.0,222.0,2301.0,130.0,2982.0,259.0,$2301,$2982,$1818,1
2021,6037701000,Census Tract 7010,Beverly Hills,Los Angeles County,California,BeverlyHills,1846.0,227.0,2288.0,157.0,2888.0,296.0,$2288,$2888,$1846,1
2012,6037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2012,6037261102,Census Tract 2611.02,Beverly Hills,Los Angeles County,California,BeverlyHills,1444.0,579.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1444,1
2012,6037265100,Census Tract 2651,Beverly Hills,Los Angeles County,California,BeverlyHills,1703.0,924.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1703,1
2012,6037269000,Census Tract 2690,Beverly Hills,Los Angeles County,California,BeverlyHills,1218.0,141.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1218,1
2012,6037700501,Census Tract 7005.01,Beverly Hills,Los Angeles County,California,BeverlyHills,1158.0,142.0,1453.0,137.0,1892.0,140.0,$1453,$1892,$1158,1
2012,6037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2012,6037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,1109.0,164.0,1218.0,955.0,1913.0,1041.0,$1218,$1913,$1109,1
2012,6037700801,Census Tract 7008.01,Beverly Hills,Los Angeles County,California,BeverlyHills,945.0,269.0,1717.0,211.0,2001.0,,$1717,Not available. Exceeds $2000!,$945,1
2012,6037700802,Census Tract 7008.02,Beverly Hills,Los Angeles County,California,BeverlyHills,1314.0,120.0,1668.0,132.0,2001.0,,$1668,Not available. Exceeds $2000!,$1314,1
2012,6037700901,Census Tract 7009.01,Beverly Hills,Los Angeles County,California,BeverlyHills,1290.0,76.0,1606.0,213.0,2001.0,,$1606,Not available. Exceeds $2000!,$1290,1
2012,6037700902,Census Tract 7009.02,Beverly Hills,Los Angeles County,California,BeverlyHills,1526.0,75.0,1822.0,73.0,2001.0,,$1822,Not available. Exceeds $2000!,$1526,1
2012,6037701000,Census Tract 7010,Beverly Hills,Los Angeles County,California,BeverlyHills,1543.0,151.0,1954.0,142.0,2001.0,,$1954,Not available. Exceeds $2000!,$1543,1
2013,6037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,1944.0,283.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1944,1
2013,6037261102,Census Tract 2611.02,Beverly Hills,Los Angeles County,California,BeverlyHills,1049.0,262.0,1168.0,100.0,1409.0,1095.0,$1168,$1409,$1049,1
