YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,1168.0,834.0,2581.0,2188.0,3501.0,,$2581,Not available. Exceeds $3500!,$1168,1
2021,6037800103,Census Tract 8001.03,Calabasas,Los Angeles County,California,Calabasas,,,2813.0,679.0,3501.0,,$2813,Not available. Exceeds $3500!,Not Available!,1
2021,6037800104,Census Tract 8001.04,Calabasas,Los Angeles County,California,Calabasas,1510.0,847.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$1510,1
2021,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,3501.0,,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,Not available. Exceeds $3500!,1
2021,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,2268.0,973.0,2762.0,244.0,3501.0,,$2762,Not available. Exceeds $3500!,$2268,1
2021,6037800205,Census Tract 8002.05,Calabasas,Los Angeles County,California,Calabasas,2108.0,100.0,2442.0,164.0,2789.0,109.0,$2442,$2789,$2108,1
2021,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,,,2672.0,2500.0,2992.0,1570.0,$2672,$2992,Not Available!,1
2021,6037800337,Census Tract 8003.37,Calabasas,Los Angeles County,California,Calabasas,2149.0,71.0,2410.0,148.0,3134.0,387.0,$2410,$3134,$2149,1
2012,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,1591.0,298.0,1922.0,232.0,2001.0,,$1922,Not available. Exceeds $2000!,$1591,1
2012,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,538.0,1187.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$538,1
2012,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,1573.0,182.0,1857.0,160.0,2001.0,,$1857,Not available. Exceeds $2000!,$1573,1
2012,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,1313.0,986.0,1987.0,472.0,2001.0,,$1987,Not available. Exceeds $2000!,$1313,1
2012,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,1529.0,122.0,1719.0,72.0,1908.0,61.0,$1719,$1908,$1529,1
2012,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,1496.0,219.0,1836.0,305.0,2001.0,,$1836,Not available. Exceeds $2000!,$1496,1
2012,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,1500.0,154.0,1745.0,126.0,1989.0,204.0,$1745,$1989,$1500,1
2012,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,1629.0,79.0,1911.0,129.0,2001.0,,$1911,Not available. Exceeds $2000!,$1629,1
2013,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,1550.0,1462.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1550,1
2013,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2013,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,1499.0,196.0,1854.0,226.0,2001.0,,$1854,Not available. Exceeds $2000!,$1499,1
2013,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,1579.0,734.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1579,1
2013,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,1554.0,115.0,1755.0,80.0,1957.0,106.0,$1755,$1957,$1554,1
2013,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,1703.0,218.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1703,1
2013,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,1490.0,150.0,1769.0,135.0,2001.0,,$1769,Not available. Exceeds $2000!,$1490,1
2013,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,1626.0,60.0,1868.0,83.0,2001.0,,$1868,Not available. Exceeds $2000!,$1626,1
2014,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,1132.0,466.0,1785.0,544.0,2001.0,,$1785,Not available. Exceeds $2000!,$1132,1
2014,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,1792.0,555.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1792,1
2014,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,1521.0,202.0,1883.0,228.0,2001.0,,$1883,Not available. Exceeds $2000!,$1521,1
2014,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,1285.0,1051.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1285,1
2014,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,1375.0,318.0,1709.0,112.0,1978.0,145.0,$1709,$1978,$1375,1
2014,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,1720.0,206.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1720,1
2014,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,1652.0,90.0,1914.0,128.0,2001.0,,$1914,Not available. Exceeds $2000!,$1652,1
