YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037291300,Census Tract 2913,Carson,Los Angeles County,California,Carson,790.0,112.0,1010.0,292.0,1235.0,172.0,$1010,$1235,$790
2010,6037294110,Census Tract 2941.10,Carson,Los Angeles County,California,Carson,700.0,56.0,871.0,238.0,1240.0,232.0,$871,$1240,$700
2010,6037541002,Census Tract 5410.02,Carson,Los Angeles County,California,Carson,532.0,407.0,817.0,429.0,859.0,122.0,$817,$859,$532
2010,6037543100,Census Tract 5431,Carson,Los Angeles County,California,Carson,943.0,361.0,1315.0,184.0,1607.0,317.0,$1315,$1607,$943
2010,6037543202,Census Tract 5432.02,Carson,Los Angeles County,California,Carson,679.0,69.0,865.0,115.0,1177.0,239.0,$865,$1177,$679
2010,6037543304,Census Tract 5433.04,Carson,Los Angeles County,California,Carson,1620.0,131.0,1871.0,207.0,2001.0,,$1871,Not available. Exceeds $2000!,$1620
2010,6037543306,Census Tract 5433.06,Carson,Los Angeles County,California,Carson,1164.0,172.0,1523.0,190.0,1820.0,124.0,$1523,$1820,$1164
2010,6037543321,Census Tract 5433.21,Carson,Los Angeles County,California,Carson,1063.0,291.0,1199.0,1126.0,2001.0,,$1199,Not available. Exceeds $2000!,$1063
2010,6037543322,Census Tract 5433.22,Carson,Los Angeles County,California,Carson,958.0,261.0,1140.0,1008.0,2001.0,,$1140,Not available. Exceeds $2000!,$958
2010,6037543400,Census Tract 5434,Carson,Los Angeles County,California,Carson,1332.0,424.0,1598.0,286.0,1875.0,268.0,$1598,$1875,$1332
2010,6037543501,Census Tract 5435.01,Carson,Los Angeles County,California,Carson,437.0,349.0,852.0,181.0,1135.0,78.0,$852,$1135,$437
2010,6037543601,Census Tract 5436.01,Carson,Los Angeles County,California,Carson,1042.0,51.0,1158.0,62.0,1313.0,181.0,$1158,$1313,$1042
2010,6037543604,Census Tract 5436.04,Carson,Los Angeles County,California,Carson,808.0,496.0,1157.0,329.0,1725.0,553.0,$1157,$1725,$808
2010,6037543701,Census Tract 5437.01,Carson,Los Angeles County,California,Carson,814.0,427.0,1404.0,807.0,2001.0,,$1404,Not available. Exceeds $2000!,$814
2010,6037543702,Census Tract 5437.02,Carson,Los Angeles County,California,Carson,975.0,93.0,1120.0,68.0,1274.0,118.0,$1120,$1274,$975
2010,6037543703,Census Tract 5437.03,Carson,Los Angeles County,California,Carson,598.0,345.0,787.0,58.0,923.0,191.0,$787,$923,$598
2010,6037543801,Census Tract 5438.01,Carson,Los Angeles County,California,Carson,914.0,142.0,1151.0,361.0,1867.0,893.0,$1151,$1867,$914
2010,6037543802,Census Tract 5438.02,Carson,Los Angeles County,California,Carson,807.0,124.0,971.0,93.0,1219.0,338.0,$971,$1219,$807
2010,6037543903,Census Tract 5439.03,Carson,Los Angeles County,California,Carson,443.0,813.0,1114.0,591.0,1839.0,688.0,$1114,$1839,$443
