YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,669.0,99.0,827.0,98.0,981.0,53.0,$827,$981,$669
2010,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,705.0,56.0,814.0,40.0,934.0,67.0,$814,$934,$705
2010,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,661.0,38.0,770.0,75.0,950.0,52.0,$770,$950,$661
2010,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,859.0,62.0,1031.0,48.0,1173.0,32.0,$1031,$1173,$859
2010,6037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,733.0,75.0,891.0,100.0,1226.0,237.0,$891,$1226,$733
2010,6037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,632.0,99.0,817.0,178.0,992.0,116.0,$817,$992,$632
2010,6037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,569.0,264.0,794.0,195.0,898.0,296.0,$794,$898,$569
2010,6037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,543.0,431.0,837.0,117.0,892.0,67.0,$837,$892,$543
2010,6037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,734.0,63.0,860.0,47.0,1095.0,131.0,$860,$1095,$734
2011,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,709.0,119.0,876.0,103.0,1094.0,136.0,$876,$1094,$709
2011,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,749.0,45.0,852.0,37.0,1020.0,265.0,$852,$1020,$749
2011,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,711.0,31.0,860.0,96.0,1261.0,337.0,$860,$1261,$711
2011,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,869.0,74.0,1055.0,57.0,1216.0,43.0,$1055,$1216,$869
2011,6037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,679.0,46.0,864.0,108.0,1190.0,285.0,$864,$1190,$679
2011,6037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,636.0,104.0,833.0,83.0,1093.0,144.0,$833,$1093,$636
2011,6037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,415.0,280.0,796.0,322.0,1103.0,139.0,$796,$1103,$415
2011,6037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,375.0,617.0,850.0,234.0,950.0,66.0,$850,$950,$375
2011,6037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,804.0,33.0,895.0,169.0,1169.0,73.0,$895,$1169,$804
2012,6037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,714.0,76.0,898.0,69.0,1109.0,130.0,$898,$1109,$714
2012,6037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,753.0,52.0,867.0,48.0,1103.0,235.0,$867,$1103,$753
2012,6037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,744.0,62.0,934.0,52.0,1269.0,231.0,$934,$1269,$744
2012,6037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,887.0,63.0,1069.0,47.0,1228.0,50.0,$1069,$1228,$887
