YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037533806,Census Tract 5338.06,Cudahy,Los Angeles County,California,Cudahy,806.0,108.0,923.0,43.0,1071.0,72.0,$923,$1071,$806
2010,6037534201,Census Tract 5342.01,Cudahy,Los Angeles County,California,Cudahy,615.0,26.0,806.0,67.0,955.0,76.0,$806,$955,$615
2010,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,829.0,60.0,959.0,29.0,1121.0,56.0,$959,$1121,$829
2010,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,768.0,106.0,949.0,40.0,1109.0,81.0,$949,$1109,$768
2010,6037534403,Census Tract 5344.03,Cudahy,Los Angeles County,California,Cudahy,814.0,75.0,970.0,78.0,1187.0,110.0,$970,$1187,$814
2010,6037534404,Census Tract 5344.04,Cudahy,Los Angeles County,California,Cudahy,636.0,212.0,919.0,73.0,1098.0,102.0,$919,$1098,$636
2010,6037534405,Census Tract 5344.05,Cudahy,Los Angeles County,California,Cudahy,855.0,80.0,969.0,36.0,1183.0,110.0,$969,$1183,$855
2010,6037534406,Census Tract 5344.06,Cudahy,Los Angeles County,California,Cudahy,804.0,68.0,972.0,107.0,1165.0,68.0,$972,$1165,$804
2010,6037534502,Census Tract 5345.02,Cudahy,Los Angeles County,California,Cudahy,710.0,121.0,925.0,152.0,1144.0,123.0,$925,$1144,$710
2010,6037536102,Census Tract 5361.02,Cudahy,Los Angeles County,California,Cudahy,714.0,226.0,1106.0,379.0,1358.0,170.0,$1106,$1358,$714
2011,6037533806,Census Tract 5338.06,Cudahy,Los Angeles County,California,Cudahy,747.0,72.0,904.0,64.0,1099.0,129.0,$904,$1099,$747
2011,6037534201,Census Tract 5342.01,Cudahy,Los Angeles County,California,Cudahy,660.0,132.0,852.0,59.0,1097.0,84.0,$852,$1097,$660
2011,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,887.0,180.0,997.0,52.0,1187.0,59.0,$997,$1187,$887
2011,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,847.0,96.0,1030.0,85.0,1223.0,77.0,$1030,$1223,$847
2011,6037534403,Census Tract 5344.03,Cudahy,Los Angeles County,California,Cudahy,848.0,97.0,1002.0,101.0,1242.0,269.0,$1002,$1242,$848
2011,6037534404,Census Tract 5344.04,Cudahy,Los Angeles County,California,Cudahy,807.0,119.0,1022.0,84.0,1181.0,53.0,$1022,$1181,$807
2011,6037534405,Census Tract 5344.05,Cudahy,Los Angeles County,California,Cudahy,917.0,48.0,1047.0,64.0,1199.0,51.0,$1047,$1199,$917
2011,6037534406,Census Tract 5344.06,Cudahy,Los Angeles County,California,Cudahy,863.0,76.0,1017.0,57.0,1192.0,47.0,$1017,$1192,$863
2011,6037534502,Census Tract 5345.02,Cudahy,Los Angeles County,California,Cudahy,777.0,158.0,965.0,72.0,1235.0,172.0,$965,$1235,$777
2011,6037536102,Census Tract 5361.02,Cudahy,Los Angeles County,California,Cudahy,641.0,334.0,1297.0,290.0,1440.0,93.0,$1297,$1440,$641
2012,6037533806,Census Tract 5338.06,Cudahy,Los Angeles County,California,Cudahy,742.0,73.0,910.0,129.0,1145.0,93.0,$910,$1145,$742
2012,6037534201,Census Tract 5342.01,Cudahy,Los Angeles County,California,Cudahy,646.0,69.0,877.0,57.0,1135.0,80.0,$877,$1135,$646
2012,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,854.0,145.0,1012.0,58.0,1195.0,54.0,$1012,$1195,$854
2012,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,954.0,107.0,1115.0,39.0,1254.0,74.0,$1115,$1254,$954
2012,6037534403,Census Tract 5344.03,Cudahy,Los Angeles County,California,Cudahy,837.0,71.0,1009.0,86.0,1208.0,111.0,$1009,$1208,$837
2012,6037534404,Census Tract 5344.04,Cudahy,Los Angeles County,California,Cudahy,799.0,188.0,1034.0,70.0,1207.0,63.0,$1034,$1207,$799
2012,6037534405,Census Tract 5344.05,Cudahy,Los Angeles County,California,Cudahy,900.0,82.0,1083.0,60.0,1238.0,84.0,$1083,$1238,$900
2012,6037534406,Census Tract 5344.06,Cudahy,Los Angeles County,California,Cudahy,903.0,99.0,1051.0,68.0,1270.0,71.0,$1051,$1270,$903
2012,6037534502,Census Tract 5345.02,Cudahy,Los Angeles County,California,Cudahy,855.0,115.0,995.0,114.0,1228.0,158.0,$995,$1228,$855
2012,6037536102,Census Tract 5361.02,Cudahy,Los Angeles County,California,Cudahy,607.0,395.0,1239.0,214.0,1449.0,142.0,$1239,$1449,$607
2013,6037533806,Census Tract 5338.06,Cudahy,Los Angeles County,California,Cudahy,742.0,75.0,980.0,111.0,1164.0,60.0,$980,$1164,$742
2013,6037534201,Census Tract 5342.01,Cudahy,Los Angeles County,California,Cudahy,681.0,70.0,909.0,79.0,1180.0,78.0,$909,$1180,$681
2013,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,857.0,109.0,1041.0,70.0,1260.0,66.0,$1041,$1260,$857
2013,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,955.0,83.0,1119.0,34.0,1271.0,76.0,$1119,$1271,$955
2013,6037534403,Census Tract 5344.03,Cudahy,Los Angeles County,California,Cudahy,814.0,115.0,1036.0,72.0,1219.0,84.0,$1036,$1219,$814
2013,6037534404,Census Tract 5344.04,Cudahy,Los Angeles County,California,Cudahy,789.0,102.0,1018.0,64.0,1171.0,38.0,$1018,$1171,$789
2013,6037534405,Census Tract 5344.05,Cudahy,Los Angeles County,California,Cudahy,921.0,91.0,1088.0,44.0,1225.0,53.0,$1088,$1225,$921
2013,6037534406,Census Tract 5344.06,Cudahy,Los Angeles County,California,Cudahy,898.0,158.0,1088.0,57.0,1266.0,79.0,$1088,$1266,$898
2013,6037534502,Census Tract 5345.02,Cudahy,Los Angeles County,California,Cudahy,786.0,101.0,925.0,71.0,1120.0,155.0,$925,$1120,$786
2013,6037536102,Census Tract 5361.02,Cudahy,Los Angeles County,California,Cudahy,619.0,460.0,1190.0,272.0,1516.0,294.0,$1190,$1516,$619
2014,6037533806,Census Tract 5338.06,Cudahy,Los Angeles County,California,Cudahy,747.0,42.0,893.0,105.0,1128.0,85.0,$893,$1128,$747
2014,6037534201,Census Tract 5342.01,Cudahy,Los Angeles County,California,Cudahy,778.0,65.0,1026.0,59.0,1230.0,73.0,$1026,$1230,$778
2014,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,790.0,94.0,1031.0,52.0,1189.0,37.0,$1031,$1189,$790
2014,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,927.0,87.0,1102.0,32.0,1237.0,43.0,$1102,$1237,$927
2014,6037534403,Census Tract 5344.03,Cudahy,Los Angeles County,California,Cudahy,779.0,46.0,1023.0,67.0,1186.0,49.0,$1023,$1186,$779
2014,6037534404,Census Tract 5344.04,Cudahy,Los Angeles County,California,Cudahy,835.0,111.0,1042.0,47.0,1175.0,31.0,$1042,$1175,$835
2014,6037534405,Census Tract 5344.05,Cudahy,Los Angeles County,California,Cudahy,961.0,47.0,1120.0,51.0,1331.0,133.0,$1120,$1331,$961
2014,6037534406,Census Tract 5344.06,Cudahy,Los Angeles County,California,Cudahy,956.0,48.0,1135.0,54.0,1330.0,60.0,$1135,$1330,$956
2014,6037534502,Census Tract 5345.02,Cudahy,Los Angeles County,California,Cudahy,765.0,117.0,950.0,104.0,1248.0,202.0,$950,$1248,$765
2014,6037536102,Census Tract 5361.02,Cudahy,Los Angeles County,California,Cudahy,704.0,187.0,1063.0,490.0,1451.0,306.0,$1063,$1451,$704
2015,6037533806,Census Tract 5338.06,Cudahy,Los Angeles County,California,Cudahy,758.0,42.0,865.0,71.0,1164.0,112.0,$865,$1164,$758
2015,6037534201,Census Tract 5342.01,Cudahy,Los Angeles County,California,Cudahy,811.0,48.0,1039.0,74.0,1253.0,96.0,$1039,$1253,$811
2015,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,778.0,30.0,1004.0,62.0,1167.0,36.0,$1004,$1167,$778
2015,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,1005.0,37.0,1127.0,28.0,1249.0,62.0,$1127,$1249,$1005
