YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037463103,Census Tract 4631.03,East Pasadena,Los Angeles County,California,EastPasadena,1364.0,146.0,1831.0,226.0,2380.0,279.0,$1831,$2380,$1364,1
2012,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,963.0,81.0,1143.0,121.0,1453.0,263.0,$1143,$1453,$963,1
2012,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,643.0,177.0,1304.0,624.0,1689.0,321.0,$1304,$1689,$643,1
2013,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,995.0,88.0,1198.0,106.0,1634.0,217.0,$1198,$1634,$995,1
2013,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,748.0,419.0,1339.0,326.0,1612.0,355.0,$1339,$1612,$748,1
2014,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,995.0,83.0,1199.0,121.0,1685.0,167.0,$1199,$1685,$995,1
2014,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,792.0,407.0,1307.0,286.0,2001.0,,$1307,Not available. Exceeds $2000!,$792,1
2023,6037463103,Census Tract 4631.03,East Pasadena,Los Angeles County,California,EastPasadena,1384.0,112.0,1951.0,533.0,2442.0,1136.0,$1951,$2442,$1384,1
2011,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,940.0,101.0,1159.0,173.0,1643.0,454.0,$1159,$1643,$940,1
2011,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,820.0,92.0,1291.0,762.0,1923.0,915.0,$1291,$1923,$820,1
2015,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,981.0,90.0,1219.0,152.0,1724.0,217.0,$1219,$1724,$981,1
2015,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,1029.0,378.0,1308.0,298.0,1972.0,1882.0,$1308,$1972,$1029,1
2010,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,873.0,72.0,1032.0,190.0,1492.0,595.0,$1032,$1492,$873,1
2010,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,830.0,147.0,1311.0,616.0,2001.0,,$1311,Not available. Exceeds $2000!,$830,1
2020,6037463103,Census Tract 4631.03,East Pasadena,Los Angeles County,California,EastPasadena,1324.0,161.0,1811.0,245.0,2325.0,192.0,$1811,$2325,$1324,1
2016,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,976.0,70.0,1229.0,262.0,1817.0,162.0,$1229,$1817,$976,1
2016,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,1106.0,169.0,1420.0,217.0,2547.0,1852.0,$1420,$2547,$1106,1
2018,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,1116.0,105.0,1578.0,185.0,1961.0,184.0,$1578,$1961,$1116,1
2018,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,1172.0,140.0,1840.0,575.0,3145.0,1150.0,$1840,$3145,$1172,1
2022,6037463103,Census Tract 4631.03,East Pasadena,Los Angeles County,California,EastPasadena,1419.0,180.0,1891.0,276.0,2542.0,1343.0,$1891,$2542,$1419,1
2017,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,1136.0,85.0,1576.0,159.0,1910.0,143.0,$1576,$1910,$1136,1
2017,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,1214.0,192.0,1788.0,694.0,3055.0,854.0,$1788,$3055,$1214,1
2019,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,1136.0,148.0,1681.0,155.0,2103.0,170.0,$1681,$2103,$1136,1
2019,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,1180.0,134.0,1491.0,405.0,2282.0,1080.0,$1491,$2282,$1180,1
