YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037541802,Census Tract 5418.02,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,627.0,88.0,803.0,136.0,1030.0,247.0,$803,$1030,$627
2010,6037542000,Census Tract 5420,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,741.0,34.0,930.0,174.0,1210.0,203.0,$930,$1210,$741
2010,6037542103,Census Tract 5421.03,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,808.0,223.0,952.0,132.0,1168.0,103.0,$952,$1168,$808
2010,6037542104,Census Tract 5421.04,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,823.0,47.0,1009.0,273.0,1259.0,370.0,$1009,$1259,$823
2010,6037542105,Census Tract 5421.05,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,609.0,52.0,813.0,66.0,968.0,133.0,$813,$968,$609
2010,6037542106,Census Tract 5421.06,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,634.0,214.0,971.0,92.0,1140.0,99.0,$971,$1140,$634
2010,6037542200,Census Tract 5422,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,672.0,143.0,909.0,207.0,1436.0,240.0,$909,$1436,$672
2011,6037541802,Census Tract 5418.02,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,718.0,178.0,990.0,177.0,1166.0,77.0,$990,$1166,$718
2011,6037542000,Census Tract 5420,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,752.0,40.0,936.0,202.0,1172.0,102.0,$936,$1172,$752
2011,6037542103,Census Tract 5421.03,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,703.0,269.0,1018.0,85.0,1167.0,56.0,$1018,$1167,$703
2011,6037542104,Census Tract 5421.04,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,915.0,123.0,1069.0,170.0,1363.0,203.0,$1069,$1363,$915
2011,6037542105,Census Tract 5421.05,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,645.0,67.0,827.0,81.0,989.0,139.0,$827,$989,$645
2011,6037542106,Census Tract 5421.06,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,644.0,303.0,1021.0,182.0,1184.0,172.0,$1021,$1184,$644
2011,6037542200,Census Tract 5422,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,724.0,188.0,899.0,126.0,1413.0,365.0,$899,$1413,$724
2012,6037541802,Census Tract 5418.02,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,704.0,120.0,1005.0,145.0,1175.0,68.0,$1005,$1175,$704
