YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037404701,Census Tract 4047.01,El Monte,Los Angeles County,California,ElMonte,822.0,65.0,936.0,81.0,1368.0,521.0,$936,$1368,$822
2010,6037431501,Census Tract 4315.01,El Monte,Los Angeles County,California,ElMonte,902.0,197.0,1276.0,232.0,1758.0,299.0,$1276,$1758,$902
2010,6037431502,Census Tract 4315.02,El Monte,Los Angeles County,California,ElMonte,1007.0,146.0,1191.0,190.0,1710.0,712.0,$1191,$1710,$1007
2010,6037432101,Census Tract 4321.01,El Monte,Los Angeles County,California,ElMonte,1043.0,161.0,1366.0,307.0,1841.0,244.0,$1366,$1841,$1043
2010,6037432102,Census Tract 4321.02,El Monte,Los Angeles County,California,ElMonte,1026.0,124.0,1264.0,266.0,1763.0,291.0,$1264,$1763,$1026
2010,6037432300,Census Tract 4323,El Monte,Los Angeles County,California,ElMonte,798.0,405.0,1230.0,170.0,1447.0,149.0,$1230,$1447,$798
2010,6037432401,Census Tract 4324.01,El Monte,Los Angeles County,California,ElMonte,942.0,50.0,1063.0,70.0,1196.0,53.0,$1063,$1196,$942
2010,6037432402,Census Tract 4324.02,El Monte,Los Angeles County,California,ElMonte,800.0,54.0,993.0,100.0,1162.0,40.0,$993,$1162,$800
2010,6037432500,Census Tract 4325,El Monte,Los Angeles County,California,ElMonte,824.0,67.0,975.0,114.0,1270.0,474.0,$975,$1270,$824
2010,6037432601,Census Tract 4326.01,El Monte,Los Angeles County,California,ElMonte,835.0,64.0,960.0,41.0,1131.0,68.0,$960,$1131,$835
2010,6037432602,Census Tract 4326.02,El Monte,Los Angeles County,California,ElMonte,910.0,157.0,1153.0,105.0,1398.0,164.0,$1153,$1398,$910
2010,6037432700,Census Tract 4327,El Monte,Los Angeles County,California,ElMonte,749.0,43.0,890.0,123.0,1167.0,171.0,$890,$1167,$749
2010,6037432801,Census Tract 4328.01,El Monte,Los Angeles County,California,ElMonte,640.0,106.0,790.0,109.0,1186.0,332.0,$790,$1186,$640
2010,6037432802,Census Tract 4328.02,El Monte,Los Angeles County,California,ElMonte,810.0,85.0,939.0,29.0,1078.0,62.0,$939,$1078,$810
2010,6037432902,Census Tract 4329.02,El Monte,Los Angeles County,California,ElMonte,729.0,131.0,849.0,160.0,1136.0,420.0,$849,$1136,$729
2010,6037433101,Census Tract 4331.01,El Monte,Los Angeles County,California,ElMonte,525.0,14.0,704.0,471.0,1262.0,384.0,$704,$1262,$525
2010,6037433102,Census Tract 4331.02,El Monte,Los Angeles County,California,ElMonte,736.0,46.0,890.0,50.0,1107.0,99.0,$890,$1107,$736
2010,6037433200,Census Tract 4332,El Monte,Los Angeles County,California,ElMonte,692.0,53.0,861.0,55.0,1087.0,130.0,$861,$1087,$692
2010,6037433302,Census Tract 4333.02,El Monte,Los Angeles County,California,ElMonte,707.0,443.0,843.0,53.0,926.0,65.0,$843,$926,$707
2010,6037433304,Census Tract 4333.04,El Monte,Los Angeles County,California,ElMonte,735.0,168.0,909.0,87.0,1098.0,110.0,$909,$1098,$735
2010,6037433305,Census Tract 4333.05,El Monte,Los Angeles County,California,ElMonte,891.0,68.0,1047.0,49.0,1173.0,37.0,$1047,$1173,$891
2010,6037433306,Census Tract 4333.06,El Monte,Los Angeles County,California,ElMonte,961.0,66.0,1091.0,65.0,1219.0,87.0,$1091,$1219,$961
2010,6037433307,Census Tract 4333.07,El Monte,Los Angeles County,California,ElMonte,812.0,377.0,1047.0,119.0,1231.0,140.0,$1047,$1231,$812
2010,6037433401,Census Tract 4334.01,El Monte,Los Angeles County,California,ElMonte,900.0,394.0,1060.0,74.0,1204.0,66.0,$1060,$1204,$900
2010,6037433402,Census Tract 4334.02,El Monte,Los Angeles County,California,ElMonte,782.0,116.0,888.0,52.0,1052.0,98.0,$888,$1052,$782
2010,6037433403,Census Tract 4334.03,El Monte,Los Angeles County,California,ElMonte,710.0,68.0,882.0,51.0,1089.0,100.0,$882,$1089,$710
2010,6037433504,Census Tract 4335.04,El Monte,Los Angeles County,California,ElMonte,827.0,85.0,963.0,39.0,1161.0,86.0,$963,$1161,$827
2010,6037433601,Census Tract 4336.01,El Monte,Los Angeles County,California,ElMonte,850.0,57.0,1057.0,79.0,1196.0,60.0,$1057,$1196,$850
2010,6037433801,Census Tract 4338.01,El Monte,Los Angeles County,California,ElMonte,795.0,63.0,893.0,68.0,1096.0,56.0,$893,$1096,$795
2010,6037433901,Census Tract 4339.01,El Monte,Los Angeles County,California,ElMonte,735.0,45.0,909.0,53.0,1090.0,56.0,$909,$1090,$735
2010,6037433902,Census Tract 4339.02,El Monte,Los Angeles County,California,ElMonte,767.0,115.0,943.0,109.0,1208.0,198.0,$943,$1208,$767
