YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037400402,Census Tract 4004.02,Glendora,Los Angeles County,California,Glendora,841.0,393.0,1104.0,160.0,1446.0,371.0,$1104,$1446,$841
2010,6037400404,Census Tract 4004.04,Glendora,Los Angeles County,California,Glendora,1786.0,411.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1786
2010,6037400501,Census Tract 4005.01,Glendora,Los Angeles County,California,Glendora,771.0,698.0,792.0,2647.0,2001.0,,$792,Not available. Exceeds $2000!,$771
2010,6037400604,Census Tract 4006.04,Glendora,Los Angeles County,California,Glendora,959.0,68.0,1200.0,262.0,1423.0,141.0,$1200,$1423,$959
2010,6037400800,Census Tract 4008,Glendora,Los Angeles County,California,Glendora,1165.0,238.0,1505.0,198.0,1767.0,104.0,$1505,$1767,$1165
2010,6037400900,Census Tract 4009,Glendora,Los Angeles County,California,Glendora,892.0,146.0,1267.0,228.0,1615.0,185.0,$1267,$1615,$892
2010,6037401001,Census Tract 4010.01,Glendora,Los Angeles County,California,Glendora,545.0,535.0,1019.0,661.0,1275.0,921.0,$1019,$1275,$545
2010,6037401002,Census Tract 4010.02,Glendora,Los Angeles County,California,Glendora,721.0,134.0,1012.0,136.0,1359.0,293.0,$1012,$1359,$721
2010,6037401101,Census Tract 4011.01,Glendora,Los Angeles County,California,Glendora,868.0,43.0,1076.0,61.0,1307.0,141.0,$1076,$1307,$868
2010,6037401102,Census Tract 4011.02,Glendora,Los Angeles County,California,Glendora,949.0,190.0,1229.0,115.0,1431.0,70.0,$1229,$1431,$949
2010,6037401201,Census Tract 4012.01,Glendora,Los Angeles County,California,Glendora,1149.0,85.0,1597.0,491.0,1898.0,212.0,$1597,$1898,$1149
2010,6037401202,Census Tract 4012.02,Glendora,Los Angeles County,California,Glendora,998.0,619.0,1564.0,374.0,1814.0,156.0,$1564,$1814,$998
2010,6037401203,Census Tract 4012.03,Glendora,Los Angeles County,California,Glendora,1082.0,87.0,1235.0,139.0,1484.0,938.0,$1235,$1484,$1082
2010,6037401311,Census Tract 4013.11,Glendora,Los Angeles County,California,Glendora,853.0,85.0,1296.0,174.0,1652.0,134.0,$1296,$1652,$853
2010,6037403901,Census Tract 4039.01,Glendora,Los Angeles County,California,Glendora,1325.0,931.0,1661.0,158.0,1881.0,123.0,$1661,$1881,$1325
2010,6037403902,Census Tract 4039.02,Glendora,Los Angeles County,California,Glendora,1087.0,63.0,1234.0,110.0,1463.0,190.0,$1234,$1463,$1087
2010,6037404000,Census Tract 4040,Glendora,Los Angeles County,California,Glendora,1091.0,49.0,1209.0,91.0,1363.0,99.0,$1209,$1363,$1091
2011,6037400402,Census Tract 4004.02,Glendora,Los Angeles County,California,Glendora,817.0,475.0,1137.0,170.0,1478.0,310.0,$1137,$1478,$817
2011,6037400404,Census Tract 4004.04,Glendora,Los Angeles County,California,Glendora,1651.0,688.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1651
2011,6037400501,Census Tract 4005.01,Glendora,Los Angeles County,California,Glendora,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!
2011,6037400604,Census Tract 4006.04,Glendora,Los Angeles County,California,Glendora,985.0,88.0,1179.0,160.0,1382.0,114.0,$1179,$1382,$985
2011,6037400800,Census Tract 4008,Glendora,Los Angeles County,California,Glendora,1193.0,308.0,1515.0,196.0,1779.0,118.0,$1515,$1779,$1193
2011,6037400900,Census Tract 4009,Glendora,Los Angeles County,California,Glendora,964.0,202.0,1376.0,172.0,1689.0,102.0,$1376,$1689,$964
2011,6037401001,Census Tract 4010.01,Glendora,Los Angeles County,California,Glendora,546.0,408.0,909.0,407.0,1172.0,815.0,$909,$1172,$546
2011,6037401002,Census Tract 4010.02,Glendora,Los Angeles County,California,Glendora,774.0,132.0,987.0,164.0,1425.0,213.0,$987,$1425,$774
2011,6037401101,Census Tract 4011.01,Glendora,Los Angeles County,California,Glendora,861.0,78.0,1087.0,74.0,1356.0,199.0,$1087,$1356,$861
2011,6037401102,Census Tract 4011.02,Glendora,Los Angeles County,California,Glendora,826.0,198.0,1220.0,172.0,1572.0,201.0,$1220,$1572,$826
2011,6037401201,Census Tract 4012.01,Glendora,Los Angeles County,California,Glendora,1119.0,64.0,1238.0,623.0,1816.0,352.0,$1238,$1816,$1119
2011,6037401202,Census Tract 4012.02,Glendora,Los Angeles County,California,Glendora,1511.0,610.0,1694.0,116.0,1876.0,74.0,$1694,$1876,$1511
2011,6037401203,Census Tract 4012.03,Glendora,Los Angeles County,California,Glendora,1131.0,74.0,1296.0,138.0,1609.0,711.0,$1296,$1609,$1131
2011,6037401311,Census Tract 4013.11,Glendora,Los Angeles County,California,Glendora,868.0,115.0,1382.0,182.0,1706.0,116.0,$1382,$1706,$868
2011,6037403901,Census Tract 4039.01,Glendora,Los Angeles County,California,Glendora,1308.0,728.0,1617.0,253.0,1902.0,259.0,$1617,$1902,$1308
2011,6037403902,Census Tract 4039.02,Glendora,Los Angeles County,California,Glendora,1083.0,33.0,1199.0,56.0,1400.0,142.0,$1199,$1400,$1083
2011,6037404000,Census Tract 4040,Glendora,Los Angeles County,California,Glendora,1118.0,87.0,1294.0,131.0,1489.0,252.0,$1294,$1489,$1118
2012,6037400402,Census Tract 4004.02,Glendora,Los Angeles County,California,Glendora,916.0,649.0,1253.0,317.0,1654.0,323.0,$1253,$1654,$916
