YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037555106,Census Tract 5551.06,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1017.0,330.0,1376.0,85.0,1685.0,209.0,$1376,$1685,$1017,1
2021,6037555211,Census Tract 5552.11,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1140.0,73.0,1428.0,145.0,1804.0,176.0,$1428,$1804,$1140,1
2021,6037555212,Census Tract 5552.12,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1255.0,149.0,1558.0,162.0,1901.0,146.0,$1558,$1901,$1255,1
2012,6037555102,Census Tract 5551.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,961.0,192.0,1272.0,58.0,1448.0,47.0,$1272,$1448,$961,1
2012,6037555104,Census Tract 5551.04,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1154.0,157.0,1448.0,150.0,1738.0,113.0,$1448,$1738,$1154,1
2012,6037555202,Census Tract 5552.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1441.0,323.0,1898.0,537.0,2001.0,,$1898,Not available. Exceeds $2000!,$1441,1
2012,6037555211,Census Tract 5552.11,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,874.0,71.0,1104.0,187.0,1411.0,157.0,$1104,$1411,$874,1
2012,6037555212,Census Tract 5552.12,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,932.0,82.0,1125.0,100.0,1371.0,128.0,$1125,$1371,$932,1
2013,6037555102,Census Tract 5551.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,817.0,292.0,1227.0,93.0,1442.0,51.0,$1227,$1442,$817,1
2013,6037555104,Census Tract 5551.04,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1098.0,88.0,1347.0,109.0,1642.0,167.0,$1347,$1642,$1098,1
2013,6037555202,Census Tract 5552.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1378.0,431.0,1761.0,548.0,2001.0,,$1761,Not available. Exceeds $2000!,$1378,1
2013,6037555211,Census Tract 5552.11,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,854.0,100.0,1067.0,129.0,1340.0,207.0,$1067,$1340,$854,1
2013,6037555212,Census Tract 5552.12,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,935.0,144.0,1167.0,117.0,1384.0,85.0,$1167,$1384,$935,1
2014,6037555102,Census Tract 5551.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,653.0,312.0,1185.0,105.0,1446.0,52.0,$1185,$1446,$653,1
2014,6037555104,Census Tract 5551.04,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1078.0,153.0,1335.0,92.0,1617.0,174.0,$1335,$1617,$1078,1
2014,6037555202,Census Tract 5552.02,Hawaiian Gardens,Los Angeles County,California,HawaiianGardens,1259.0,404.0,1530.0,367.0,1985.0,465.0,$1530,$1985,$1259,1
