YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037621001,Census Tract 6210.01,Hermosa Beach,Los Angeles County,California,HermosaBeach,1313.0,186.0,1713.0,191.0,2001.0,,$1713,Not available. Exceeds $2000!,$1313
2010,6037621002,Census Tract 6210.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1693.0,182.0,1993.0,264.0,2001.0,,$1993,Not available. Exceeds $2000!,$1693
2010,6037621004,Census Tract 6210.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1195.0,161.0,1621.0,190.0,2001.0,,$1621,Not available. Exceeds $2000!,$1195
2010,6037621102,Census Tract 6211.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1293.0,189.0,1754.0,309.0,2001.0,,$1754,Not available. Exceeds $2000!,$1293
2010,6037621104,Census Tract 6211.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1292.0,119.0,1765.0,149.0,2001.0,,$1765,Not available. Exceeds $2000!,$1292
2011,6037621001,Census Tract 6210.01,Hermosa Beach,Los Angeles County,California,HermosaBeach,1440.0,158.0,1792.0,137.0,2001.0,,$1792,Not available. Exceeds $2000!,$1440
2011,6037621002,Census Tract 6210.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1659.0,244.0,1960.0,318.0,2001.0,,$1960,Not available. Exceeds $2000!,$1659
2011,6037621004,Census Tract 6210.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1219.0,167.0,1619.0,205.0,2001.0,,$1619,Not available. Exceeds $2000!,$1219
2011,6037621102,Census Tract 6211.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1211.0,118.0,1623.0,325.0,2001.0,,$1623,Not available. Exceeds $2000!,$1211
2011,6037621104,Census Tract 6211.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1287.0,151.0,1751.0,130.0,2001.0,,$1751,Not available. Exceeds $2000!,$1287
2012,6037621001,Census Tract 6210.01,Hermosa Beach,Los Angeles County,California,HermosaBeach,1558.0,140.0,1905.0,142.0,2001.0,,$1905,Not available. Exceeds $2000!,$1558
2012,6037621002,Census Tract 6210.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1548.0,319.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1548
2012,6037621004,Census Tract 6210.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1261.0,235.0,1805.0,233.0,2001.0,,$1805,Not available. Exceeds $2000!,$1261
2012,6037621102,Census Tract 6211.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1265.0,122.0,1556.0,224.0,2001.0,,$1556,Not available. Exceeds $2000!,$1265
2012,6037621104,Census Tract 6211.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1228.0,132.0,1673.0,138.0,2001.0,,$1673,Not available. Exceeds $2000!,$1228
2013,6037621001,Census Tract 6210.01,Hermosa Beach,Los Angeles County,California,HermosaBeach,1509.0,162.0,1915.0,168.0,2001.0,,$1915,Not available. Exceeds $2000!,$1509
2013,6037621002,Census Tract 6210.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1667.0,296.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1667
2013,6037621004,Census Tract 6210.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1360.0,224.0,1832.0,191.0,2001.0,,$1832,Not available. Exceeds $2000!,$1360
2013,6037621102,Census Tract 6211.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1278.0,136.0,1655.0,239.0,2001.0,,$1655,Not available. Exceeds $2000!,$1278
2013,6037621104,Census Tract 6211.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1298.0,217.0,1754.0,107.0,2001.0,,$1754,Not available. Exceeds $2000!,$1298
2014,6037621001,Census Tract 6210.01,Hermosa Beach,Los Angeles County,California,HermosaBeach,1423.0,136.0,1857.0,196.0,2001.0,,$1857,Not available. Exceeds $2000!,$1423
2014,6037621002,Census Tract 6210.02,Hermosa Beach,Los Angeles County,California,HermosaBeach,1597.0,218.0,1945.0,261.0,2001.0,,$1945,Not available. Exceeds $2000!,$1597
2014,6037621004,Census Tract 6210.04,Hermosa Beach,Los Angeles County,California,HermosaBeach,1418.0,162.0,1910.0,197.0,2001.0,,$1910,Not available. Exceeds $2000!,$1418
