YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037532500,Census Tract 5325,Huntington Park,Los Angeles County,California,HuntingtonPark,816.0,293.0,1103.0,110.0,1307.0,96.0,$1103,$1307,$816,1
2021,6037532605,Census Tract 5326.05,Huntington Park,Los Angeles County,California,HuntingtonPark,867.0,130.0,1206.0,226.0,1487.0,264.0,$1206,$1487,$867,1
2021,6037532606,Census Tract 5326.06,Huntington Park,Los Angeles County,California,HuntingtonPark,864.0,46.0,1042.0,86.0,1330.0,94.0,$1042,$1330,$864,1
2021,6037532607,Census Tract 5326.07,Huntington Park,Los Angeles County,California,HuntingtonPark,909.0,53.0,1154.0,82.0,1404.0,58.0,$1154,$1404,$909,1
2021,6037533103,Census Tract 5331.03,Huntington Park,Los Angeles County,California,HuntingtonPark,1002.0,67.0,1176.0,56.0,1407.0,71.0,$1176,$1407,$1002,1
2021,6037533104,Census Tract 5331.04,Huntington Park,Los Angeles County,California,HuntingtonPark,847.0,139.0,1090.0,121.0,1438.0,116.0,$1090,$1438,$847,1
2021,6037533105,Census Tract 5331.05,Huntington Park,Los Angeles County,California,HuntingtonPark,951.0,73.0,1355.0,159.0,1690.0,121.0,$1355,$1690,$951,1
2021,6037533108,Census Tract 5331.08,Huntington Park,Los Angeles County,California,HuntingtonPark,884.0,36.0,1096.0,53.0,1366.0,80.0,$1096,$1366,$884,1
2021,6037533201,Census Tract 5332.01,Huntington Park,Los Angeles County,California,HuntingtonPark,888.0,52.0,1060.0,152.0,1370.0,103.0,$1060,$1370,$888,1
2021,6037533204,Census Tract 5332.04,Huntington Park,Los Angeles County,California,HuntingtonPark,976.0,62.0,1286.0,142.0,1680.0,162.0,$1286,$1680,$976,1
2021,6037533501,Census Tract 5335.01,Huntington Park,Los Angeles County,California,HuntingtonPark,917.0,81.0,1102.0,155.0,1388.0,137.0,$1102,$1388,$917,1
2021,6037533504,Census Tract 5335.04,Huntington Park,Los Angeles County,California,HuntingtonPark,960.0,129.0,1169.0,93.0,1432.0,111.0,$1169,$1432,$960,1
