YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037406901,Census Tract 4069.01,La Puente,Los Angeles County,California,LaPuente,646.0,103.0,933.0,242.0,1173.0,120.0,$933,$1173,$646
2010,6037406902,Census Tract 4069.02,La Puente,Los Angeles County,California,LaPuente,250.0,175.0,1257.0,1653.0,1466.0,1416.0,$1257,$1466,$250
2010,6037407002,Census Tract 4070.02,La Puente,Los Angeles County,California,LaPuente,1365.0,218.0,1632.0,324.0,1958.0,376.0,$1632,$1958,$1365
2010,6037407101,Census Tract 4071.01,La Puente,Los Angeles County,California,LaPuente,904.0,70.0,968.0,40.0,1313.0,333.0,$968,$1313,$904
2010,6037407102,Census Tract 4071.02,La Puente,Los Angeles County,California,LaPuente,847.0,294.0,973.0,68.0,1162.0,105.0,$973,$1162,$847
2010,6037407200,Census Tract 4072,La Puente,Los Angeles County,California,LaPuente,516.0,284.0,957.0,273.0,1391.0,391.0,$957,$1391,$516
2010,6037407301,Census Tract 4073.01,La Puente,Los Angeles County,California,LaPuente,1054.0,85.0,1156.0,80.0,1305.0,460.0,$1156,$1305,$1054
2010,6037407302,Census Tract 4073.02,La Puente,Los Angeles County,California,LaPuente,1308.0,322.0,1627.0,255.0,1893.0,186.0,$1627,$1893,$1308
2010,6037407501,Census Tract 4075.01,La Puente,Los Angeles County,California,LaPuente,1046.0,74.0,1206.0,103.0,1433.0,138.0,$1206,$1433,$1046
2010,6037407601,Census Tract 4076.01,La Puente,Los Angeles County,California,LaPuente,585.0,288.0,936.0,82.0,1196.0,157.0,$936,$1196,$585
2010,6037407602,Census Tract 4076.02,La Puente,Los Angeles County,California,LaPuente,813.0,186.0,929.0,136.0,1652.0,688.0,$929,$1652,$813
2010,6037407701,Census Tract 4077.01,La Puente,Los Angeles County,California,LaPuente,767.0,88.0,957.0,77.0,1178.0,86.0,$957,$1178,$767
2010,6037407702,Census Tract 4077.02,La Puente,Los Angeles County,California,LaPuente,793.0,183.0,1035.0,126.0,1229.0,502.0,$1035,$1229,$793
2010,6037408202,Census Tract 4082.02,La Puente,Los Angeles County,California,LaPuente,1006.0,174.0,1231.0,243.0,1600.0,333.0,$1231,$1600,$1006
2011,6037406901,Census Tract 4069.01,La Puente,Los Angeles County,California,LaPuente,693.0,99.0,941.0,316.0,1333.0,561.0,$941,$1333,$693
2011,6037406902,Census Tract 4069.02,La Puente,Los Angeles County,California,LaPuente,269.0,34.0,735.0,996.0,1470.0,1434.0,$735,$1470,$269
2011,6037407002,Census Tract 4070.02,La Puente,Los Angeles County,California,LaPuente,1508.0,811.0,1778.0,324.0,2001.0,,$1778,Not available. Exceeds $2000!,$1508
2011,6037407101,Census Tract 4071.01,La Puente,Los Angeles County,California,LaPuente,915.0,57.0,1015.0,264.0,1380.0,132.0,$1015,$1380,$915
2011,6037407102,Census Tract 4071.02,La Puente,Los Angeles County,California,LaPuente,925.0,98.0,1100.0,111.0,1341.0,207.0,$1100,$1341,$925
2011,6037407200,Census Tract 4072,La Puente,Los Angeles County,California,LaPuente,450.0,629.0,1251.0,397.0,1473.0,183.0,$1251,$1473,$450
2011,6037407301,Census Tract 4073.01,La Puente,Los Angeles County,California,LaPuente,1073.0,37.0,1167.0,61.0,1551.0,645.0,$1167,$1551,$1073
2011,6037407302,Census Tract 4073.02,La Puente,Los Angeles County,California,LaPuente,1323.0,209.0,1532.0,259.0,1819.0,189.0,$1532,$1819,$1323
2011,6037407501,Census Tract 4075.01,La Puente,Los Angeles County,California,LaPuente,1093.0,90.0,1296.0,108.0,1494.0,149.0,$1296,$1494,$1093
2011,6037407601,Census Tract 4076.01,La Puente,Los Angeles County,California,LaPuente,617.0,44.0,931.0,148.0,1161.0,126.0,$931,$1161,$617
2011,6037407602,Census Tract 4076.02,La Puente,Los Angeles County,California,LaPuente,858.0,175.0,1243.0,457.0,1677.0,260.0,$1243,$1677,$858
2011,6037407701,Census Tract 4077.01,La Puente,Los Angeles County,California,LaPuente,752.0,102.0,955.0,75.0,1313.0,97.0,$955,$1313,$752
2011,6037407702,Census Tract 4077.02,La Puente,Los Angeles County,California,LaPuente,935.0,75.0,1096.0,130.0,1538.0,538.0,$1096,$1538,$935
2011,6037408202,Census Tract 4082.02,La Puente,Los Angeles County,California,LaPuente,914.0,210.0,1151.0,156.0,1572.0,424.0,$1151,$1572,$914
2012,6037406901,Census Tract 4069.01,La Puente,Los Angeles County,California,LaPuente,680.0,39.0,983.0,277.0,1356.0,373.0,$983,$1356,$680
2012,6037406902,Census Tract 4069.02,La Puente,Los Angeles County,California,LaPuente,270.0,163.0,715.0,720.0,956.0,437.0,$715,$956,$270
2012,6037407002,Census Tract 4070.02,La Puente,Los Angeles County,California,LaPuente,1514.0,869.0,1769.0,301.0,2001.0,,$1769,Not available. Exceeds $2000!,$1514
2012,6037407101,Census Tract 4071.01,La Puente,Los Angeles County,California,LaPuente,929.0,44.0,1073.0,198.0,1373.0,153.0,$1073,$1373,$929
2012,6037407102,Census Tract 4071.02,La Puente,Los Angeles County,California,LaPuente,920.0,43.0,1042.0,144.0,1360.0,182.0,$1042,$1360,$920
2012,6037407200,Census Tract 4072,La Puente,Los Angeles County,California,LaPuente,737.0,230.0,1284.0,271.0,1540.0,229.0,$1284,$1540,$737
2012,6037407301,Census Tract 4073.01,La Puente,Los Angeles County,California,LaPuente,1078.0,56.0,1199.0,202.0,1643.0,241.0,$1199,$1643,$1078
2012,6037407302,Census Tract 4073.02,La Puente,Los Angeles County,California,LaPuente,1154.0,119.0,1458.0,327.0,1771.0,179.0,$1458,$1771,$1154
2012,6037407501,Census Tract 4075.01,La Puente,Los Angeles County,California,LaPuente,1077.0,98.0,1316.0,87.0,1492.0,127.0,$1316,$1492,$1077
2012,6037407601,Census Tract 4076.01,La Puente,Los Angeles County,California,LaPuente,640.0,47.0,938.0,119.0,1144.0,123.0,$938,$1144,$640
2012,6037407602,Census Tract 4076.02,La Puente,Los Angeles County,California,LaPuente,1017.0,389.0,1532.0,270.0,1790.0,121.0,$1532,$1790,$1017
2012,6037407701,Census Tract 4077.01,La Puente,Los Angeles County,California,LaPuente,758.0,118.0,975.0,106.0,1373.0,56.0,$975,$1373,$758
2012,6037407702,Census Tract 4077.02,La Puente,Los Angeles County,California,LaPuente,1047.0,49.0,1196.0,87.0,1594.0,236.0,$1196,$1594,$1047
2012,6037408202,Census Tract 4082.02,La Puente,Los Angeles County,California,LaPuente,1001.0,316.0,1203.0,152.0,1476.0,223.0,$1203,$1476,$1001
2013,6037406901,Census Tract 4069.01,La Puente,Los Angeles County,California,LaPuente,901.0,239.0,1132.0,171.0,1572.0,405.0,$1132,$1572,$901
2013,6037406902,Census Tract 4069.02,La Puente,Los Angeles County,California,LaPuente,291.0,262.0,789.0,89.0,1552.0,826.0,$789,$1552,$291
2013,6037407002,Census Tract 4070.02,La Puente,Los Angeles County,California,LaPuente,1637.0,269.0,1878.0,415.0,2001.0,,$1878,Not available. Exceeds $2000!,$1637
2013,6037407101,Census Tract 4071.01,La Puente,Los Angeles County,California,LaPuente,892.0,58.0,983.0,127.0,1353.0,173.0,$983,$1353,$892
2013,6037407102,Census Tract 4071.02,La Puente,Los Angeles County,California,LaPuente,925.0,51.0,1073.0,138.0,1419.0,209.0,$1073,$1419,$925
2013,6037407200,Census Tract 4072,La Puente,Los Angeles County,California,LaPuente,753.0,104.0,1145.0,206.0,1495.0,256.0,$1145,$1495,$753
2013,6037407301,Census Tract 4073.01,La Puente,Los Angeles County,California,LaPuente,1087.0,65.0,1220.0,150.0,1550.0,259.0,$1220,$1550,$1087
