YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037400204,Census Tract 4002.04,La Verne,Los Angeles County,California,LaVerne,778.0,1027.0,1563.0,1511.0,1852.0,332.0,$1563,$1852,$778
2010,6037400205,Census Tract 4002.05,La Verne,Los Angeles County,California,LaVerne,1173.0,1143.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1173
2010,6037400207,Census Tract 4002.07,La Verne,Los Angeles County,California,LaVerne,1067.0,374.0,1199.0,634.0,1792.0,806.0,$1199,$1792,$1067
2010,6037400302,Census Tract 4003.02,La Verne,Los Angeles County,California,LaVerne,788.0,726.0,948.0,163.0,1629.0,563.0,$948,$1629,$788
2010,6037400304,Census Tract 4003.04,La Verne,Los Angeles County,California,LaVerne,940.0,84.0,1300.0,78.0,1500.0,186.0,$1300,$1500,$940
2010,6037401304,Census Tract 4013.04,La Verne,Los Angeles County,California,LaVerne,950.0,480.0,1581.0,847.0,2001.0,,$1581,Not available. Exceeds $2000!,$950
2010,6037401500,Census Tract 4015,La Verne,Los Angeles County,California,LaVerne,621.0,383.0,893.0,109.0,1149.0,167.0,$893,$1149,$621
2010,6037401601,Census Tract 4016.01,La Verne,Los Angeles County,California,LaVerne,1124.0,256.0,1420.0,191.0,1786.0,303.0,$1420,$1786,$1124
2010,6037401602,Census Tract 4016.02,La Verne,Los Angeles County,California,LaVerne,934.0,53.0,1086.0,71.0,1275.0,187.0,$1086,$1275,$934
2010,6037401603,Census Tract 4016.03,La Verne,Los Angeles County,California,LaVerne,1183.0,236.0,1673.0,164.0,1969.0,200.0,$1673,$1969,$1183
2011,6037400204,Census Tract 4002.04,La Verne,Los Angeles County,California,LaVerne,1680.0,148.0,1860.0,276.0,2001.0,,$1860,Not available. Exceeds $2000!,$1680
2011,6037400205,Census Tract 4002.05,La Verne,Los Angeles County,California,LaVerne,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!
2011,6037400207,Census Tract 4002.07,La Verne,Los Angeles County,California,LaVerne,735.0,1050.0,1672.0,543.0,1966.0,298.0,$1672,$1966,$735
2011,6037400302,Census Tract 4003.02,La Verne,Los Angeles County,California,LaVerne,465.0,526.0,963.0,53.0,1404.0,351.0,$963,$1404,$465
2011,6037400304,Census Tract 4003.04,La Verne,Los Angeles County,California,LaVerne,946.0,94.0,1308.0,107.0,1640.0,223.0,$1308,$1640,$946
2011,6037401304,Census Tract 4013.04,La Verne,Los Angeles County,California,LaVerne,794.0,608.0,1632.0,1001.0,2001.0,,$1632,Not available. Exceeds $2000!,$794
2011,6037401500,Census Tract 4015,La Verne,Los Angeles County,California,LaVerne,757.0,176.0,904.0,126.0,1166.0,94.0,$904,$1166,$757
2011,6037401601,Census Tract 4016.01,La Verne,Los Angeles County,California,LaVerne,1136.0,135.0,1535.0,311.0,1794.0,121.0,$1535,$1794,$1136
2011,6037401602,Census Tract 4016.02,La Verne,Los Angeles County,California,LaVerne,967.0,74.0,1143.0,66.0,1409.0,184.0,$1143,$1409,$967
2011,6037401603,Census Tract 4016.03,La Verne,Los Angeles County,California,LaVerne,1184.0,465.0,1872.0,421.0,2001.0,,$1872,Not available. Exceeds $2000!,$1184
2012,6037400204,Census Tract 4002.04,La Verne,Los Angeles County,California,LaVerne,1643.0,39.0,1785.0,79.0,1928.0,148.0,$1785,$1928,$1643
2012,6037400205,Census Tract 4002.05,La Verne,Los Angeles County,California,LaVerne,1909.0,384.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1909
2012,6037400207,Census Tract 4002.07,La Verne,Los Angeles County,California,LaVerne,1810.0,395.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1810
2012,6037400302,Census Tract 4003.02,La Verne,Los Angeles County,California,LaVerne,625.0,469.0,951.0,134.0,1377.0,332.0,$951,$1377,$625
2012,6037400304,Census Tract 4003.04,La Verne,Los Angeles County,California,LaVerne,941.0,128.0,1315.0,101.0,1659.0,177.0,$1315,$1659,$941
2012,6037401304,Census Tract 4013.04,La Verne,Los Angeles County,California,LaVerne,854.0,379.0,1529.0,1050.0,2001.0,,$1529,Not available. Exceeds $2000!,$854
2012,6037401500,Census Tract 4015,La Verne,Los Angeles County,California,LaVerne,813.0,195.0,939.0,78.0,1139.0,95.0,$939,$1139,$813
2012,6037401601,Census Tract 4016.01,La Verne,Los Angeles County,California,LaVerne,1153.0,181.0,1515.0,301.0,1853.0,212.0,$1515,$1853,$1153
2012,6037401602,Census Tract 4016.02,La Verne,Los Angeles County,California,LaVerne,992.0,51.0,1147.0,50.0,1410.0,177.0,$1147,$1410,$992
2012,6037401603,Census Tract 4016.03,La Verne,Los Angeles County,California,LaVerne,1170.0,270.0,1685.0,196.0,2001.0,,$1685,Not available. Exceeds $2000!,$1170
2013,6037400204,Census Tract 4002.04,La Verne,Los Angeles County,California,LaVerne,1675.0,84.0,1851.0,167.0,2001.0,,$1851,Not available. Exceeds $2000!,$1675
2013,6037400205,Census Tract 4002.05,La Verne,Los Angeles County,California,LaVerne,1714.0,139.0,1929.0,273.0,2001.0,,$1929,Not available. Exceeds $2000!,$1714
2013,6037400207,Census Tract 4002.07,La Verne,Los Angeles County,California,LaVerne,1674.0,192.0,1953.0,277.0,2001.0,,$1953,Not available. Exceeds $2000!,$1674
2013,6037400302,Census Tract 4003.02,La Verne,Los Angeles County,California,LaVerne,651.0,370.0,979.0,160.0,1360.0,309.0,$979,$1360,$651
2013,6037400304,Census Tract 4003.04,La Verne,Los Angeles County,California,LaVerne,1019.0,181.0,1406.0,111.0,1741.0,136.0,$1406,$1741,$1019
2013,6037401304,Census Tract 4013.04,La Verne,Los Angeles County,California,LaVerne,1106.0,540.0,1708.0,776.0,2001.0,,$1708,Not available. Exceeds $2000!,$1106
2013,6037401500,Census Tract 4015,La Verne,Los Angeles County,California,LaVerne,850.0,89.0,982.0,101.0,1240.0,488.0,$982,$1240,$850
2013,6037401601,Census Tract 4016.01,La Verne,Los Angeles County,California,LaVerne,1114.0,163.0,1390.0,219.0,1779.0,299.0,$1390,$1779,$1114
2013,6037401602,Census Tract 4016.02,La Verne,Los Angeles County,California,LaVerne,1014.0,54.0,1180.0,70.0,1442.0,134.0,$1180,$1442,$1014
2013,6037401603,Census Tract 4016.03,La Verne,Los Angeles County,California,LaVerne,1241.0,486.0,1824.0,283.0,2001.0,,$1824,Not available. Exceeds $2000!,$1241
2014,6037400204,Census Tract 4002.04,La Verne,Los Angeles County,California,LaVerne,1788.0,244.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1788
2014,6037400205,Census Tract 4002.05,La Verne,Los Angeles County,California,LaVerne,1696.0,128.0,1891.0,261.0,2001.0,,$1891,Not available. Exceeds $2000!,$1696
2014,6037400207,Census Tract 4002.07,La Verne,Los Angeles County,California,LaVerne,1780.0,279.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1780
