YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037900201,Census Tract 9002.01,Lancaster,Los Angeles County,California,Lancaster,447.0,122.0,538.0,330.0,959.0,227.0,$538,$959,$447
2010,6037900300,Census Tract 9003,Lancaster,Los Angeles County,California,Lancaster,624.0,122.0,971.0,760.0,1395.0,186.0,$971,$1395,$624
2010,6037900501,Census Tract 9005.01,Lancaster,Los Angeles County,California,Lancaster,875.0,171.0,1093.0,130.0,1378.0,159.0,$1093,$1378,$875
2010,6037900504,Census Tract 9005.04,Lancaster,Los Angeles County,California,Lancaster,943.0,104.0,1094.0,57.0,1221.0,73.0,$1094,$1221,$943
2010,6037900505,Census Tract 9005.05,Lancaster,Los Angeles County,California,Lancaster,763.0,1137.0,1100.0,121.0,1358.0,467.0,$1100,$1358,$763
2010,6037900506,Census Tract 9005.06,Lancaster,Los Angeles County,California,Lancaster,815.0,77.0,953.0,240.0,1328.0,361.0,$953,$1328,$815
2010,6037900507,Census Tract 9005.07,Lancaster,Los Angeles County,California,Lancaster,798.0,72.0,959.0,100.0,1212.0,171.0,$959,$1212,$798
2010,6037900508,Census Tract 9005.08,Lancaster,Los Angeles County,California,Lancaster,497.0,750.0,1515.0,1170.0,1758.0,271.0,$1515,$1758,$497
2010,6037900602,Census Tract 9006.02,Lancaster,Los Angeles County,California,Lancaster,363.0,33.0,628.0,287.0,962.0,505.0,$628,$962,$363
2010,6037900605,Census Tract 9006.05,Lancaster,Los Angeles County,California,Lancaster,398.0,197.0,888.0,636.0,1456.0,630.0,$888,$1456,$398
2010,6037900606,Census Tract 9006.06,Lancaster,Los Angeles County,California,Lancaster,625.0,202.0,800.0,107.0,973.0,93.0,$800,$973,$625
2010,6037900607,Census Tract 9006.07,Lancaster,Los Angeles County,California,Lancaster,643.0,127.0,817.0,96.0,968.0,168.0,$817,$968,$643
2010,6037900608,Census Tract 9006.08,Lancaster,Los Angeles County,California,Lancaster,894.0,176.0,1250.0,341.0,1404.0,77.0,$1250,$1404,$894
