YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,657.0,38.0,785.0,75.0,1011.0,165.0,$785,$1011,$657
2010,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,714.0,101.0,893.0,80.0,1160.0,304.0,$893,$1160,$714
2010,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,754.0,133.0,915.0,84.0,1139.0,153.0,$915,$1139,$754
2010,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,710.0,75.0,857.0,62.0,996.0,90.0,$857,$996,$710
2010,6037601801,Census Tract 6018.01,Lennox,Los Angeles County,California,Lennox,752.0,211.0,923.0,93.0,1207.0,162.0,$923,$1207,$752
2010,6037601802,Census Tract 6018.02,Lennox,Los Angeles County,California,Lennox,683.0,108.0,915.0,62.0,1108.0,133.0,$915,$1108,$683
2011,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,658.0,40.0,832.0,81.0,1008.0,131.0,$832,$1008,$658
2011,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,698.0,74.0,890.0,77.0,1144.0,204.0,$890,$1144,$698
2011,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,694.0,36.0,916.0,171.0,1186.0,155.0,$916,$1186,$694
2011,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,778.0,113.0,918.0,41.0,1073.0,156.0,$918,$1073,$778
2011,6037601801,Census Tract 6018.01,Lennox,Los Angeles County,California,Lennox,674.0,180.0,986.0,238.0,1402.0,110.0,$986,$1402,$674
2011,6037601802,Census Tract 6018.02,Lennox,Los Angeles County,California,Lennox,699.0,98.0,884.0,52.0,1108.0,146.0,$884,$1108,$699
2012,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,680.0,39.0,852.0,53.0,1035.0,113.0,$852,$1035,$680
2012,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,684.0,72.0,895.0,135.0,1231.0,167.0,$895,$1231,$684
2012,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,713.0,29.0,952.0,99.0,1165.0,83.0,$952,$1165,$713
2012,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,775.0,135.0,921.0,60.0,1166.0,123.0,$921,$1166,$775
2012,6037601801,Census Tract 6018.01,Lennox,Los Angeles County,California,Lennox,670.0,126.0,956.0,144.0,1340.0,99.0,$956,$1340,$670
2012,6037601802,Census Tract 6018.02,Lennox,Los Angeles County,California,Lennox,728.0,137.0,923.0,70.0,1132.0,103.0,$923,$1132,$728
2013,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,692.0,55.0,870.0,59.0,1049.0,85.0,$870,$1049,$692
2013,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,756.0,89.0,1009.0,152.0,1234.0,114.0,$1009,$1234,$756
2013,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,739.0,92.0,965.0,82.0,1162.0,89.0,$965,$1162,$739
2013,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,859.0,61.0,999.0,79.0,1232.0,121.0,$999,$1232,$859
2013,6037601801,Census Tract 6018.01,Lennox,Los Angeles County,California,Lennox,749.0,169.0,999.0,169.0,1328.0,91.0,$999,$1328,$749
2013,6037601802,Census Tract 6018.02,Lennox,Los Angeles County,California,Lennox,724.0,65.0,911.0,78.0,1113.0,87.0,$911,$1113,$724
2014,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,696.0,42.0,851.0,41.0,999.0,61.0,$851,$999,$696
2014,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,753.0,52.0,997.0,181.0,1228.0,124.0,$997,$1228,$753
2014,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,741.0,94.0,971.0,129.0,1171.0,78.0,$971,$1171,$741
2014,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,869.0,49.0,1034.0,72.0,1248.0,114.0,$1034,$1248,$869
2014,6037601801,Census Tract 6018.01,Lennox,Los Angeles County,California,Lennox,810.0,137.0,1015.0,89.0,1214.0,80.0,$1015,$1214,$810
2014,6037601802,Census Tract 6018.02,Lennox,Los Angeles County,California,Lennox,715.0,99.0,885.0,67.0,1047.0,138.0,$885,$1047,$715
2015,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,690.0,48.0,884.0,65.0,1106.0,84.0,$884,$1106,$690
2015,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,794.0,56.0,998.0,109.0,1189.0,56.0,$998,$1189,$794
2015,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,745.0,112.0,953.0,64.0,1140.0,67.0,$953,$1140,$745
2015,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,862.0,60.0,1054.0,68.0,1242.0,83.0,$1054,$1242,$862
2015,6037601801,Census Tract 6018.01,Lennox,Los Angeles County,California,Lennox,730.0,164.0,1031.0,74.0,1191.0,52.0,$1031,$1191,$730
