YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,665.0,182.0,886.0,214.0,1209.0,284.0,$886,$1209,$665
2010,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,538.0,549.0,1296.0,671.0,1586.0,282.0,$1296,$1586,$538
2010,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,449.0,115.0,535.0,300.0,1064.0,561.0,$535,$1064,$449
2011,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,535.0,366.0,888.0,171.0,1175.0,137.0,$888,$1175,$535
2011,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,723.0,584.0,1272.0,492.0,1493.0,263.0,$1272,$1493,$723
2011,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,513.0,81.0,683.0,209.0,1027.0,403.0,$683,$1027,$513
2012,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,584.0,462.0,1047.0,328.0,1530.0,410.0,$1047,$1530,$584
2012,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,848.0,363.0,1264.0,235.0,1602.0,284.0,$1264,$1602,$848
2012,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,556.0,159.0,798.0,517.0,1461.0,438.0,$798,$1461,$556
2013,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,786.0,220.0,1212.0,318.0,1650.0,415.0,$1212,$1650,$786
2013,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,854.0,187.0,1217.0,322.0,1699.0,223.0,$1217,$1699,$854
2013,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,611.0,64.0,683.0,96.0,1150.0,491.0,$683,$1150,$611
2014,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,1011.0,489.0,1227.0,189.0,1640.0,308.0,$1227,$1640,$1011
2014,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,871.0,297.0,1174.0,130.0,1641.0,222.0,$1174,$1641,$871
2014,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,633.0,53.0,737.0,222.0,959.0,178.0,$737,$959,$633
2015,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,774.0,264.0,1122.0,156.0,1421.0,289.0,$1122,$1421,$774
2015,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,842.0,243.0,1129.0,109.0,1477.0,336.0,$1129,$1477,$842
2015,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,644.0,66.0,755.0,201.0,961.0,140.0,$755,$961,$644
2016,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,770.0,160.0,1073.0,156.0,1321.0,184.0,$1073,$1321,$770
2016,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,819.0,410.0,1130.0,157.0,1564.0,252.0,$1130,$1564,$819
2016,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,632.0,124.0,737.0,260.0,981.0,153.0,$737,$981,$632
2017,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,780.0,112.0,1029.0,231.0,1303.0,171.0,$1029,$1303,$780
2017,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,697.0,466.0,1199.0,245.0,1611.0,202.0,$1199,$1611,$697
2017,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,637.0,117.0,885.0,311.0,979.0,63.0,$885,$979,$637
2018,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,855.0,156.0,1157.0,140.0,1441.0,240.0,$1157,$1441,$855
