YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,998.0,107.0,1204.0,103.0,1412.0,103.0,$1204,$1412,$998
2010,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,902.0,56.0,1072.0,75.0,1294.0,109.0,$1072,$1294,$902
2010,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,931.0,38.0,1112.0,75.0,1394.0,143.0,$1112,$1394,$931
2010,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,864.0,155.0,1039.0,85.0,1245.0,107.0,$1039,$1245,$864
2010,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,592.0,373.0,868.0,233.0,1489.0,754.0,$868,$1489,$592
2010,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,683.0,11.0,770.0,19.0,854.0,69.0,$770,$854,$683
2011,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,1051.0,67.0,1226.0,101.0,1467.0,470.0,$1226,$1467,$1051
2011,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,917.0,79.0,1137.0,83.0,1396.0,116.0,$1137,$1396,$917
2011,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,897.0,57.0,1092.0,106.0,1407.0,119.0,$1092,$1407,$897
2011,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,919.0,99.0,1092.0,70.0,1287.0,133.0,$1092,$1287,$919
2011,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,294.0,567.0,858.0,214.0,1895.0,728.0,$858,$1895,$294
2011,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,771.0,92.0,864.0,159.0,1033.0,108.0,$864,$1033,$771
2012,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,964.0,141.0,1138.0,68.0,1378.0,233.0,$1138,$1378,$964
2012,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,952.0,62.0,1164.0,81.0,1424.0,99.0,$1164,$1424,$952
2012,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,912.0,73.0,1167.0,100.0,1530.0,249.0,$1167,$1530,$912
2012,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,928.0,83.0,1106.0,68.0,1306.0,147.0,$1106,$1306,$928
2012,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,264.0,225.0,840.0,132.0,1192.0,344.0,$840,$1192,$264
2012,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,782.0,68.0,836.0,168.0,1047.0,316.0,$836,$1047,$782
2013,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,983.0,153.0,1158.0,71.0,1440.0,296.0,$1158,$1440,$983
2013,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,958.0,55.0,1230.0,96.0,1458.0,70.0,$1230,$1458,$958
2013,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,947.0,64.0,1179.0,106.0,1447.0,105.0,$1179,$1447,$947
2013,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,991.0,73.0,1127.0,43.0,1277.0,127.0,$1127,$1277,$991
2013,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,234.0,728.0,896.0,371.0,1359.0,708.0,$896,$1359,$234
2013,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,818.0,78.0,889.0,239.0,1100.0,151.0,$889,$1100,$818
2014,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,937.0,99.0,1103.0,72.0,1300.0,264.0,$1103,$1300,$937
2014,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,954.0,69.0,1265.0,94.0,1455.0,66.0,$1265,$1455,$954
2014,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,1025.0,78.0,1273.0,83.0,1495.0,161.0,$1273,$1495,$1025
2014,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,949.0,98.0,1123.0,44.0,1298.0,115.0,$1123,$1298,$949
2014,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,237.0,703.0,880.0,344.0,1274.0,1223.0,$880,$1274,$237
2014,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,786.0,67.0,904.0,93.0,992.0,112.0,$904,$992,$786
2015,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,904.0,116.0,1088.0,110.0,1408.0,280.0,$1088,$1408,$904
2015,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,888.0,374.0,1278.0,77.0,1470.0,83.0,$1278,$1470,$888
2015,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,1034.0,88.0,1291.0,95.0,1580.0,188.0,$1291,$1580,$1034
2015,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,1003.0,125.0,1180.0,71.0,1466.0,209.0,$1180,$1466,$1003
2015,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,,,1151.0,585.0,1826.0,504.0,$1151,$1826,Not Available!
2015,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,773.0,31.0,929.0,170.0,1009.0,115.0,$929,$1009,$773
2016,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,863.0,158.0,1077.0,128.0,1391.0,163.0,$1077,$1391,$863
2016,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,855.0,361.0,1274.0,96.0,1483.0,100.0,$1274,$1483,$855
2016,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,1055.0,75.0,1288.0,94.0,1554.0,174.0,$1288,$1554,$1055
2016,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,1009.0,129.0,1184.0,72.0,1572.0,392.0,$1184,$1572,$1009
2016,6037670701,Census Tract 6707.01,Lomita,Los Angeles County,California,Lomita,,,1298.0,452.0,1548.0,561.0,$1298,$1548,Not Available!
2016,6037980015,Census Tract 9800.15,Lomita,Los Angeles County,California,Lomita,768.0,17.0,915.0,266.0,1090.0,103.0,$915,$1090,$768
2017,6037670001,Census Tract 6700.01,Lomita,Los Angeles County,California,Lomita,1009.0,273.0,1160.0,59.0,1418.0,181.0,$1160,$1418,$1009
2017,6037670002,Census Tract 6700.02,Lomita,Los Angeles County,California,Lomita,789.0,489.0,1289.0,94.0,1526.0,164.0,$1289,$1526,$789
2017,6037670003,Census Tract 6700.03,Lomita,Los Angeles County,California,Lomita,1087.0,87.0,1318.0,72.0,1507.0,143.0,$1318,$1507,$1087
2017,6037670100,Census Tract 6701,Lomita,Los Angeles County,California,Lomita,1010.0,105.0,1180.0,64.0,1447.0,142.0,$1180,$1447,$1010
