YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037544002,Census Tract 5440.02,Long Beach,Los Angeles County,California,LongBeach,1043.0,140.0,1309.0,298.0,1778.0,215.0,$1309,$1778,$1043,1
2021,6037555202,Census Tract 5552.02,Long Beach,Los Angeles County,California,LongBeach,2663.0,412.0,3117.0,893.0,3501.0,,$3117,Not available. Exceeds $3500!,$2663,1
2021,6037570100,Census Tract 5701,Long Beach,Los Angeles County,California,LongBeach,1538.0,551.0,2000.0,313.0,2349.0,263.0,$2000,$2349,$1538,1
2021,6037570202,Census Tract 5702.02,Long Beach,Los Angeles County,California,LongBeach,890.0,556.0,1535.0,347.0,1782.0,110.0,$1535,$1782,$890,1
2021,6037570203,Census Tract 5702.03,Long Beach,Los Angeles County,California,LongBeach,1219.0,173.0,1454.0,129.0,1820.0,193.0,$1454,$1820,$1219,1
2021,6037570204,Census Tract 5702.04,Long Beach,Los Angeles County,California,LongBeach,866.0,294.0,1193.0,114.0,1414.0,88.0,$1193,$1414,$866,1
2021,6037570303,Census Tract 5703.03,Long Beach,Los Angeles County,California,LongBeach,1038.0,121.0,1282.0,160.0,1557.0,200.0,$1282,$1557,$1038,1
2021,6037570304,Census Tract 5703.04,Long Beach,Los Angeles County,California,LongBeach,1008.0,104.0,1260.0,121.0,1558.0,163.0,$1260,$1558,$1008,1
2021,6037570305,Census Tract 5703.05,Long Beach,Los Angeles County,California,LongBeach,1113.0,38.0,1249.0,145.0,1625.0,174.0,$1249,$1625,$1113,1
2021,6037570306,Census Tract 5703.06,Long Beach,Los Angeles County,California,LongBeach,885.0,157.0,1127.0,395.0,1699.0,294.0,$1127,$1699,$885,1
2021,6037570402,Census Tract 5704.02,Long Beach,Los Angeles County,California,LongBeach,769.0,684.0,1303.0,116.0,1451.0,101.0,$1303,$1451,$769,1
2021,6037570403,Census Tract 5704.03,Long Beach,Los Angeles County,California,LongBeach,976.0,88.0,1225.0,115.0,1468.0,131.0,$1225,$1468,$976,1
2021,6037570404,Census Tract 5704.04,Long Beach,Los Angeles County,California,LongBeach,1151.0,134.0,1368.0,104.0,1630.0,200.0,$1368,$1630,$1151,1
2021,6037570502,Census Tract 5705.02,Long Beach,Los Angeles County,California,LongBeach,1112.0,93.0,1377.0,150.0,1826.0,206.0,$1377,$1826,$1112,1
2021,6037570503,Census Tract 5705.03,Long Beach,Los Angeles County,California,LongBeach,989.0,254.0,1500.0,275.0,1782.0,132.0,$1500,$1782,$989,1
2021,6037570504,Census Tract 5705.04,Long Beach,Los Angeles County,California,LongBeach,1066.0,70.0,1181.0,135.0,1391.0,375.0,$1181,$1391,$1066,1
2021,6037570601,Census Tract 5706.01,Long Beach,Los Angeles County,California,LongBeach,957.0,72.0,1158.0,80.0,1424.0,123.0,$1158,$1424,$957,1
2021,6037570602,Census Tract 5706.02,Long Beach,Los Angeles County,California,LongBeach,1120.0,224.0,1483.0,117.0,1806.0,76.0,$1483,$1806,$1120,1
2021,6037570603,Census Tract 5706.03,Long Beach,Los Angeles County,California,LongBeach,962.0,144.0,1416.0,144.0,1799.0,104.0,$1416,$1799,$962,1
2021,6037571201,Census Tract 5712.01,Long Beach,Los Angeles County,California,LongBeach,1103.0,62.0,1260.0,146.0,1592.0,431.0,$1260,$1592,$1103,1
2021,6037571202,Census Tract 5712.02,Long Beach,Los Angeles County,California,LongBeach,1089.0,192.0,1412.0,213.0,1741.0,152.0,$1412,$1741,$1089,1
2021,6037571300,Census Tract 5713,Long Beach,Los Angeles County,California,LongBeach,1833.0,649.0,2224.0,300.0,2591.0,594.0,$2224,$2591,$1833,1
2021,6037571502,Census Tract 5715.02,Long Beach,Los Angeles County,California,LongBeach,1276.0,121.0,1602.0,117.0,1896.0,104.0,$1602,$1896,$1276,1
2021,6037571504,Census Tract 5715.04,Long Beach,Los Angeles County,California,LongBeach,1277.0,121.0,1483.0,121.0,1983.0,220.0,$1483,$1983,$1277,1
2021,6037571505,Census Tract 5715.05,Long Beach,Los Angeles County,California,LongBeach,1266.0,235.0,1594.0,222.0,1913.0,164.0,$1594,$1913,$1266,1
2021,6037571600,Census Tract 5716,Long Beach,Los Angeles County,California,LongBeach,238.0,27.0,516.0,88.0,782.0,126.0,$516,$782,$238,1
2021,6037571701,Census Tract 5717.01,Long Beach,Los Angeles County,California,LongBeach,1115.0,163.0,1417.0,105.0,1738.0,114.0,$1417,$1738,$1115,1
2021,6037571703,Census Tract 5717.03,Long Beach,Los Angeles County,California,LongBeach,298.0,62.0,1019.0,405.0,1416.0,74.0,$1019,$1416,$298,1
2021,6037571704,Census Tract 5717.04,Long Beach,Los Angeles County,California,LongBeach,1048.0,100.0,1367.0,183.0,1701.0,107.0,$1367,$1701,$1048,1
2021,6037571800,Census Tract 5718,Long Beach,Los Angeles County,California,LongBeach,1403.0,119.0,1723.0,230.0,2109.0,317.0,$1723,$2109,$1403,1
2021,6037571900,Census Tract 5719,Long Beach,Los Angeles County,California,LongBeach,1323.0,44.0,1463.0,100.0,1867.0,287.0,$1463,$1867,$1323,1
2021,6037572001,Census Tract 5720.01,Long Beach,Los Angeles County,California,LongBeach,1206.0,134.0,1522.0,210.0,1954.0,261.0,$1522,$1954,$1206,1
2021,6037572201,Census Tract 5722.01,Long Beach,Los Angeles County,California,LongBeach,849.0,357.0,1290.0,203.0,1713.0,266.0,$1290,$1713,$849,1
2021,6037572202,Census Tract 5722.02,Long Beach,Los Angeles County,California,LongBeach,1144.0,254.0,1515.0,312.0,1896.0,221.0,$1515,$1896,$1144,1
2021,6037572301,Census Tract 5723.01,Long Beach,Los Angeles County,California,LongBeach,1148.0,66.0,1343.0,92.0,1640.0,237.0,$1343,$1640,$1148,1
2021,6037572500,Census Tract 5725,Long Beach,Los Angeles County,California,LongBeach,293.0,102.0,753.0,581.0,1249.0,138.0,$753,$1249,$293,1
2021,6037572600,Census Tract 5726,Long Beach,Los Angeles County,California,LongBeach,854.0,217.0,1284.0,328.0,1600.0,275.0,$1284,$1600,$854,1
2021,6037572700,Census Tract 5727,Long Beach,Los Angeles County,California,LongBeach,1061.0,108.0,1267.0,192.0,1707.0,387.0,$1267,$1707,$1061,1
2021,6037573002,Census Tract 5730.02,Long Beach,Los Angeles County,California,LongBeach,1065.0,77.0,1299.0,88.0,1540.0,141.0,$1299,$1540,$1065,1
2021,6037573003,Census Tract 5730.03,Long Beach,Los Angeles County,California,LongBeach,996.0,133.0,1332.0,216.0,1713.0,209.0,$1332,$1713,$996,1
2021,6037573004,Census Tract 5730.04,Long Beach,Los Angeles County,California,LongBeach,1041.0,71.0,1265.0,89.0,1548.0,182.0,$1265,$1548,$1041,1
2021,6037573101,Census Tract 5731.01,Long Beach,Los Angeles County,California,LongBeach,1048.0,109.0,1292.0,233.0,1770.0,230.0,$1292,$1770,$1048,1
2021,6037573102,Census Tract 5731.02,Long Beach,Los Angeles County,California,LongBeach,1002.0,201.0,1132.0,91.0,1296.0,303.0,$1132,$1296,$1002,1
2021,6037573201,Census Tract 5732.01,Long Beach,Los Angeles County,California,LongBeach,957.0,48.0,1167.0,85.0,1425.0,87.0,$1167,$1425,$957,1
