YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037101110,Census Tract 1011.10,Los Angeles,Los Angeles County,California,LosAngeles,634.0,72.0,927.0,98.0,1189.0,125.0,$927,$1189,$634
2010,6037101122,Census Tract 1011.22,Los Angeles,Los Angeles County,California,LosAngeles,960.0,180.0,1184.0,611.0,2001.0,,$1184,Not available. Exceeds $2000!,$960
2010,6037101210,Census Tract 1012.10,Los Angeles,Los Angeles County,California,LosAngeles,867.0,55.0,1036.0,59.0,1233.0,67.0,$1036,$1233,$867
2010,6037101220,Census Tract 1012.20,Los Angeles,Los Angeles County,California,LosAngeles,686.0,67.0,833.0,79.0,1083.0,223.0,$833,$1083,$686
2010,6037101300,Census Tract 1013,Los Angeles,Los Angeles County,California,LosAngeles,1004.0,307.0,1194.0,219.0,1454.0,541.0,$1194,$1454,$1004
2010,6037101400,Census Tract 1014,Los Angeles,Los Angeles County,California,LosAngeles,777.0,279.0,1096.0,180.0,1536.0,435.0,$1096,$1536,$777
2010,6037102103,Census Tract 1021.03,Los Angeles,Los Angeles County,California,LosAngeles,732.0,238.0,1101.0,684.0,1625.0,744.0,$1101,$1625,$732
2010,6037102104,Census Tract 1021.04,Los Angeles,Los Angeles County,California,LosAngeles,1102.0,921.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1102
2010,6037102105,Census Tract 1021.05,Los Angeles,Los Angeles County,California,LosAngeles,783.0,208.0,941.0,217.0,1078.0,673.0,$941,$1078,$783
2010,6037102107,Census Tract 1021.07,Los Angeles,Los Angeles County,California,LosAngeles,372.0,69.0,579.0,193.0,1541.0,1308.0,$579,$1541,$372
2010,6037103101,Census Tract 1031.01,Los Angeles,Los Angeles County,California,LosAngeles,1180.0,373.0,1875.0,786.0,2001.0,,$1875,Not available. Exceeds $2000!,$1180
2010,6037103102,Census Tract 1031.02,Los Angeles,Los Angeles County,California,LosAngeles,294.0,374.0,945.0,470.0,1574.0,383.0,$945,$1574,$294
2010,6037103200,Census Tract 1032,Los Angeles,Los Angeles County,California,LosAngeles,693.0,172.0,892.0,153.0,1750.0,1181.0,$892,$1750,$693
2010,6037103300,Census Tract 1033,Los Angeles,Los Angeles County,California,LosAngeles,1418.0,344.0,1756.0,259.0,2001.0,,$1756,Not available. Exceeds $2000!,$1418
2010,6037103400,Census Tract 1034,Los Angeles,Los Angeles County,California,LosAngeles,749.0,46.0,885.0,120.0,1130.0,158.0,$885,$1130,$749
2010,6037104103,Census Tract 1041.03,Los Angeles,Los Angeles County,California,LosAngeles,1003.0,571.0,1178.0,335.0,1342.0,178.0,$1178,$1342,$1003
2010,6037104105,Census Tract 1041.05,Los Angeles,Los Angeles County,California,LosAngeles,360.0,151.0,722.0,77.0,967.0,146.0,$722,$967,$360
2010,6037104108,Census Tract 1041.08,Los Angeles,Los Angeles County,California,LosAngeles,762.0,110.0,1050.0,88.0,1217.0,73.0,$1050,$1217,$762
2010,6037104124,Census Tract 1041.24,Los Angeles,Los Angeles County,California,LosAngeles,1022.0,95.0,1098.0,40.0,1174.0,20.0,$1098,$1174,$1022
2010,6037104201,Census Tract 1042.01,Los Angeles,Los Angeles County,California,LosAngeles,305.0,264.0,651.0,264.0,918.0,260.0,$651,$918,$305
2010,6037104203,Census Tract 1042.03,Los Angeles,Los Angeles County,California,LosAngeles,510.0,272.0,889.0,157.0,1245.0,233.0,$889,$1245,$510
2010,6037104204,Census Tract 1042.04,Los Angeles,Los Angeles County,California,LosAngeles,929.0,17.0,969.0,28.0,1183.0,469.0,$969,$1183,$929
2010,6037104310,Census Tract 1043.10,Los Angeles,Los Angeles County,California,LosAngeles,843.0,185.0,1060.0,430.0,1354.0,251.0,$1060,$1354,$843
2010,6037104320,Census Tract 1043.20,Los Angeles,Los Angeles County,California,LosAngeles,475.0,314.0,866.0,989.0,1775.0,231.0,$866,$1775,$475
2010,6037104401,Census Tract 1044.01,Los Angeles,Los Angeles County,California,LosAngeles,594.0,81.0,756.0,258.0,1105.0,518.0,$756,$1105,$594
2010,6037104403,Census Tract 1044.03,Los Angeles,Los Angeles County,California,LosAngeles,829.0,142.0,987.0,214.0,1259.0,499.0,$987,$1259,$829
2010,6037104404,Census Tract 1044.04,Los Angeles,Los Angeles County,California,LosAngeles,818.0,43.0,870.0,37.0,1030.0,255.0,$870,$1030,$818
2010,6037104500,Census Tract 1045,Los Angeles,Los Angeles County,California,LosAngeles,518.0,180.0,1012.0,522.0,2001.0,,$1012,Not available. Exceeds $2000!,$518
2010,6037104610,Census Tract 1046.10,Los Angeles,Los Angeles County,California,LosAngeles,966.0,176.0,1215.0,413.0,1703.0,259.0,$1215,$1703,$966
2010,6037104620,Census Tract 1046.20,Los Angeles,Los Angeles County,California,LosAngeles,543.0,152.0,975.0,291.0,1188.0,124.0,$975,$1188,$543
2010,6037104701,Census Tract 1047.01,Los Angeles,Los Angeles County,California,LosAngeles,411.0,56.0,709.0,205.0,850.0,47.0,$709,$850,$411
2010,6037104703,Census Tract 1047.03,Los Angeles,Los Angeles County,California,LosAngeles,945.0,96.0,1070.0,59.0,1177.0,40.0,$1070,$1177,$945
2010,6037104704,Census Tract 1047.04,Los Angeles,Los Angeles County,California,LosAngeles,1068.0,76.0,1234.0,148.0,1535.0,335.0,$1234,$1535,$1068
2010,6037104810,Census Tract 1048.10,Los Angeles,Los Angeles County,California,LosAngeles,848.0,222.0,1109.0,187.0,1363.0,393.0,$1109,$1363,$848
2010,6037104821,Census Tract 1048.21,Los Angeles,Los Angeles County,California,LosAngeles,916.0,62.0,1010.0,131.0,1286.0,191.0,$1010,$1286,$916
2010,6037104822,Census Tract 1048.22,Los Angeles,Los Angeles County,California,LosAngeles,336.0,380.0,1007.0,216.0,1346.0,124.0,$1007,$1346,$336
2010,6037106010,Census Tract 1060.10,Los Angeles,Los Angeles County,California,LosAngeles,1111.0,65.0,1221.0,141.0,1430.0,1031.0,$1221,$1430,$1111
2010,6037106020,Census Tract 1060.20,Los Angeles,Los Angeles County,California,LosAngeles,947.0,1217.0,1928.0,423.0,2001.0,,$1928,Not available. Exceeds $2000!,$947
2010,6037106111,Census Tract 1061.11,Los Angeles,Los Angeles County,California,LosAngeles,1553.0,512.0,1758.0,130.0,1963.0,204.0,$1758,$1963,$1553
2010,6037106112,Census Tract 1061.12,Los Angeles,Los Angeles County,California,LosAngeles,1031.0,427.0,1361.0,519.0,1786.0,339.0,$1361,$1786,$1031
2010,6037106113,Census Tract 1061.13,Los Angeles,Los Angeles County,California,LosAngeles,806.0,460.0,1348.0,1029.0,1857.0,512.0,$1348,$1857,$806
2010,6037106114,Census Tract 1061.14,Los Angeles,Los Angeles County,California,LosAngeles,774.0,166.0,1016.0,111.0,1253.0,159.0,$1016,$1253,$774
2010,6037106403,Census Tract 1064.03,Los Angeles,Los Angeles County,California,LosAngeles,1115.0,186.0,1278.0,193.0,1422.0,188.0,$1278,$1422,$1115
