YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,1205.0,259.0,,,3501.0,,Not Available!,Not available. Exceeds $3500!,$1205,1
2021,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,2208.0,1793.0,3500.0,768.0,3501.0,,$3500,Not available. Exceeds $3500!,$2208,1
2021,6037800411,Census Tract 8004.11,Malibu,Los Angeles County,California,Malibu,,,2896.0,2662.0,3501.0,,$2896,Not available. Exceeds $3500!,Not Available!,1
2021,6037800412,Census Tract 8004.12,Malibu,Los Angeles County,California,Malibu,,,3045.0,1219.0,3342.0,307.0,$3045,$3342,Not Available!,1
2021,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,1752.0,412.0,2402.0,845.0,3274.0,289.0,$2402,$3274,$1752,1
2021,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,3081.0,2538.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$3081,1
2021,6037990100,Census Tract 9901,Malibu,Los Angeles County,California,Malibu,,,,,,,Not Available!,Not Available!,Not Available!,1
2021,6037990200,Census Tract 9902,Malibu,Los Angeles County,California,Malibu,,,,,,,Not Available!,Not Available!,Not Available!,1
2012,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,1773.0,904.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1773,1
2012,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,1719.0,289.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1719,1
2012,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,1729.0,146.0,1958.0,260.0,2001.0,,$1958,Not available. Exceeds $2000!,$1729,1
2012,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,1342.0,245.0,1896.0,437.0,2001.0,,$1896,Not available. Exceeds $2000!,$1342,1
2012,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,1767.0,308.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1767,1
2013,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,1582.0,546.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1582,1
2013,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,1580.0,393.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1580,1
2013,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,1809.0,203.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1809,1
2013,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,1390.0,375.0,2000.0,318.0,2001.0,,$2000,Not available. Exceeds $2000!,$1390,1
2013,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,1766.0,183.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1766,1
2014,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,1446.0,867.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1446,1
2014,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2014,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,1920.0,357.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1920,1
2014,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,1651.0,220.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1651,1
2014,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,1965.0,211.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1965,1
2023,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,3501.0,,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,Not available. Exceeds $3500!,1
2023,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,1313.0,246.0,3000.0,1749.0,3501.0,,$3000,Not available. Exceeds $3500!,$1313,1
2023,6037800411,Census Tract 8004.11,Malibu,Los Angeles County,California,Malibu,3501.0,,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,Not available. Exceeds $3500!,1
2023,6037800412,Census Tract 8004.12,Malibu,Los Angeles County,California,Malibu,2028.0,1508.0,3250.0,1682.0,3501.0,,$3250,Not available. Exceeds $3500!,$2028,1
2023,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,2117.0,523.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$2117,1
2023,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,1714.0,622.0,3477.0,1112.0,3501.0,,$3477,Not available. Exceeds $3500!,$1714,1
2023,6037990100,Census Tract 9901,Malibu,Los Angeles County,California,Malibu,,,,,,,Not Available!,Not Available!,Not Available!,1
2023,6037990200,Census Tract 9902,Malibu,Los Angeles County,California,Malibu,,,,,,,Not Available!,Not Available!,Not Available!,1
2011,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,1652.0,779.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1652,1
2011,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,1678.0,223.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1678,1
2011,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,1383.0,510.0,1822.0,369.0,2001.0,,$1822,Not available. Exceeds $2000!,$1383,1
2011,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,1338.0,293.0,1978.0,347.0,2001.0,,$1978,Not available. Exceeds $2000!,$1338,1
2011,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,1782.0,305.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1782,1
2015,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,1411.0,799.0,1829.0,347.0,2849.0,503.0,$1829,$2849,$1411,1
2015,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,1457.0,741.0,2941.0,936.0,3501.0,,$2941,Not available. Exceeds $3500!,$1457,1
2015,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,1770.0,353.0,2813.0,1077.0,3395.0,342.0,$2813,$3395,$1770,1
2015,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,1694.0,202.0,2163.0,399.0,2752.0,276.0,$2163,$2752,$1694,1
2015,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,1832.0,232.0,2636.0,627.0,3269.0,149.0,$2636,$3269,$1832,1
2010,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,1582.0,985.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1582,1
2010,6037800408,Census Tract 8004.08,Malibu,Los Angeles County,California,Malibu,1691.0,150.0,1997.0,222.0,2001.0,,$1997,Not available. Exceeds $2000!,$1691,1
2010,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,1539.0,421.0,1873.0,312.0,2001.0,,$1873,Not available. Exceeds $2000!,$1539,1
2010,6037800504,Census Tract 8005.04,Malibu,Los Angeles County,California,Malibu,1383.0,473.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1383,1
2010,6037800506,Census Tract 8005.06,Malibu,Los Angeles County,California,Malibu,1837.0,269.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1837,1
2020,6037800406,Census Tract 8004.06,Malibu,Los Angeles County,California,Malibu,1217.0,258.0,3115.0,2847.0,3501.0,,$3115,Not available. Exceeds $3500!,$1217,1
2020,6037800410,Census Tract 8004.10,Malibu,Los Angeles County,California,Malibu,2094.0,1072.0,2929.0,1572.0,3501.0,,$2929,Not available. Exceeds $3500!,$2094,1
