YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037901218,Census Tract 9012.18,Palmdale,Los Angeles County,California,Palmdale,,,,,,,Not Available!,Not Available!,Not Available!,1
2021,6037910002,Census Tract 9100.02,Palmdale,Los Angeles County,California,Palmdale,878.0,276.0,1272.0,171.0,1435.0,94.0,$1272,$1435,$878,1
2021,6037910210,Census Tract 9102.10,Palmdale,Los Angeles County,California,Palmdale,1866.0,308.0,2175.0,250.0,2450.0,254.0,$2175,$2450,$1866,1
2021,6037910213,Census Tract 9102.13,Palmdale,Los Angeles County,California,Palmdale,1848.0,893.0,2139.0,243.0,2319.0,110.0,$2139,$2319,$1848,1
2021,6037910214,Census Tract 9102.14,Palmdale,Los Angeles County,California,Palmdale,1539.0,238.0,1807.0,172.0,2179.0,326.0,$1807,$2179,$1539,1
2021,6037910215,Census Tract 9102.15,Palmdale,Los Angeles County,California,Palmdale,1000.0,242.0,1375.0,111.0,1709.0,164.0,$1375,$1709,$1000,1
2021,6037910216,Census Tract 9102.16,Palmdale,Los Angeles County,California,Palmdale,1480.0,193.0,1714.0,200.0,1948.0,202.0,$1714,$1948,$1480,1
2021,6037910217,Census Tract 9102.17,Palmdale,Los Angeles County,California,Palmdale,1671.0,72.0,1841.0,145.0,2037.0,319.0,$1841,$2037,$1671,1
2021,6037910218,Census Tract 9102.18,Palmdale,Los Angeles County,California,Palmdale,1065.0,116.0,1498.0,364.0,1868.0,162.0,$1498,$1868,$1065,1
2021,6037910301,Census Tract 9103.01,Palmdale,Los Angeles County,California,Palmdale,937.0,43.0,984.0,182.0,1176.0,657.0,$984,$1176,$937,1
2021,6037910302,Census Tract 9103.02,Palmdale,Los Angeles County,California,Palmdale,1345.0,891.0,1641.0,290.0,1925.0,886.0,$1641,$1925,$1345,1
2021,6037910401,Census Tract 9104.01,Palmdale,Los Angeles County,California,Palmdale,1305.0,246.0,1540.0,184.0,1839.0,157.0,$1540,$1839,$1305,1
2021,6037910404,Census Tract 9104.04,Palmdale,Los Angeles County,California,Palmdale,1166.0,102.0,1355.0,92.0,1576.0,207.0,$1355,$1576,$1166,1
2021,6037910405,Census Tract 9104.05,Palmdale,Los Angeles County,California,Palmdale,852.0,58.0,1061.0,58.0,1243.0,70.0,$1061,$1243,$852,1
2021,6037910501,Census Tract 9105.01,Palmdale,Los Angeles County,California,Palmdale,647.0,64.0,898.0,65.0,1120.0,53.0,$898,$1120,$647,1
2021,6037910502,Census Tract 9105.02,Palmdale,Los Angeles County,California,Palmdale,927.0,54.0,1068.0,58.0,1218.0,73.0,$1068,$1218,$927,1
2021,6037910504,Census Tract 9105.04,Palmdale,Los Angeles County,California,Palmdale,640.0,291.0,1192.0,537.0,1695.0,118.0,$1192,$1695,$640,1
2021,6037910505,Census Tract 9105.05,Palmdale,Los Angeles County,California,Palmdale,1093.0,241.0,1399.0,258.0,1759.0,234.0,$1399,$1759,$1093,1
2021,6037910601,Census Tract 9106.01,Palmdale,Los Angeles County,California,Palmdale,875.0,451.0,1342.0,143.0,1604.0,239.0,$1342,$1604,$875,1
2021,6037910602,Census Tract 9106.02,Palmdale,Los Angeles County,California,Palmdale,1018.0,757.0,1231.0,133.0,1493.0,170.0,$1231,$1493,$1018,1
2021,6037910605,Census Tract 9106.05,Palmdale,Los Angeles County,California,Palmdale,,,1332.0,238.0,1500.0,154.0,$1332,$1500,Not Available!,1
2021,6037910606,Census Tract 9106.06,Palmdale,Los Angeles County,California,Palmdale,1008.0,556.0,1313.0,135.0,1499.0,219.0,$1313,$1499,$1008,1
2021,6037910607,Census Tract 9106.07,Palmdale,Los Angeles County,California,Palmdale,651.0,109.0,965.0,307.0,1479.0,404.0,$965,$1479,$651,1
2021,6037910608,Census Tract 9106.08,Palmdale,Los Angeles County,California,Palmdale,1449.0,225.0,1652.0,99.0,1826.0,49.0,$1652,$1826,$1449,1
2021,6037910706,Census Tract 9107.06,Palmdale,Los Angeles County,California,Palmdale,,,1482.0,281.0,1991.0,337.0,$1482,$1991,Not Available!,1
2021,6037910707,Census Tract 9107.07,Palmdale,Los Angeles County,California,Palmdale,1060.0,56.0,1214.0,77.0,1428.0,101.0,$1214,$1428,$1060,1
2021,6037910709,Census Tract 9107.09,Palmdale,Los Angeles County,California,Palmdale,,,,,,,Not Available!,Not Available!,Not Available!,1
2021,6037910712,Census Tract 9107.12,Palmdale,Los Angeles County,California,Palmdale,1508.0,606.0,1709.0,125.0,1909.0,112.0,$1709,$1909,$1508,1
2021,6037910713,Census Tract 9107.13,Palmdale,Los Angeles County,California,Palmdale,1283.0,124.0,1495.0,160.0,1762.0,115.0,$1495,$1762,$1283,1
2021,6037910714,Census Tract 9107.14,Palmdale,Los Angeles County,California,Palmdale,1259.0,232.0,1594.0,159.0,1832.0,93.0,$1594,$1832,$1259,1
2021,6037910715,Census Tract 9107.15,Palmdale,Los Angeles County,California,Palmdale,1129.0,561.0,1385.0,96.0,1613.0,307.0,$1385,$1613,$1129,1
2021,6037910716,Census Tract 9107.16,Palmdale,Los Angeles County,California,Palmdale,1307.0,257.0,1603.0,180.0,1872.0,149.0,$1603,$1872,$1307,1
2021,6037910717,Census Tract 9107.17,Palmdale,Los Angeles County,California,Palmdale,,,,,,,Not Available!,Not Available!,Not Available!,1
2021,6037910718,Census Tract 9107.18,Palmdale,Los Angeles County,California,Palmdale,1523.0,235.0,1701.0,160.0,1879.0,114.0,$1701,$1879,$1523,1
2021,6037910719,Census Tract 9107.19,Palmdale,Los Angeles County,California,Palmdale,1231.0,214.0,1397.0,222.0,1695.0,490.0,$1397,$1695,$1231,1
2021,6037910720,Census Tract 9107.20,Palmdale,Los Angeles County,California,Palmdale,864.0,100.0,1079.0,225.0,1550.0,464.0,$1079,$1550,$864,1
2021,6037910721,Census Tract 9107.21,Palmdale,Los Angeles County,California,Palmdale,1109.0,124.0,1219.0,475.0,1646.0,352.0,$1219,$1646,$1109,1
2021,6037910815,Census Tract 9108.15,Palmdale,Los Angeles County,California,Palmdale,,,,,1899.0,916.0,Not Available!,$1899,Not Available!,1
