YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037540000,Census Tract 5400,Paramount,Los Angeles County,California,Paramount,834.0,37.0,948.0,50.0,1173.0,121.0,$948,$1173,$834
2010,6037542104,Census Tract 5421.04,Paramount,Los Angeles County,California,Paramount,823.0,47.0,1009.0,273.0,1259.0,370.0,$1009,$1259,$823
2010,6037542106,Census Tract 5421.06,Paramount,Los Angeles County,California,Paramount,634.0,214.0,971.0,92.0,1140.0,99.0,$971,$1140,$634
2010,6037542200,Census Tract 5422,Paramount,Los Angeles County,California,Paramount,672.0,143.0,909.0,207.0,1436.0,240.0,$909,$1436,$672
2010,6037553502,Census Tract 5535.02,Paramount,Los Angeles County,California,Paramount,848.0,43.0,982.0,75.0,1160.0,60.0,$982,$1160,$848
2010,6037553503,Census Tract 5535.03,Paramount,Los Angeles County,California,Paramount,969.0,74.0,1116.0,106.0,1309.0,218.0,$1116,$1309,$969
2010,6037553504,Census Tract 5535.04,Paramount,Los Angeles County,California,Paramount,879.0,101.0,1041.0,281.0,1380.0,232.0,$1041,$1380,$879
2010,6037553601,Census Tract 5536.01,Paramount,Los Angeles County,California,Paramount,903.0,94.0,1058.0,60.0,1193.0,52.0,$1058,$1193,$903
2010,6037553602,Census Tract 5536.02,Paramount,Los Angeles County,California,Paramount,1068.0,67.0,1254.0,70.0,1415.0,51.0,$1254,$1415,$1068
2010,6037553701,Census Tract 5537.01,Paramount,Los Angeles County,California,Paramount,843.0,96.0,1057.0,88.0,1218.0,78.0,$1057,$1218,$843
2010,6037553702,Census Tract 5537.02,Paramount,Los Angeles County,California,Paramount,831.0,47.0,974.0,166.0,1179.0,96.0,$974,$1179,$831
2010,6037553801,Census Tract 5538.01,Paramount,Los Angeles County,California,Paramount,807.0,58.0,1008.0,83.0,1139.0,30.0,$1008,$1139,$807
2010,6037553802,Census Tract 5538.02,Paramount,Los Angeles County,California,Paramount,768.0,48.0,977.0,39.0,1148.0,45.0,$977,$1148,$768
2010,6037553901,Census Tract 5539.01,Paramount,Los Angeles County,California,Paramount,766.0,109.0,983.0,96.0,1191.0,85.0,$983,$1191,$766
2010,6037553902,Census Tract 5539.02,Paramount,Los Angeles County,California,Paramount,927.0,27.0,1022.0,58.0,1181.0,44.0,$1022,$1181,$927
2010,6037570202,Census Tract 5702.02,Paramount,Los Angeles County,California,Paramount,749.0,75.0,958.0,311.0,1401.0,223.0,$958,$1401,$749
2011,6037540000,Census Tract 5400,Paramount,Los Angeles County,California,Paramount,826.0,96.0,966.0,60.0,1231.0,139.0,$966,$1231,$826
2011,6037542104,Census Tract 5421.04,Paramount,Los Angeles County,California,Paramount,915.0,123.0,1069.0,170.0,1363.0,203.0,$1069,$1363,$915
2011,6037542106,Census Tract 5421.06,Paramount,Los Angeles County,California,Paramount,644.0,303.0,1021.0,182.0,1184.0,172.0,$1021,$1184,$644
2011,6037542200,Census Tract 5422,Paramount,Los Angeles County,California,Paramount,724.0,188.0,899.0,126.0,1413.0,365.0,$899,$1413,$724
2011,6037553502,Census Tract 5535.02,Paramount,Los Angeles County,California,Paramount,926.0,66.0,1068.0,69.0,1214.0,63.0,$1068,$1214,$926
2011,6037553503,Census Tract 5535.03,Paramount,Los Angeles County,California,Paramount,940.0,45.0,1253.0,434.0,1414.0,79.0,$1253,$1414,$940
2011,6037553504,Census Tract 5535.04,Paramount,Los Angeles County,California,Paramount,934.0,94.0,1120.0,134.0,1348.0,156.0,$1120,$1348,$934
2011,6037553601,Census Tract 5536.01,Paramount,Los Angeles County,California,Paramount,904.0,129.0,1102.0,62.0,1249.0,96.0,$1102,$1249,$904
2011,6037553602,Census Tract 5536.02,Paramount,Los Angeles County,California,Paramount,1061.0,61.0,1249.0,68.0,1400.0,39.0,$1249,$1400,$1061
2011,6037553701,Census Tract 5537.01,Paramount,Los Angeles County,California,Paramount,866.0,90.0,1058.0,86.0,1208.0,107.0,$1058,$1208,$866
2011,6037553702,Census Tract 5537.02,Paramount,Los Angeles County,California,Paramount,825.0,103.0,1009.0,124.0,1197.0,85.0,$1009,$1197,$825
2011,6037553801,Census Tract 5538.01,Paramount,Los Angeles County,California,Paramount,838.0,83.0,1028.0,66.0,1176.0,40.0,$1028,$1176,$838
2011,6037553802,Census Tract 5538.02,Paramount,Los Angeles County,California,Paramount,766.0,95.0,990.0,60.0,1173.0,57.0,$990,$1173,$766
2011,6037553901,Census Tract 5539.01,Paramount,Los Angeles County,California,Paramount,691.0,145.0,963.0,93.0,1196.0,156.0,$963,$1196,$691
2011,6037553902,Census Tract 5539.02,Paramount,Los Angeles County,California,Paramount,951.0,55.0,1102.0,51.0,1257.0,91.0,$1102,$1257,$951
2011,6037570202,Census Tract 5702.02,Paramount,Los Angeles County,California,Paramount,790.0,117.0,1071.0,396.0,1540.0,235.0,$1071,$1540,$790
2012,6037540000,Census Tract 5400,Paramount,Los Angeles County,California,Paramount,806.0,180.0,1009.0,81.0,1242.0,156.0,$1009,$1242,$806
2012,6037542104,Census Tract 5421.04,Paramount,Los Angeles County,California,Paramount,927.0,74.0,1099.0,171.0,1395.0,210.0,$1099,$1395,$927
2012,6037542106,Census Tract 5421.06,Paramount,Los Angeles County,California,Paramount,641.0,319.0,966.0,132.0,1126.0,80.0,$966,$1126,$641
2012,6037542200,Census Tract 5422,Paramount,Los Angeles County,California,Paramount,795.0,134.0,1023.0,186.0,1404.0,194.0,$1023,$1404,$795
2012,6037553502,Census Tract 5535.02,Paramount,Los Angeles County,California,Paramount,942.0,97.0,1093.0,47.0,1217.0,46.0,$1093,$1217,$942
2012,6037553503,Census Tract 5535.03,Paramount,Los Angeles County,California,Paramount,965.0,83.0,1302.0,94.0,1456.0,147.0,$1302,$1456,$965
2012,6037553504,Census Tract 5535.04,Paramount,Los Angeles County,California,Paramount,963.0,44.0,1087.0,53.0,1215.0,72.0,$1087,$1215,$963
2012,6037553601,Census Tract 5536.01,Paramount,Los Angeles County,California,Paramount,996.0,86.0,1128.0,53.0,1271.0,110.0,$1128,$1271,$996
2012,6037553602,Census Tract 5536.02,Paramount,Los Angeles County,California,Paramount,1019.0,235.0,1262.0,77.0,1426.0,48.0,$1262,$1426,$1019
2012,6037553701,Census Tract 5537.01,Paramount,Los Angeles County,California,Paramount,926.0,65.0,1079.0,55.0,1215.0,54.0,$1079,$1215,$926
2012,6037553702,Census Tract 5537.02,Paramount,Los Angeles County,California,Paramount,824.0,70.0,951.0,124.0,1216.0,184.0,$951,$1216,$824
2012,6037553801,Census Tract 5538.01,Paramount,Los Angeles County,California,Paramount,860.0,87.0,1053.0,81.0,1269.0,85.0,$1053,$1269,$860
2012,6037553802,Census Tract 5538.02,Paramount,Los Angeles County,California,Paramount,756.0,110.0,995.0,66.0,1225.0,87.0,$995,$1225,$756
2012,6037553901,Census Tract 5539.01,Paramount,Los Angeles County,California,Paramount,808.0,176.0,985.0,68.0,1193.0,88.0,$985,$1193,$808
