YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037901013,Census Tract 9010.13,Quartz Hill,Los Angeles County,California,QuartzHill,1530.0,207.0,1754.0,195.0,1978.0,291.0,$1754,$1978,$1530,1
2021,6037901101,Census Tract 9011.01,Quartz Hill,Los Angeles County,California,QuartzHill,958.0,229.0,1294.0,192.0,1701.0,215.0,$1294,$1701,$958,1
2021,6037901102,Census Tract 9011.02,Quartz Hill,Los Angeles County,California,QuartzHill,957.0,67.0,1100.0,66.0,1244.0,167.0,$1100,$1244,$957,1
2021,6037910211,Census Tract 9102.11,Quartz Hill,Los Angeles County,California,QuartzHill,2000.0,1862.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$2000,1
2021,6037910301,Census Tract 9103.01,Quartz Hill,Los Angeles County,California,QuartzHill,937.0,43.0,984.0,182.0,1176.0,657.0,$984,$1176,$937,1
2012,6037901004,Census Tract 9010.04,Quartz Hill,Los Angeles County,California,QuartzHill,976.0,124.0,1445.0,338.0,1827.0,162.0,$1445,$1827,$976,1
2012,6037901101,Census Tract 9011.01,Quartz Hill,Los Angeles County,California,QuartzHill,646.0,376.0,801.0,114.0,999.0,195.0,$801,$999,$646,1
2012,6037901102,Census Tract 9011.02,Quartz Hill,Los Angeles County,California,QuartzHill,840.0,90.0,1005.0,158.0,1639.0,235.0,$1005,$1639,$840,1
2012,6037910202,Census Tract 9102.02,Quartz Hill,Los Angeles County,California,QuartzHill,871.0,326.0,1201.0,212.0,1414.0,127.0,$1201,$1414,$871,1
2012,6037910301,Census Tract 9103.01,Quartz Hill,Los Angeles County,California,QuartzHill,648.0,380.0,1030.0,787.0,1355.0,425.0,$1030,$1355,$648,1
2013,6037901004,Census Tract 9010.04,Quartz Hill,Los Angeles County,California,QuartzHill,987.0,154.0,1323.0,278.0,1720.0,193.0,$1323,$1720,$987,1
2013,6037901101,Census Tract 9011.01,Quartz Hill,Los Angeles County,California,QuartzHill,723.0,314.0,931.0,271.0,1246.0,146.0,$931,$1246,$723,1
2013,6037901102,Census Tract 9011.02,Quartz Hill,Los Angeles County,California,QuartzHill,798.0,110.0,954.0,70.0,1624.0,213.0,$954,$1624,$798,1
2013,6037910202,Census Tract 9102.02,Quartz Hill,Los Angeles County,California,QuartzHill,885.0,368.0,1202.0,186.0,1392.0,141.0,$1202,$1392,$885,1
2013,6037910301,Census Tract 9103.01,Quartz Hill,Los Angeles County,California,QuartzHill,647.0,256.0,850.0,794.0,1398.0,422.0,$850,$1398,$647,1
2014,6037901004,Census Tract 9010.04,Quartz Hill,Los Angeles County,California,QuartzHill,1066.0,189.0,1521.0,201.0,1799.0,86.0,$1521,$1799,$1066,1
2014,6037901101,Census Tract 9011.01,Quartz Hill,Los Angeles County,California,QuartzHill,733.0,291.0,1053.0,235.0,1346.0,203.0,$1053,$1346,$733,1
2014,6037901102,Census Tract 9011.02,Quartz Hill,Los Angeles County,California,QuartzHill,789.0,43.0,932.0,78.0,1607.0,289.0,$932,$1607,$789,1
2014,6037910202,Census Tract 9102.02,Quartz Hill,Los Angeles County,California,QuartzHill,804.0,262.0,1212.0,317.0,1620.0,370.0,$1212,$1620,$804,1
2014,6037910301,Census Tract 9103.01,Quartz Hill,Los Angeles County,California,QuartzHill,675.0,186.0,1060.0,573.0,1350.0,400.0,$1060,$1350,$675,1
2023,6037901013,Census Tract 9010.13,Quartz Hill,Los Angeles County,California,QuartzHill,1657.0,129.0,1889.0,226.0,2325.0,461.0,$1889,$2325,$1657,1
2023,6037901101,Census Tract 9011.01,Quartz Hill,Los Angeles County,California,QuartzHill,1334.0,412.0,1877.0,1172.0,2941.0,1625.0,$1877,$2941,$1334,1
2023,6037901102,Census Tract 9011.02,Quartz Hill,Los Angeles County,California,QuartzHill,1120.0,89.0,1350.0,172.0,1719.0,266.0,$1350,$1719,$1120,1
2023,6037910211,Census Tract 9102.11,Quartz Hill,Los Angeles County,California,QuartzHill,3501.0,,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,Not available. Exceeds $3500!,1
2023,6037910301,Census Tract 9103.01,Quartz Hill,Los Angeles County,California,QuartzHill,1074.0,37.0,1159.0,225.0,1245.0,1063.0,$1159,$1245,$1074,1
