YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037620501,Census Tract 6205.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1737.0,336.0,2275.0,249.0,2882.0,433.0,$2275,$2882,$1737,1
2021,6037620521,Census Tract 6205.21,Redondo Beach,Los Angeles County,California,RedondoBeach,1707.0,136.0,2134.0,211.0,2652.0,277.0,$2134,$2652,$1707,1
2021,6037620522,Census Tract 6205.22,Redondo Beach,Los Angeles County,California,RedondoBeach,1864.0,157.0,2388.0,193.0,2974.0,297.0,$2388,$2974,$1864,1
2021,6037620601,Census Tract 6206.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1609.0,137.0,1971.0,183.0,2475.0,201.0,$1971,$2475,$1609,1
2021,6037620602,Census Tract 6206.02,Redondo Beach,Los Angeles County,California,RedondoBeach,1557.0,138.0,1772.0,119.0,1986.0,1876.0,$1772,$1986,$1557,1
2021,6037620701,Census Tract 6207.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1827.0,121.0,2175.0,130.0,2501.0,251.0,$2175,$2501,$1827,1
2021,6037620703,Census Tract 6207.03,Redondo Beach,Los Angeles County,California,RedondoBeach,1762.0,501.0,2291.0,533.0,2692.0,204.0,$2291,$2692,$1762,1
2021,6037620704,Census Tract 6207.04,Redondo Beach,Los Angeles County,California,RedondoBeach,1822.0,184.0,2201.0,313.0,2882.0,1360.0,$2201,$2882,$1822,1
2021,6037621201,Census Tract 6212.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1959.0,246.0,2453.0,254.0,3111.0,420.0,$2453,$3111,$1959,1
2021,6037621204,Census Tract 6212.04,Redondo Beach,Los Angeles County,California,RedondoBeach,1687.0,336.0,2350.0,226.0,2948.0,222.0,$2350,$2948,$1687,1
2021,6037621301,Census Tract 6213.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1780.0,197.0,2190.0,88.0,2470.0,182.0,$2190,$2470,$1780,1
2021,6037621324,Census Tract 6213.24,Redondo Beach,Los Angeles County,California,RedondoBeach,1612.0,190.0,2154.0,244.0,3044.0,746.0,$2154,$3044,$1612,1
2021,6037621326,Census Tract 6213.26,Redondo Beach,Los Angeles County,California,RedondoBeach,1782.0,177.0,2213.0,120.0,2608.0,223.0,$2213,$2608,$1782,1
2021,6037621400,Census Tract 6214,Redondo Beach,Los Angeles County,California,RedondoBeach,1673.0,78.0,1944.0,119.0,2498.0,258.0,$1944,$2498,$1673,1
2012,6037620501,Census Tract 6205.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1234.0,206.0,1631.0,200.0,2001.0,,$1631,Not available. Exceeds $2000!,$1234,1
2012,6037620521,Census Tract 6205.21,Redondo Beach,Los Angeles County,California,RedondoBeach,1092.0,104.0,1336.0,73.0,1570.0,193.0,$1336,$1570,$1092,1
2012,6037620522,Census Tract 6205.22,Redondo Beach,Los Angeles County,California,RedondoBeach,1321.0,48.0,1493.0,102.0,1777.0,78.0,$1493,$1777,$1321,1
2012,6037620601,Census Tract 6206.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1078.0,88.0,1368.0,143.0,1735.0,99.0,$1368,$1735,$1078,1
2012,6037620602,Census Tract 6206.02,Redondo Beach,Los Angeles County,California,RedondoBeach,1305.0,211.0,1651.0,197.0,2001.0,,$1651,Not available. Exceeds $2000!,$1305,1
2012,6037620701,Census Tract 6207.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1094.0,146.0,1468.0,176.0,2001.0,,$1468,Not available. Exceeds $2000!,$1094,1
2012,6037620702,Census Tract 6207.02,Redondo Beach,Los Angeles County,California,RedondoBeach,1479.0,282.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1479,1
2012,6037621201,Census Tract 6212.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1372.0,73.0,1702.0,151.0,2001.0,,$1702,Not available. Exceeds $2000!,$1372,1
2012,6037621204,Census Tract 6212.04,Redondo Beach,Los Angeles County,California,RedondoBeach,873.0,74.0,1370.0,186.0,1943.0,211.0,$1370,$1943,$873,1
2012,6037621301,Census Tract 6213.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1422.0,126.0,1749.0,107.0,2001.0,,$1749,Not available. Exceeds $2000!,$1422,1
2012,6037621324,Census Tract 6213.24,Redondo Beach,Los Angeles County,California,RedondoBeach,1371.0,122.0,1733.0,114.0,2001.0,,$1733,Not available. Exceeds $2000!,$1371,1
2012,6037621326,Census Tract 6213.26,Redondo Beach,Los Angeles County,California,RedondoBeach,1410.0,55.0,1691.0,72.0,1992.0,119.0,$1691,$1992,$1410,1
2012,6037621400,Census Tract 6214,Redondo Beach,Los Angeles County,California,RedondoBeach,1255.0,105.0,1629.0,122.0,1939.0,106.0,$1629,$1939,$1255,1
2012,6037650502,Census Tract 6505.02,Redondo Beach,Los Angeles County,California,RedondoBeach,1544.0,123.0,1822.0,133.0,2001.0,,$1822,Not available. Exceeds $2000!,$1544,1
2013,6037620501,Census Tract 6205.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1459.0,253.0,1790.0,131.0,2001.0,,$1790,Not available. Exceeds $2000!,$1459,1
2013,6037620521,Census Tract 6205.21,Redondo Beach,Los Angeles County,California,RedondoBeach,1078.0,114.0,1341.0,67.0,1598.0,177.0,$1341,$1598,$1078,1
2013,6037620522,Census Tract 6205.22,Redondo Beach,Los Angeles County,California,RedondoBeach,1348.0,37.0,1496.0,100.0,1796.0,74.0,$1496,$1796,$1348,1
2013,6037620601,Census Tract 6206.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1126.0,78.0,1423.0,157.0,1803.0,108.0,$1423,$1803,$1126,1
2013,6037620602,Census Tract 6206.02,Redondo Beach,Los Angeles County,California,RedondoBeach,1260.0,269.0,1614.0,155.0,1895.0,116.0,$1614,$1895,$1260,1
2013,6037620701,Census Tract 6207.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1112.0,103.0,1624.0,219.0,2001.0,,$1624,Not available. Exceeds $2000!,$1112,1
2013,6037620702,Census Tract 6207.02,Redondo Beach,Los Angeles County,California,RedondoBeach,1466.0,308.0,1987.0,221.0,2001.0,,$1987,Not available. Exceeds $2000!,$1466,1
2013,6037621201,Census Tract 6212.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1364.0,75.0,1658.0,135.0,2001.0,,$1658,Not available. Exceeds $2000!,$1364,1
2013,6037621204,Census Tract 6212.04,Redondo Beach,Los Angeles County,California,RedondoBeach,926.0,73.0,1379.0,206.0,1967.0,236.0,$1379,$1967,$926,1
2013,6037621301,Census Tract 6213.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1408.0,125.0,1725.0,83.0,2001.0,,$1725,Not available. Exceeds $2000!,$1408,1
2013,6037621324,Census Tract 6213.24,Redondo Beach,Los Angeles County,California,RedondoBeach,1503.0,134.0,1820.0,119.0,2001.0,,$1820,Not available. Exceeds $2000!,$1503,1
