YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037403303,Census Tract 4033.03,Rowland Heights,Los Angeles County,California,RowlandHeights,1540.0,565.0,1693.0,112.0,1847.0,56.0,$1693,$1847,$1540
2010,6037403304,Census Tract 4033.04,Rowland Heights,Los Angeles County,California,RowlandHeights,1690.0,307.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1690
2010,6037408211,Census Tract 4082.11,Rowland Heights,Los Angeles County,California,RowlandHeights,1003.0,119.0,1248.0,108.0,1485.0,162.0,$1248,$1485,$1003
2010,6037408212,Census Tract 4082.12,Rowland Heights,Los Angeles County,California,RowlandHeights,629.0,479.0,1511.0,905.0,1995.0,405.0,$1511,$1995,$629
2010,6037408626,Census Tract 4086.26,Rowland Heights,Los Angeles County,California,RowlandHeights,1154.0,81.0,1388.0,94.0,1718.0,145.0,$1388,$1718,$1154
2010,6037408627,Census Tract 4086.27,Rowland Heights,Los Angeles County,California,RowlandHeights,1108.0,332.0,1425.0,855.0,2001.0,,$1425,Not available. Exceeds $2000!,$1108
2010,6037408703,Census Tract 4087.03,Rowland Heights,Los Angeles County,California,RowlandHeights,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!
2010,6037408704,Census Tract 4087.04,Rowland Heights,Los Angeles County,California,RowlandHeights,1011.0,900.0,1152.0,61.0,1363.0,174.0,$1152,$1363,$1011
2010,6037408705,Census Tract 4087.05,Rowland Heights,Los Angeles County,California,RowlandHeights,1118.0,38.0,1270.0,336.0,1851.0,265.0,$1270,$1851,$1118
2010,6037408706,Census Tract 4087.06,Rowland Heights,Los Angeles County,California,RowlandHeights,1111.0,598.0,1221.0,1732.0,2001.0,,$1221,Not available. Exceeds $2000!,$1111
2010,6037408722,Census Tract 4087.22,Rowland Heights,Los Angeles County,California,RowlandHeights,962.0,351.0,1431.0,712.0,2001.0,,$1431,Not available. Exceeds $2000!,$962
2010,6037408723,Census Tract 4087.23,Rowland Heights,Los Angeles County,California,RowlandHeights,1534.0,1155.0,1689.0,315.0,1845.0,70.0,$1689,$1845,$1534
2010,6037408724,Census Tract 4087.24,Rowland Heights,Los Angeles County,California,RowlandHeights,885.0,89.0,1101.0,48.0,1257.0,74.0,$1101,$1257,$885
2010,6037500100,Census Tract 5001,Rowland Heights,Los Angeles County,California,RowlandHeights,,,,,,,Not Available!,Not Available!,Not Available!
2011,6037403303,Census Tract 4033.03,Rowland Heights,Los Angeles County,California,RowlandHeights,1597.0,75.0,1750.0,64.0,1903.0,86.0,$1750,$1903,$1597
2011,6037403304,Census Tract 4033.04,Rowland Heights,Los Angeles County,California,RowlandHeights,1804.0,236.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1804
2011,6037408211,Census Tract 4082.11,Rowland Heights,Los Angeles County,California,RowlandHeights,972.0,166.0,1223.0,104.0,1452.0,107.0,$1223,$1452,$972
2011,6037408212,Census Tract 4082.12,Rowland Heights,Los Angeles County,California,RowlandHeights,654.0,148.0,1338.0,1062.0,2001.0,,$1338,Not available. Exceeds $2000!,$654
2011,6037408626,Census Tract 4086.26,Rowland Heights,Los Angeles County,California,RowlandHeights,1179.0,99.0,1417.0,101.0,1752.0,153.0,$1417,$1752,$1179
2011,6037408627,Census Tract 4086.27,Rowland Heights,Los Angeles County,California,RowlandHeights,1336.0,148.0,1489.0,945.0,2001.0,,$1489,Not available. Exceeds $2000!,$1336
2011,6037408703,Census Tract 4087.03,Rowland Heights,Los Angeles County,California,RowlandHeights,1381.0,1288.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1381
2011,6037408704,Census Tract 4087.04,Rowland Heights,Los Angeles County,California,RowlandHeights,585.0,981.0,1128.0,56.0,1304.0,157.0,$1128,$1304,$585
2011,6037408705,Census Tract 4087.05,Rowland Heights,Los Angeles County,California,RowlandHeights,1113.0,60.0,1345.0,304.0,1838.0,192.0,$1345,$1838,$1113
2011,6037408706,Census Tract 4087.06,Rowland Heights,Los Angeles County,California,RowlandHeights,1438.0,1241.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1438
2011,6037408722,Census Tract 4087.22,Rowland Heights,Los Angeles County,California,RowlandHeights,1426.0,362.0,1782.0,369.0,2001.0,,$1782,Not available. Exceeds $2000!,$1426
2011,6037408723,Census Tract 4087.23,Rowland Heights,Los Angeles County,California,RowlandHeights,810.0,465.0,1512.0,1520.0,1756.0,514.0,$1512,$1756,$810
2011,6037408724,Census Tract 4087.24,Rowland Heights,Los Angeles County,California,RowlandHeights,947.0,136.0,1149.0,61.0,1325.0,48.0,$1149,$1325,$947
2011,6037500100,Census Tract 5001,Rowland Heights,Los Angeles County,California,RowlandHeights,878.0,1214.0,1750.0,1205.0,2001.0,,$1750,Not available. Exceeds $2000!,$878
2012,6037403303,Census Tract 4033.03,Rowland Heights,Los Angeles County,California,RowlandHeights,1277.0,835.0,1651.0,168.0,1847.0,88.0,$1651,$1847,$1277
2012,6037403304,Census Tract 4033.04,Rowland Heights,Los Angeles County,California,RowlandHeights,749.0,734.0,1325.0,1010.0,2001.0,,$1325,Not available. Exceeds $2000!,$749
2012,6037408211,Census Tract 4082.11,Rowland Heights,Los Angeles County,California,RowlandHeights,1052.0,66.0,1239.0,82.0,1454.0,106.0,$1239,$1454,$1052
2012,6037408212,Census Tract 4082.12,Rowland Heights,Los Angeles County,California,RowlandHeights,591.0,355.0,1397.0,742.0,2001.0,,$1397,Not available. Exceeds $2000!,$591
2012,6037408626,Census Tract 4086.26,Rowland Heights,Los Angeles County,California,RowlandHeights,1173.0,84.0,1403.0,91.0,1712.0,118.0,$1403,$1712,$1173
2012,6037408627,Census Tract 4086.27,Rowland Heights,Los Angeles County,California,RowlandHeights,1339.0,163.0,1518.0,789.0,2001.0,,$1518,Not available. Exceeds $2000!,$1339
2012,6037408703,Census Tract 4087.03,Rowland Heights,Los Angeles County,California,RowlandHeights,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!
2012,6037408704,Census Tract 4087.04,Rowland Heights,Los Angeles County,California,RowlandHeights,811.0,934.0,1173.0,102.0,1471.0,252.0,$1173,$1471,$811
2012,6037408705,Census Tract 4087.05,Rowland Heights,Los Angeles County,California,RowlandHeights,1124.0,48.0,1320.0,226.0,1918.0,333.0,$1320,$1918,$1124
2012,6037408706,Census Tract 4087.06,Rowland Heights,Los Angeles County,California,RowlandHeights,1351.0,90.0,1452.0,833.0,2001.0,,$1452,Not available. Exceeds $2000!,$1351
2012,6037408722,Census Tract 4087.22,Rowland Heights,Los Angeles County,California,RowlandHeights,1059.0,453.0,1329.0,218.0,2001.0,,$1329,Not available. Exceeds $2000!,$1059
2012,6037408723,Census Tract 4087.23,Rowland Heights,Los Angeles County,California,RowlandHeights,838.0,45.0,893.0,794.0,1673.0,635.0,$893,$1673,$838
2012,6037408724,Census Tract 4087.24,Rowland Heights,Los Angeles County,California,RowlandHeights,977.0,82.0,1159.0,66.0,1335.0,58.0,$1159,$1335,$977
2012,6037500100,Census Tract 5001,Rowland Heights,Los Angeles County,California,RowlandHeights,968.0,995.0,1675.0,930.0,2001.0,,$1675,Not available. Exceeds $2000!,$968
2013,6037403303,Census Tract 4033.03,Rowland Heights,Los Angeles County,California,RowlandHeights,993.0,917.0,1650.0,200.0,1875.0,130.0,$1650,$1875,$993
2013,6037403304,Census Tract 4033.04,Rowland Heights,Los Angeles County,California,RowlandHeights,829.0,630.0,1833.0,1022.0,2001.0,,$1833,Not available. Exceeds $2000!,$829
2013,6037408211,Census Tract 4082.11,Rowland Heights,Los Angeles County,California,RowlandHeights,1091.0,61.0,1275.0,72.0,1446.0,60.0,$1275,$1446,$1091
