YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037480002,Census Tract 4800.02,San Gabriel,Los Angeles County,California,SanGabriel,1725.0,759.0,2615.0,402.0,3156.0,1146.0,$2615,$3156,$1725,1
2021,6037480102,Census Tract 4801.02,San Gabriel,Los Angeles County,California,SanGabriel,1356.0,274.0,1761.0,192.0,2245.0,386.0,$1761,$2245,$1356,1
2021,6037480201,Census Tract 4802.01,San Gabriel,Los Angeles County,California,SanGabriel,2008.0,291.0,2279.0,162.0,2629.0,371.0,$2279,$2629,$2008,1
2021,6037480202,Census Tract 4802.02,San Gabriel,Los Angeles County,California,SanGabriel,1403.0,514.0,1717.0,113.0,1949.0,174.0,$1717,$1949,$1403,1
2021,6037481101,Census Tract 4811.01,San Gabriel,Los Angeles County,California,SanGabriel,1256.0,65.0,1439.0,57.0,1740.0,88.0,$1439,$1740,$1256,1
2021,6037481102,Census Tract 4811.02,San Gabriel,Los Angeles County,California,SanGabriel,1426.0,78.0,1670.0,49.0,1894.0,43.0,$1670,$1894,$1426,1
2021,6037481103,Census Tract 4811.03,San Gabriel,Los Angeles County,California,SanGabriel,929.0,30.0,1163.0,535.0,1857.0,462.0,$1163,$1857,$929,1
2021,6037481203,Census Tract 4812.03,San Gabriel,Los Angeles County,California,SanGabriel,1307.0,75.0,1524.0,111.0,1787.0,68.0,$1524,$1787,$1307,1
2021,6037481401,Census Tract 4814.01,San Gabriel,Los Angeles County,California,SanGabriel,1267.0,94.0,1478.0,94.0,1934.0,177.0,$1478,$1934,$1267,1
2021,6037481403,Census Tract 4814.03,San Gabriel,Los Angeles County,California,SanGabriel,1204.0,301.0,1430.0,111.0,1792.0,184.0,$1430,$1792,$1204,1
2021,6037481404,Census Tract 4814.04,San Gabriel,Los Angeles County,California,SanGabriel,1297.0,172.0,1667.0,698.0,2246.0,176.0,$1667,$2246,$1297,1
2021,6037482301,Census Tract 4823.01,San Gabriel,Los Angeles County,California,SanGabriel,1265.0,201.0,1652.0,293.0,2221.0,273.0,$1652,$2221,$1265,1
2012,6037464200,Census Tract 4642,San Gabriel,Los Angeles County,California,SanGabriel,1165.0,1663.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1165,1
2012,6037480002,Census Tract 4800.02,San Gabriel,Los Angeles County,California,SanGabriel,1896.0,1054.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1896,1
2012,6037480102,Census Tract 4801.02,San Gabriel,Los Angeles County,California,SanGabriel,976.0,231.0,1212.0,141.0,1420.0,105.0,$1212,$1420,$976,1
2012,6037480201,Census Tract 4802.01,San Gabriel,Los Angeles County,California,SanGabriel,1272.0,918.0,1440.0,385.0,2001.0,,$1440,Not available. Exceeds $2000!,$1272,1
2012,6037480202,Census Tract 4802.02,San Gabriel,Los Angeles County,California,SanGabriel,1592.0,917.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1592,1
2012,6037480302,Census Tract 4803.02,San Gabriel,Los Angeles County,California,SanGabriel,791.0,118.0,1123.0,81.0,1465.0,118.0,$1123,$1465,$791,1
2012,6037481101,Census Tract 4811.01,San Gabriel,Los Angeles County,California,SanGabriel,932.0,50.0,1109.0,49.0,1313.0,105.0,$1109,$1313,$932,1
2012,6037481102,Census Tract 4811.02,San Gabriel,Los Angeles County,California,SanGabriel,1069.0,84.0,1309.0,65.0,1480.0,81.0,$1309,$1480,$1069,1
2012,6037481103,Census Tract 4811.03,San Gabriel,Los Angeles County,California,SanGabriel,818.0,315.0,1130.0,108.0,1382.0,149.0,$1130,$1382,$818,1
2012,6037481202,Census Tract 4812.02,San Gabriel,Los Angeles County,California,SanGabriel,907.0,88.0,1077.0,54.0,1215.0,47.0,$1077,$1215,$907,1
2012,6037481401,Census Tract 4814.01,San Gabriel,Los Angeles County,California,SanGabriel,1011.0,123.0,1202.0,71.0,1421.0,74.0,$1202,$1421,$1011,1
2012,6037481402,Census Tract 4814.02,San Gabriel,Los Angeles County,California,SanGabriel,871.0,69.0,1120.0,142.0,1453.0,309.0,$1120,$1453,$871,1
2012,6037481500,Census Tract 4815,San Gabriel,Los Angeles County,California,SanGabriel,780.0,176.0,1263.0,214.0,1710.0,247.0,$1263,$1710,$780,1
2012,6037482301,Census Tract 4823.01,San Gabriel,Los Angeles County,California,SanGabriel,878.0,108.0,1188.0,104.0,1522.0,147.0,$1188,$1522,$878,1
2013,6037464200,Census Tract 4642,San Gabriel,Los Angeles County,California,SanGabriel,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2013,6037480002,Census Tract 4800.02,San Gabriel,Los Angeles County,California,SanGabriel,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2013,6037480102,Census Tract 4801.02,San Gabriel,Los Angeles County,California,SanGabriel,1052.0,140.0,1239.0,96.0,1403.0,56.0,$1239,$1403,$1052,1
2013,6037480201,Census Tract 4802.01,San Gabriel,Los Angeles County,California,SanGabriel,1053.0,155.0,1219.0,339.0,1685.0,586.0,$1219,$1685,$1053,1
2013,6037480202,Census Tract 4802.02,San Gabriel,Los Angeles County,California,SanGabriel,1694.0,820.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1694,1
2013,6037480302,Census Tract 4803.02,San Gabriel,Los Angeles County,California,SanGabriel,862.0,98.0,1151.0,107.0,1500.0,127.0,$1151,$1500,$862,1
2013,6037481101,Census Tract 4811.01,San Gabriel,Los Angeles County,California,SanGabriel,962.0,67.0,1124.0,37.0,1299.0,122.0,$1124,$1299,$962,1
2013,6037481102,Census Tract 4811.02,San Gabriel,Los Angeles County,California,SanGabriel,1008.0,78.0,1265.0,82.0,1458.0,51.0,$1265,$1458,$1008,1
2013,6037481103,Census Tract 4811.03,San Gabriel,Los Angeles County,California,SanGabriel,858.0,188.0,1115.0,85.0,1341.0,149.0,$1115,$1341,$858,1
2013,6037481202,Census Tract 4812.02,San Gabriel,Los Angeles County,California,SanGabriel,901.0,76.0,1061.0,75.0,1220.0,65.0,$1061,$1220,$901,1
2013,6037481401,Census Tract 4814.01,San Gabriel,Los Angeles County,California,SanGabriel,969.0,121.0,1161.0,64.0,1420.0,112.0,$1161,$1420,$969,1
2013,6037481402,Census Tract 4814.02,San Gabriel,Los Angeles County,California,SanGabriel,885.0,83.0,1078.0,130.0,1465.0,362.0,$1078,$1465,$885,1
2013,6037481500,Census Tract 4815,San Gabriel,Los Angeles County,California,SanGabriel,860.0,162.0,1174.0,248.0,1561.0,224.0,$1174,$1561,$860,1
2013,6037482301,Census Tract 4823.01,San Gabriel,Los Angeles County,California,SanGabriel,782.0,166.0,1091.0,94.0,1375.0,237.0,$1091,$1375,$782,1
2014,6037464200,Census Tract 4642,San Gabriel,Los Angeles County,California,SanGabriel,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2014,6037480002,Census Tract 4800.02,San Gabriel,Los Angeles County,California,SanGabriel,1372.0,733.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1372,1
2014,6037480102,Census Tract 4801.02,San Gabriel,Los Angeles County,California,SanGabriel,1015.0,116.0,1201.0,98.0,1399.0,81.0,$1201,$1399,$1015,1
2014,6037480201,Census Tract 4802.01,San Gabriel,Los Angeles County,California,SanGabriel,1080.0,90.0,1207.0,199.0,1509.0,638.0,$1207,$1509,$1080,1
2014,6037480202,Census Tract 4802.02,San Gabriel,Los Angeles County,California,SanGabriel,1125.0,945.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1125,1
2014,6037480302,Census Tract 4803.02,San Gabriel,Los Angeles County,California,SanGabriel,970.0,106.0,1232.0,81.0,1494.0,112.0,$1232,$1494,$970,1
2014,6037481101,Census Tract 4811.01,San Gabriel,Los Angeles County,California,SanGabriel,970.0,61.0,1129.0,32.0,1314.0,99.0,$1129,$1314,$970,1
2014,6037481102,Census Tract 4811.02,San Gabriel,Los Angeles County,California,SanGabriel,1014.0,80.0,1297.0,65.0,1500.0,120.0,$1297,$1500,$1014,1
2014,6037481103,Census Tract 4811.03,San Gabriel,Los Angeles County,California,SanGabriel,847.0,147.0,1133.0,57.0,1401.0,211.0,$1133,$1401,$847,1
2014,6037481202,Census Tract 4812.02,San Gabriel,Los Angeles County,California,SanGabriel,878.0,55.0,1030.0,89.0,1221.0,137.0,$1030,$1221,$878,1
2014,6037481401,Census Tract 4814.01,San Gabriel,Los Angeles County,California,SanGabriel,922.0,149.0,1171.0,83.0,1462.0,124.0,$1171,$1462,$922,1
2014,6037481402,Census Tract 4814.02,San Gabriel,Los Angeles County,California,SanGabriel,894.0,82.0,1177.0,138.0,1613.0,338.0,$1177,$1613,$894,1
2014,6037481500,Census Tract 4815,San Gabriel,Los Angeles County,California,SanGabriel,915.0,135.0,1200.0,151.0,1452.0,84.0,$1200,$1452,$915,1
2014,6037482301,Census Tract 4823.01,San Gabriel,Los Angeles County,California,SanGabriel,825.0,186.0,1195.0,120.0,1418.0,71.0,$1195,$1418,$825,1
2023,6037480002,Census Tract 4800.02,San Gabriel,Los Angeles County,California,SanGabriel,1932.0,483.0,3288.0,1688.0,3501.0,,$3288,Not available. Exceeds $3500!,$1932,1
2023,6037480102,Census Tract 4801.02,San Gabriel,Los Angeles County,California,SanGabriel,1856.0,264.0,2248.0,190.0,3085.0,825.0,$2248,$3085,$1856,1
2023,6037480201,Census Tract 4802.01,San Gabriel,Los Angeles County,California,SanGabriel,2301.0,217.0,2611.0,292.0,2936.0,522.0,$2611,$2936,$2301,1
2023,6037480202,Census Tract 4802.02,San Gabriel,Los Angeles County,California,SanGabriel,1769.0,282.0,2136.0,237.0,2428.0,206.0,$2136,$2428,$1769,1
2023,6037481101,Census Tract 4811.01,San Gabriel,Los Angeles County,California,SanGabriel,1394.0,106.0,1653.0,72.0,1885.0,49.0,$1653,$1885,$1394,1
2023,6037481102,Census Tract 4811.02,San Gabriel,Los Angeles County,California,SanGabriel,1543.0,98.0,1823.0,91.0,2189.0,171.0,$1823,$2189,$1543,1
2023,6037481103,Census Tract 4811.03,San Gabriel,Los Angeles County,California,SanGabriel,1111.0,91.0,1422.0,458.0,2127.0,333.0,$1422,$2127,$1111,1
2023,6037481203,Census Tract 4812.03,San Gabriel,Los Angeles County,California,SanGabriel,1406.0,104.0,1658.0,111.0,1914.0,94.0,$1658,$1914,$1406,1
2023,6037481401,Census Tract 4814.01,San Gabriel,Los Angeles County,California,SanGabriel,1439.0,95.0,1732.0,94.0,2051.0,233.0,$1732,$2051,$1439,1
2023,6037481403,Census Tract 4814.03,San Gabriel,Los Angeles County,California,SanGabriel,1355.0,222.0,1660.0,145.0,1916.0,150.0,$1660,$1916,$1355,1
2023,6037481404,Census Tract 4814.04,San Gabriel,Los Angeles County,California,SanGabriel,1539.0,175.0,1914.0,396.0,2700.0,229.0,$1914,$2700,$1539,1
2023,6037482301,Census Tract 4823.01,San Gabriel,Los Angeles County,California,SanGabriel,1413.0,202.0,1710.0,119.0,1969.0,196.0,$1710,$1969,$1413,1
2011,6037464200,Census Tract 4642,San Gabriel,Los Angeles County,California,SanGabriel,1079.0,1150.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1079,1
2011,6037480002,Census Tract 4800.02,San Gabriel,Los Angeles County,California,SanGabriel,1813.0,957.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1813,1
2011,6037480102,Census Tract 4801.02,San Gabriel,Los Angeles County,California,SanGabriel,907.0,173.0,1294.0,149.0,1471.0,124.0,$1294,$1471,$907,1
