YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,879.0,103.0,1063.0,80.0,1222.0,97.0,$1063,$1222,$879
2011,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,986.0,161.0,1125.0,62.0,1340.0,689.0,$1125,$1340,$986
2012,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,994.0,108.0,1169.0,84.0,1725.0,203.0,$1169,$1725,$994
2013,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,995.0,100.0,1145.0,54.0,1613.0,337.0,$1145,$1613,$995
2014,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,995.0,102.0,1181.0,98.0,1674.0,289.0,$1181,$1674,$995
2015,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,999.0,80.0,1213.0,120.0,1619.0,280.0,$1213,$1619,$999
2016,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,1009.0,75.0,1235.0,115.0,1601.0,282.0,$1235,$1601,$1009
2017,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,1001.0,93.0,1249.0,104.0,1471.0,450.0,$1249,$1471,$1001
2018,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,1077.0,154.0,1338.0,68.0,1625.0,889.0,$1338,$1625,$1077
2019,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,1243.0,208.0,1413.0,68.0,1914.0,349.0,$1413,$1914,$1243
2020,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,1289.0,113.0,1469.0,134.0,2099.0,435.0,$1469,$2099,$1289
2021,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,1368.0,78.0,1717.0,252.0,2566.0,554.0,$1717,$2566,$1368
2022,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,1549.0,124.0,1851.0,118.0,2797.0,448.0,$1851,$2797,$1549
2023,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,1563.0,155.0,1911.0,202.0,3179.0,781.0,$1911,$3179,$1563
