YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037502200,Census Tract 5022,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1100.0,274.0,1493.0,420.0,2184.0,281.0,$1493,$2184,$1100,1
2021,6037502303,Census Tract 5023.03,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1124.0,97.0,1531.0,222.0,1931.0,185.0,$1531,$1931,$1124,1
2021,6037502700,Census Tract 5027,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1271.0,322.0,1627.0,129.0,1871.0,84.0,$1627,$1871,$1271,1
2021,6037502801,Census Tract 5028.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1188.0,468.0,1821.0,452.0,2199.0,204.0,$1821,$2199,$1188,1
2021,6037502901,Census Tract 5029.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1220.0,824.0,2031.0,485.0,2399.0,286.0,$2031,$2399,$1220,1
2021,6037503000,Census Tract 5030,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,974.0,113.0,1184.0,190.0,1756.0,354.0,$1184,$1756,$974,1
2021,6037504200,Census Tract 5042,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,979.0,136.0,1422.0,109.0,1834.0,80.0,$1422,$1834,$979,1
2021,6037980034,Census Tract 9800.34,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,,,,,,,Not Available!,Not Available!,Not Available!,1
2012,6037502200,Census Tract 5022,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,943.0,75.0,1174.0,100.0,1449.0,157.0,$1174,$1449,$943,1
2012,6037502301,Census Tract 5023.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,633.0,340.0,1214.0,699.0,1841.0,271.0,$1214,$1841,$633,1
2012,6037502302,Census Tract 5023.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,875.0,57.0,978.0,50.0,1123.0,51.0,$978,$1123,$875,1
2012,6037502700,Census Tract 5027,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,909.0,319.0,1161.0,92.0,1645.0,288.0,$1161,$1645,$909,1
2012,6037502801,Census Tract 5028.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1099.0,215.0,1423.0,256.0,1762.0,216.0,$1423,$1762,$1099,1
2012,6037502802,Census Tract 5028.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,458.0,165.0,1003.0,494.0,1307.0,139.0,$1003,$1307,$458,1
2012,6037502901,Census Tract 5029.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1088.0,508.0,1313.0,136.0,1460.0,127.0,$1313,$1460,$1088,1
2012,6037502902,Census Tract 5029.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,549.0,185.0,851.0,101.0,1123.0,147.0,$851,$1123,$549,1
2012,6037503000,Census Tract 5030,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,951.0,162.0,1235.0,136.0,1456.0,89.0,$1235,$1456,$951,1
2012,6037504101,Census Tract 5041.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,840.0,116.0,1050.0,149.0,1875.0,825.0,$1050,$1875,$840,1
2012,6037504102,Census Tract 5041.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,,,,,,,Not Available!,Not Available!,Not Available!,1
2012,6037550201,Census Tract 5502.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,848.0,59.0,964.0,113.0,1208.0,584.0,$964,$1208,$848,1
2012,6037550400,Census Tract 5504,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1314.0,91.0,1432.0,170.0,1650.0,285.0,$1432,$1650,$1314,1
2013,6037502200,Census Tract 5022,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,879.0,96.0,1104.0,123.0,1392.0,160.0,$1104,$1392,$879,1
2013,6037502301,Census Tract 5023.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,918.0,522.0,1204.0,569.0,1821.0,373.0,$1204,$1821,$918,1
2013,6037502302,Census Tract 5023.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,831.0,63.0,984.0,86.0,1138.0,46.0,$984,$1138,$831,1
2013,6037502700,Census Tract 5027,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,775.0,307.0,1152.0,111.0,1589.0,299.0,$1152,$1589,$775,1
2013,6037502801,Census Tract 5028.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1114.0,161.0,1484.0,269.0,1781.0,156.0,$1484,$1781,$1114,1
2013,6037502802,Census Tract 5028.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,499.0,335.0,1032.0,150.0,1318.0,103.0,$1032,$1318,$499,1
2013,6037502901,Census Tract 5029.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1015.0,581.0,1225.0,180.0,1407.0,111.0,$1225,$1407,$1015,1
2013,6037502902,Census Tract 5029.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,539.0,155.0,853.0,81.0,1132.0,135.0,$853,$1132,$539,1
2013,6037503000,Census Tract 5030,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,913.0,236.0,1176.0,147.0,1449.0,119.0,$1176,$1449,$913,1
2013,6037504101,Census Tract 5041.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,884.0,67.0,1037.0,165.0,2001.0,,$1037,Not available. Exceeds $2000!,$884,1
2013,6037504102,Census Tract 5041.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,,,,,,,Not Available!,Not Available!,Not Available!,1
2013,6037550201,Census Tract 5502.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,860.0,64.0,1082.0,142.0,1602.0,714.0,$1082,$1602,$860,1
2013,6037550400,Census Tract 5504,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1464.0,204.0,1707.0,166.0,1935.0,256.0,$1707,$1935,$1464,1
2014,6037502200,Census Tract 5022,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,894.0,180.0,1093.0,96.0,1301.0,155.0,$1093,$1301,$894,1
2014,6037502301,Census Tract 5023.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,943.0,560.0,1224.0,682.0,1862.0,431.0,$1224,$1862,$943,1
2014,6037502302,Census Tract 5023.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,857.0,136.0,1027.0,64.0,1180.0,57.0,$1027,$1180,$857,1
2014,6037502700,Census Tract 5027,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,793.0,354.0,1188.0,145.0,1710.0,184.0,$1188,$1710,$793,1
2014,6037502801,Census Tract 5028.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1121.0,187.0,1492.0,332.0,2001.0,,$1492,Not available. Exceeds $2000!,$1121,1
2014,6037502802,Census Tract 5028.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,603.0,264.0,987.0,114.0,1225.0,87.0,$987,$1225,$603,1
2014,6037502901,Census Tract 5029.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,1030.0,407.0,1238.0,227.0,1621.0,224.0,$1238,$1621,$1030,1
2014,6037502902,Census Tract 5029.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,713.0,72.0,1036.0,82.0,1264.0,133.0,$1036,$1264,$713,1
2014,6037503000,Census Tract 5030,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,960.0,112.0,1134.0,76.0,1355.0,158.0,$1134,$1355,$960,1
2014,6037504101,Census Tract 5041.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,794.0,332.0,979.0,86.0,1483.0,613.0,$979,$1483,$794,1
2014,6037504102,Census Tract 5041.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,,,,,,,Not Available!,Not Available!,Not Available!,1
