YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037433506,Census Tract 4335.06,South El Monte,Los Angeles County,California,SouthElMonte,969.0,96.0,1277.0,96.0,1479.0,132.0,$1277,$1479,$969,1
2021,6037433803,Census Tract 4338.03,South El Monte,Los Angeles County,California,SouthElMonte,1060.0,132.0,1507.0,749.0,2017.0,335.0,$1507,$2017,$1060,1
2021,6037433804,Census Tract 4338.04,South El Monte,Los Angeles County,California,SouthElMonte,1136.0,156.0,1609.0,178.0,1864.0,92.0,$1609,$1864,$1136,1
2021,6037434003,Census Tract 4340.03,South El Monte,Los Angeles County,California,SouthElMonte,978.0,129.0,1284.0,93.0,1491.0,215.0,$1284,$1491,$978,1
2021,6037434004,Census Tract 4340.04,South El Monte,Los Angeles County,California,SouthElMonte,1238.0,128.0,1387.0,85.0,1607.0,268.0,$1387,$1607,$1238,1
2021,6037434100,Census Tract 4341,South El Monte,Los Angeles County,California,SouthElMonte,1135.0,102.0,1409.0,88.0,1787.0,188.0,$1409,$1787,$1135,1
2012,6037433101,Census Tract 4331.01,South El Monte,Los Angeles County,California,SouthElMonte,532.0,32.0,613.0,556.0,1207.0,290.0,$613,$1207,$532,1
2012,6037433102,Census Tract 4331.02,South El Monte,Los Angeles County,California,SouthElMonte,836.0,59.0,1017.0,90.0,1246.0,186.0,$1017,$1246,$836,1
2012,6037433401,Census Tract 4334.01,South El Monte,Los Angeles County,California,SouthElMonte,1030.0,64.0,1165.0,61.0,1331.0,89.0,$1165,$1331,$1030,1
2012,6037433402,Census Tract 4334.02,South El Monte,Los Angeles County,California,SouthElMonte,784.0,76.0,888.0,51.0,1068.0,83.0,$888,$1068,$784,1
2012,6037433501,Census Tract 4335.01,South El Monte,Los Angeles County,California,SouthElMonte,589.0,41.0,784.0,119.0,1057.0,200.0,$784,$1057,$589,1
2012,6037433503,Census Tract 4335.03,South El Monte,Los Angeles County,California,SouthElMonte,924.0,646.0,1086.0,56.0,1203.0,63.0,$1086,$1203,$924,1
2012,6037433504,Census Tract 4335.04,South El Monte,Los Angeles County,California,SouthElMonte,869.0,55.0,991.0,69.0,1192.0,92.0,$991,$1192,$869,1
2012,6037433700,Census Tract 4337,South El Monte,Los Angeles County,California,SouthElMonte,615.0,380.0,1023.0,508.0,1556.0,396.0,$1023,$1556,$615,1
2012,6037433801,Census Tract 4338.01,South El Monte,Los Angeles County,California,SouthElMonte,831.0,79.0,1011.0,59.0,1167.0,41.0,$1011,$1167,$831,1
2012,6037433802,Census Tract 4338.02,South El Monte,Los Angeles County,California,SouthElMonte,1027.0,362.0,1164.0,109.0,1451.0,364.0,$1164,$1451,$1027,1
2012,6037433902,Census Tract 4339.02,South El Monte,Los Angeles County,California,SouthElMonte,774.0,166.0,885.0,67.0,1069.0,116.0,$885,$1069,$774,1
2012,6037434003,Census Tract 4340.03,South El Monte,Los Angeles County,California,SouthElMonte,762.0,102.0,923.0,93.0,1239.0,212.0,$923,$1239,$762,1
