YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,1258.0,148.0,1617.0,97.0,1888.0,75.0,$1617,$1888,$1258,1
2021,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,890.0,416.0,1382.0,249.0,1800.0,228.0,$1382,$1800,$890,1
2012,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,815.0,77.0,999.0,142.0,1600.0,207.0,$999,$1600,$815,1
2012,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,901.0,133.0,1345.0,284.0,1722.0,151.0,$1345,$1722,$901,1
2013,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,847.0,82.0,996.0,96.0,1436.0,214.0,$996,$1436,$847,1
2013,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,913.0,137.0,1305.0,261.0,1693.0,124.0,$1305,$1693,$913,1
2014,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,843.0,86.0,1017.0,102.0,1410.0,159.0,$1017,$1410,$843,1
2014,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,754.0,386.0,1167.0,214.0,1667.0,159.0,$1167,$1667,$754,1
2023,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,1522.0,131.0,1887.0,130.0,2344.0,141.0,$1887,$2344,$1522,1
2023,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,1190.0,456.0,1708.0,491.0,2230.0,205.0,$1708,$2230,$1190,1
2011,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,743.0,124.0,1012.0,155.0,1503.0,250.0,$1012,$1503,$743,1
2011,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,858.0,40.0,1236.0,485.0,1686.0,171.0,$1236,$1686,$858,1
2015,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,841.0,140.0,1051.0,161.0,1595.0,196.0,$1051,$1595,$841,1
2015,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,760.0,451.0,1193.0,338.0,1699.0,157.0,$1193,$1699,$760,1
2010,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,755.0,112.0,996.0,157.0,1459.0,199.0,$996,$1459,$755,1
2010,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,815.0,142.0,962.0,149.0,1497.0,251.0,$962,$1497,$815,1
2020,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,1279.0,102.0,1525.0,139.0,1861.0,93.0,$1525,$1861,$1279,1
2020,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,873.0,246.0,1216.0,228.0,1720.0,241.0,$1216,$1720,$873,1
2016,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,927.0,67.0,1260.0,131.0,1731.0,130.0,$1260,$1731,$927,1
2016,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,639.0,287.0,1126.0,159.0,1570.0,209.0,$1126,$1570,$639,1
2018,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,1044.0,361.0,1444.0,121.0,1915.0,174.0,$1444,$1915,$1044,1
2018,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,913.0,363.0,1270.0,169.0,1602.0,180.0,$1270,$1602,$913,1
2022,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,1532.0,140.0,1904.0,167.0,2354.0,149.0,$1904,$2354,$1532,1
2022,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,956.0,66.0,1365.0,433.0,2030.0,315.0,$1365,$2030,$956,1
2017,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,926.0,74.0,1264.0,130.0,1636.0,219.0,$1264,$1636,$926,1
2017,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,640.0,517.0,1146.0,130.0,1579.0,206.0,$1146,$1579,$640,1
2019,6037431100,Census Tract 4311,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,1271.0,106.0,1505.0,148.0,1920.0,124.0,$1505,$1920,$1271,1
2019,6037431200,Census Tract 4312,South Monrovia Island,Los Angeles County,California,SouthMonroviaIsland,1021.0,159.0,1346.0,426.0,1751.0,120.0,$1346,$1751,$1021,1
