YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1729.0,61.0,1969.0,122.0,2298.0,106.0,$1969,$2298,$1729,1
2021,6037920338,Census Tract 9203.38,Stevenson Ranch,Los Angeles County,California,StevensonRanch,,,3142.0,1081.0,3460.0,547.0,$3142,$3460,Not Available!,1
2021,6037920339,Census Tract 9203.39,Stevenson Ranch,Los Angeles County,California,StevensonRanch,2085.0,278.0,2465.0,290.0,2935.0,327.0,$2465,$2935,$2085,1
2012,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1359.0,67.0,1644.0,97.0,1956.0,97.0,$1644,$1956,$1359,1
2012,6037920338,Census Tract 9203.38,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1940.0,353.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1940,1
2012,6037920339,Census Tract 9203.39,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1401.0,202.0,1713.0,190.0,2001.0,,$1713,Not available. Exceeds $2000!,$1401,1
2013,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1342.0,94.0,1618.0,114.0,1910.0,92.0,$1618,$1910,$1342,1
2013,6037920338,Census Tract 9203.38,Stevenson Ranch,Los Angeles County,California,StevensonRanch,442.0,2339.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$442,1
2013,6037920339,Census Tract 9203.39,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1428.0,208.0,1872.0,276.0,2001.0,,$1872,Not available. Exceeds $2000!,$1428,1
2014,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1352.0,58.0,1573.0,135.0,1890.0,114.0,$1573,$1890,$1352,1
