YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,816.0,95.0,858.0,28.0,900.0,584.0,$858,$900,$816
2010,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,665.0,182.0,886.0,214.0,1209.0,284.0,$886,$1209,$665
2010,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,664.0,80.0,699.0,69.0,771.0,56.0,$699,$771,$664
2010,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,538.0,549.0,1296.0,671.0,1586.0,282.0,$1296,$1586,$538
2011,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,816.0,289.0,926.0,64.0,991.0,145.0,$926,$991,$816
2011,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,535.0,366.0,888.0,171.0,1175.0,137.0,$888,$1175,$535
2011,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,667.0,144.0,723.0,41.0,804.0,127.0,$723,$804,$667
2011,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,723.0,584.0,1272.0,492.0,1493.0,263.0,$1272,$1493,$723
2012,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,1014.0,358.0,1098.0,40.0,1183.0,28.0,$1098,$1183,$1014
2012,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,584.0,462.0,1047.0,328.0,1530.0,410.0,$1047,$1530,$584
2012,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,654.0,166.0,732.0,76.0,870.0,262.0,$732,$870,$654
2012,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,848.0,363.0,1264.0,235.0,1602.0,284.0,$1264,$1602,$848
2013,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,1004.0,872.0,1095.0,69.0,1185.0,44.0,$1095,$1185,$1004
2013,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,786.0,220.0,1212.0,318.0,1650.0,415.0,$1212,$1650,$786
2013,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,591.0,156.0,716.0,45.0,897.0,110.0,$716,$897,$591
2013,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,854.0,187.0,1217.0,322.0,1699.0,223.0,$1217,$1699,$854
2014,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,957.0,947.0,1106.0,122.0,1221.0,685.0,$1106,$1221,$957
2014,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,1011.0,489.0,1227.0,189.0,1640.0,308.0,$1227,$1640,$1011
2014,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,678.0,46.0,760.0,73.0,871.0,81.0,$760,$871,$678
2014,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,871.0,297.0,1174.0,130.0,1641.0,222.0,$1174,$1641,$871
2015,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,793.0,679.0,1087.0,58.0,1187.0,39.0,$1087,$1187,$793
2015,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,774.0,264.0,1122.0,156.0,1421.0,289.0,$1122,$1421,$774
2015,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,644.0,77.0,733.0,78.0,882.0,74.0,$733,$882,$644
2015,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,842.0,243.0,1129.0,109.0,1477.0,336.0,$1129,$1477,$842
2016,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,816.0,488.0,1076.0,55.0,1181.0,34.0,$1076,$1181,$816
2016,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,770.0,160.0,1073.0,156.0,1321.0,184.0,$1073,$1321,$770
2016,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,653.0,63.0,729.0,36.0,849.0,55.0,$729,$849,$653
2016,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,819.0,410.0,1130.0,157.0,1564.0,252.0,$1130,$1564,$819
2017,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,790.0,213.0,1079.0,98.0,1198.0,59.0,$1079,$1198,$790
2017,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,780.0,112.0,1029.0,231.0,1303.0,171.0,$1029,$1303,$780
