YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037431501,Census Tract 4315.01,Temple City,Los Angeles County,California,TempleCity,902.0,197.0,1276.0,232.0,1758.0,299.0,$1276,$1758,$902
2010,6037431502,Census Tract 4315.02,Temple City,Los Angeles County,California,TempleCity,1007.0,146.0,1191.0,190.0,1710.0,712.0,$1191,$1710,$1007
2010,6037431800,Census Tract 4318,Temple City,Los Angeles County,California,TempleCity,1073.0,266.0,1471.0,164.0,1862.0,149.0,$1471,$1862,$1073
2010,6037431900,Census Tract 4319,Temple City,Los Angeles County,California,TempleCity,821.0,83.0,998.0,94.0,1307.0,302.0,$998,$1307,$821
2010,6037432000,Census Tract 4320,Temple City,Los Angeles County,California,TempleCity,935.0,71.0,1130.0,90.0,1433.0,171.0,$1130,$1433,$935
2010,6037432101,Census Tract 4321.01,Temple City,Los Angeles County,California,TempleCity,1043.0,161.0,1366.0,307.0,1841.0,244.0,$1366,$1841,$1043
2010,6037432102,Census Tract 4321.02,Temple City,Los Angeles County,California,TempleCity,1026.0,124.0,1264.0,266.0,1763.0,291.0,$1264,$1763,$1026
2010,6037480012,Census Tract 4800.12,Temple City,Los Angeles County,California,TempleCity,796.0,261.0,1085.0,71.0,1259.0,202.0,$1085,$1259,$796
2010,6037480101,Census Tract 4801.01,Temple City,Los Angeles County,California,TempleCity,1090.0,242.0,1420.0,145.0,1858.0,251.0,$1420,$1858,$1090
2010,6037480102,Census Tract 4801.02,Temple City,Los Angeles County,California,TempleCity,921.0,132.0,1195.0,130.0,1472.0,168.0,$1195,$1472,$921
2010,6037481201,Census Tract 4812.01,Temple City,Los Angeles County,California,TempleCity,824.0,126.0,1003.0,128.0,1472.0,242.0,$1003,$1472,$824
2010,6037481202,Census Tract 4812.02,Temple City,Los Angeles County,California,TempleCity,903.0,84.0,1058.0,127.0,1443.0,288.0,$1058,$1443,$903
2011,6037431501,Census Tract 4315.01,Temple City,Los Angeles County,California,TempleCity,1035.0,167.0,1188.0,75.0,1658.0,306.0,$1188,$1658,$1035
2011,6037431502,Census Tract 4315.02,Temple City,Los Angeles County,California,TempleCity,995.0,92.0,1179.0,119.0,1647.0,642.0,$1179,$1647,$995
2011,6037431800,Census Tract 4318,Temple City,Los Angeles County,California,TempleCity,1076.0,236.0,1483.0,194.0,1865.0,151.0,$1483,$1865,$1076
2011,6037431900,Census Tract 4319,Temple City,Los Angeles County,California,TempleCity,775.0,47.0,956.0,119.0,1210.0,135.0,$956,$1210,$775
2011,6037432000,Census Tract 4320,Temple City,Los Angeles County,California,TempleCity,916.0,94.0,1152.0,120.0,1640.0,230.0,$1152,$1640,$916
2011,6037432101,Census Tract 4321.01,Temple City,Los Angeles County,California,TempleCity,1201.0,223.0,1473.0,215.0,1880.0,251.0,$1473,$1880,$1201
2011,6037432102,Census Tract 4321.02,Temple City,Los Angeles County,California,TempleCity,1199.0,183.0,1646.0,305.0,2001.0,,$1646,Not available. Exceeds $2000!,$1199
2011,6037480012,Census Tract 4800.12,Temple City,Los Angeles County,California,TempleCity,908.0,98.0,1120.0,95.0,1379.0,183.0,$1120,$1379,$908
2011,6037480101,Census Tract 4801.01,Temple City,Los Angeles County,California,TempleCity,1165.0,268.0,1469.0,174.0,1847.0,210.0,$1469,$1847,$1165
2011,6037480102,Census Tract 4801.02,Temple City,Los Angeles County,California,TempleCity,907.0,173.0,1294.0,149.0,1471.0,124.0,$1294,$1471,$907
2011,6037481201,Census Tract 4812.01,Temple City,Los Angeles County,California,TempleCity,875.0,73.0,1017.0,137.0,1356.0,93.0,$1017,$1356,$875
2011,6037481202,Census Tract 4812.02,Temple City,Los Angeles County,California,TempleCity,902.0,70.0,1028.0,96.0,1245.0,152.0,$1028,$1245,$902
2012,6037431501,Census Tract 4315.01,Temple City,Los Angeles County,California,TempleCity,851.0,202.0,1189.0,174.0,1780.0,341.0,$1189,$1780,$851
2012,6037431502,Census Tract 4315.02,Temple City,Los Angeles County,California,TempleCity,1026.0,107.0,1269.0,213.0,1734.0,346.0,$1269,$1734,$1026
2012,6037431800,Census Tract 4318,Temple City,Los Angeles County,California,TempleCity,1119.0,162.0,1423.0,169.0,1875.0,245.0,$1423,$1875,$1119
2012,6037431900,Census Tract 4319,Temple City,Los Angeles County,California,TempleCity,800.0,59.0,974.0,62.0,1291.0,321.0,$974,$1291,$800
2012,6037432000,Census Tract 4320,Temple City,Los Angeles County,California,TempleCity,952.0,81.0,1171.0,133.0,1562.0,226.0,$1171,$1562,$952
2012,6037432101,Census Tract 4321.01,Temple City,Los Angeles County,California,TempleCity,1035.0,333.0,1404.0,112.0,1807.0,243.0,$1404,$1807,$1035
2012,6037432102,Census Tract 4321.02,Temple City,Los Angeles County,California,TempleCity,1430.0,217.0,1817.0,255.0,2001.0,,$1817,Not available. Exceeds $2000!,$1430
2012,6037480012,Census Tract 4800.12,Temple City,Los Angeles County,California,TempleCity,900.0,185.0,1145.0,72.0,1367.0,163.0,$1145,$1367,$900
2012,6037480101,Census Tract 4801.01,Temple City,Los Angeles County,California,TempleCity,1177.0,184.0,1437.0,126.0,1740.0,137.0,$1437,$1740,$1177
2012,6037480102,Census Tract 4801.02,Temple City,Los Angeles County,California,TempleCity,976.0,231.0,1212.0,141.0,1420.0,105.0,$1212,$1420,$976
2012,6037481201,Census Tract 4812.01,Temple City,Los Angeles County,California,TempleCity,883.0,67.0,1056.0,111.0,1325.0,113.0,$1056,$1325,$883
2012,6037481202,Census Tract 4812.02,Temple City,Los Angeles County,California,TempleCity,907.0,88.0,1077.0,54.0,1215.0,47.0,$1077,$1215,$907
2013,6037431501,Census Tract 4315.01,Temple City,Los Angeles County,California,TempleCity,793.0,123.0,1214.0,223.0,1619.0,256.0,$1214,$1619,$793
2013,6037431502,Census Tract 4315.02,Temple City,Los Angeles County,California,TempleCity,986.0,157.0,1204.0,178.0,1659.0,176.0,$1204,$1659,$986
2013,6037431800,Census Tract 4318,Temple City,Los Angeles County,California,TempleCity,1102.0,145.0,1466.0,213.0,1882.0,182.0,$1466,$1882,$1102
2013,6037431900,Census Tract 4319,Temple City,Los Angeles County,California,TempleCity,844.0,40.0,1006.0,77.0,1216.0,183.0,$1006,$1216,$844
2013,6037432000,Census Tract 4320,Temple City,Los Angeles County,California,TempleCity,916.0,107.0,1151.0,151.0,1604.0,245.0,$1151,$1604,$916
2013,6037432101,Census Tract 4321.01,Temple City,Los Angeles County,California,TempleCity,1104.0,358.0,1464.0,206.0,1887.0,260.0,$1464,$1887,$1104
2013,6037432102,Census Tract 4321.02,Temple City,Los Angeles County,California,TempleCity,1347.0,286.0,1901.0,402.0,2001.0,,$1901,Not available. Exceeds $2000!,$1347
2013,6037480012,Census Tract 4800.12,Temple City,Los Angeles County,California,TempleCity,1024.0,70.0,1203.0,84.0,1451.0,141.0,$1203,$1451,$1024
2013,6037480101,Census Tract 4801.01,Temple City,Los Angeles County,California,TempleCity,1184.0,140.0,1451.0,141.0,1757.0,133.0,$1451,$1757,$1184
2013,6037480102,Census Tract 4801.02,Temple City,Los Angeles County,California,TempleCity,1052.0,140.0,1239.0,96.0,1403.0,56.0,$1239,$1403,$1052
2013,6037481201,Census Tract 4812.01,Temple City,Los Angeles County,California,TempleCity,944.0,47.0,1144.0,107.0,1421.0,105.0,$1144,$1421,$944
2013,6037481202,Census Tract 4812.02,Temple City,Los Angeles County,California,TempleCity,901.0,76.0,1061.0,75.0,1220.0,65.0,$1061,$1220,$901
2014,6037431501,Census Tract 4315.01,Temple City,Los Angeles County,California,TempleCity,797.0,128.0,1147.0,189.0,1493.0,192.0,$1147,$1493,$797
