YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037603200,Census Tract 6032,Torrance,Los Angeles County,California,Torrance,836.0,137.0,1058.0,54.0,1168.0,38.0,$1058,$1168,$836
2010,6037603302,Census Tract 6033.02,Torrance,Los Angeles County,California,Torrance,841.0,30.0,980.0,77.0,1193.0,88.0,$980,$1193,$841
2010,6037620602,Census Tract 6206.02,Torrance,Los Angeles County,California,Torrance,1296.0,121.0,1605.0,254.0,2001.0,,$1605,Not available. Exceeds $2000!,$1296
2010,6037621400,Census Tract 6214,Torrance,Los Angeles County,California,Torrance,1251.0,85.0,1448.0,92.0,1792.0,148.0,$1448,$1792,$1251
2010,6037650001,Census Tract 6500.01,Torrance,Los Angeles County,California,Torrance,706.0,532.0,1030.0,162.0,1360.0,465.0,$1030,$1360,$706
2010,6037650003,Census Tract 6500.03,Torrance,Los Angeles County,California,Torrance,834.0,58.0,987.0,114.0,1233.0,146.0,$987,$1233,$834
2010,6037650004,Census Tract 6500.04,Torrance,Los Angeles County,California,Torrance,1047.0,60.0,1208.0,77.0,1437.0,110.0,$1208,$1437,$1047
2010,6037650101,Census Tract 6501.01,Torrance,Los Angeles County,California,Torrance,1012.0,105.0,1188.0,144.0,1424.0,195.0,$1188,$1424,$1012
2010,6037650102,Census Tract 6501.02,Torrance,Los Angeles County,California,Torrance,930.0,169.0,1399.0,218.0,1751.0,135.0,$1399,$1751,$930
2010,6037650200,Census Tract 6502,Torrance,Los Angeles County,California,Torrance,1261.0,111.0,1421.0,73.0,1735.0,217.0,$1421,$1735,$1261
2010,6037650300,Census Tract 6503,Torrance,Los Angeles County,California,Torrance,923.0,98.0,1334.0,135.0,1804.0,194.0,$1334,$1804,$923
2010,6037650401,Census Tract 6504.01,Torrance,Los Angeles County,California,Torrance,1114.0,126.0,1484.0,508.0,2001.0,,$1484,Not available. Exceeds $2000!,$1114
2010,6037650501,Census Tract 6505.01,Torrance,Los Angeles County,California,Torrance,1516.0,1273.0,1716.0,203.0,1915.0,180.0,$1716,$1915,$1516
2010,6037650502,Census Tract 6505.02,Torrance,Los Angeles County,California,Torrance,1389.0,71.0,1607.0,175.0,1914.0,142.0,$1607,$1914,$1389
2010,6037650602,Census Tract 6506.02,Torrance,Los Angeles County,California,Torrance,1069.0,54.0,1310.0,89.0,1678.0,125.0,$1310,$1678,$1069
2010,6037650603,Census Tract 6506.03,Torrance,Los Angeles County,California,Torrance,906.0,178.0,1228.0,148.0,1452.0,145.0,$1228,$1452,$906
2010,6037650604,Census Tract 6506.04,Torrance,Los Angeles County,California,Torrance,910.0,68.0,1152.0,61.0,1386.0,52.0,$1152,$1386,$910
2010,6037650605,Census Tract 6506.05,Torrance,Los Angeles County,California,Torrance,1189.0,107.0,1371.0,57.0,1571.0,159.0,$1371,$1571,$1189
2010,6037650701,Census Tract 6507.01,Torrance,Los Angeles County,California,Torrance,873.0,456.0,1597.0,1093.0,2001.0,,$1597,Not available. Exceeds $2000!,$873
2010,6037650702,Census Tract 6507.02,Torrance,Los Angeles County,California,Torrance,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!
2010,6037650800,Census Tract 6508,Torrance,Los Angeles County,California,Torrance,1563.0,221.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1563
2010,6037650901,Census Tract 6509.01,Torrance,Los Angeles County,California,Torrance,775.0,33.0,979.0,97.0,1223.0,128.0,$979,$1223,$775
2010,6037650902,Census Tract 6509.02,Torrance,Los Angeles County,California,Torrance,1033.0,138.0,1196.0,72.0,1438.0,99.0,$1196,$1438,$1033
2010,6037651001,Census Tract 6510.01,Torrance,Los Angeles County,California,Torrance,917.0,105.0,1299.0,163.0,1495.0,370.0,$1299,$1495,$917
2010,6037651002,Census Tract 6510.02,Torrance,Los Angeles County,California,Torrance,944.0,109.0,1184.0,121.0,1523.0,212.0,$1184,$1523,$944
2010,6037651101,Census Tract 6511.01,Torrance,Los Angeles County,California,Torrance,1335.0,75.0,1544.0,129.0,1805.0,96.0,$1544,$1805,$1335
2010,6037651102,Census Tract 6511.02,Torrance,Los Angeles County,California,Torrance,935.0,76.0,1154.0,72.0,1392.0,74.0,$1154,$1392,$935
2010,6037651201,Census Tract 6512.01,Torrance,Los Angeles County,California,Torrance,1210.0,247.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1210
2010,6037651221,Census Tract 6512.21,Torrance,Los Angeles County,California,Torrance,1008.0,90.0,1122.0,33.0,1236.0,58.0,$1122,$1236,$1008
2010,6037651222,Census Tract 6512.22,Torrance,Los Angeles County,California,Torrance,1303.0,61.0,1521.0,82.0,1793.0,55.0,$1521,$1793,$1303
2010,6037651302,Census Tract 6513.02,Torrance,Los Angeles County,California,Torrance,1082.0,71.0,1232.0,933.0,2001.0,,$1232,Not available. Exceeds $2000!,$1082
2010,6037651304,Census Tract 6513.04,Torrance,Los Angeles County,California,Torrance,1386.0,109.0,1683.0,94.0,1957.0,126.0,$1683,$1957,$1386
2010,6037651401,Census Tract 6514.01,Torrance,Los Angeles County,California,Torrance,625.0,299.0,982.0,760.0,1618.0,477.0,$982,$1618,$625
2010,6037651402,Census Tract 6514.02,Torrance,Los Angeles County,California,Torrance,919.0,65.0,1119.0,109.0,1429.0,175.0,$1119,$1429,$919
2010,6037980005,Census Tract 9800.05,Torrance,Los Angeles County,California,Torrance,,,,,,,Not Available!,Not Available!,Not Available!
2011,6037603200,Census Tract 6032,Torrance,Los Angeles County,California,Torrance,821.0,135.0,1033.0,156.0,1165.0,60.0,$1033,$1165,$821
2011,6037603302,Census Tract 6033.02,Torrance,Los Angeles County,California,Torrance,853.0,37.0,990.0,76.0,1203.0,80.0,$990,$1203,$853
2011,6037620602,Census Tract 6206.02,Torrance,Los Angeles County,California,Torrance,1326.0,210.0,1736.0,193.0,2001.0,,$1736,Not available. Exceeds $2000!,$1326
2011,6037621400,Census Tract 6214,Torrance,Los Angeles County,California,Torrance,1204.0,78.0,1592.0,177.0,1915.0,124.0,$1592,$1915,$1204
2011,6037650001,Census Tract 6500.01,Torrance,Los Angeles County,California,Torrance,403.0,390.0,993.0,291.0,1628.0,376.0,$993,$1628,$403
2011,6037650003,Census Tract 6500.03,Torrance,Los Angeles County,California,Torrance,864.0,98.0,990.0,95.0,1309.0,195.0,$990,$1309,$864
2011,6037650004,Census Tract 6500.04,Torrance,Los Angeles County,California,Torrance,1069.0,63.0,1254.0,86.0,1469.0,117.0,$1254,$1469,$1069
2011,6037650101,Census Tract 6501.01,Torrance,Los Angeles County,California,Torrance,1053.0,94.0,1193.0,128.0,1446.0,393.0,$1193,$1446,$1053
2011,6037650102,Census Tract 6501.02,Torrance,Los Angeles County,California,Torrance,1090.0,304.0,1459.0,172.0,1802.0,140.0,$1459,$1802,$1090
2011,6037650200,Census Tract 6502,Torrance,Los Angeles County,California,Torrance,1304.0,87.0,1524.0,249.0,1977.0,318.0,$1524,$1977,$1304
2011,6037650300,Census Tract 6503,Torrance,Los Angeles County,California,Torrance,869.0,79.0,1307.0,148.0,1770.0,141.0,$1307,$1770,$869
2011,6037650401,Census Tract 6504.01,Torrance,Los Angeles County,California,Torrance,1293.0,162.0,1593.0,235.0,1981.0,292.0,$1593,$1981,$1293
2011,6037650501,Census Tract 6505.01,Torrance,Los Angeles County,California,Torrance,888.0,1444.0,1789.0,541.0,2001.0,,$1789,Not available. Exceeds $2000!,$888
2011,6037650502,Census Tract 6505.02,Torrance,Los Angeles County,California,Torrance,1468.0,131.0,1690.0,102.0,1909.0,73.0,$1690,$1909,$1468
2011,6037650602,Census Tract 6506.02,Torrance,Los Angeles County,California,Torrance,1133.0,54.0,1364.0,61.0,1687.0,120.0,$1364,$1687,$1133
2011,6037650603,Census Tract 6506.03,Torrance,Los Angeles County,California,Torrance,1001.0,228.0,1280.0,107.0,1452.0,88.0,$1280,$1452,$1001
2011,6037650604,Census Tract 6506.04,Torrance,Los Angeles County,California,Torrance,956.0,52.0,1157.0,44.0,1389.0,47.0,$1157,$1389,$956
2011,6037650605,Census Tract 6506.05,Torrance,Los Angeles County,California,Torrance,1168.0,97.0,1359.0,46.0,1539.0,158.0,$1359,$1539,$1168
2011,6037650701,Census Tract 6507.01,Torrance,Los Angeles County,California,Torrance,959.0,728.0,1719.0,1025.0,2001.0,,$1719,Not available. Exceeds $2000!,$959
2011,6037650702,Census Tract 6507.02,Torrance,Los Angeles County,California,Torrance,1603.0,881.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1603
2011,6037650800,Census Tract 6508,Torrance,Los Angeles County,California,Torrance,1504.0,257.0,1892.0,204.0,2001.0,,$1892,Not available. Exceeds $2000!,$1504
2011,6037650901,Census Tract 6509.01,Torrance,Los Angeles County,California,Torrance,809.0,57.0,1092.0,105.0,1498.0,160.0,$1092,$1498,$809
2011,6037650902,Census Tract 6509.02,Torrance,Los Angeles County,California,Torrance,1075.0,68.0,1274.0,96.0,1471.0,124.0,$1274,$1471,$1075
2011,6037651001,Census Tract 6510.01,Torrance,Los Angeles County,California,Torrance,946.0,260.0,1352.0,105.0,1728.0,573.0,$1352,$1728,$946
2011,6037651002,Census Tract 6510.02,Torrance,Los Angeles County,California,Torrance,977.0,67.0,1213.0,204.0,1719.0,135.0,$1213,$1719,$977
2011,6037651101,Census Tract 6511.01,Torrance,Los Angeles County,California,Torrance,1412.0,121.0,1660.0,73.0,1876.0,60.0,$1660,$1876,$1412
2011,6037651102,Census Tract 6511.02,Torrance,Los Angeles County,California,Torrance,965.0,93.0,1171.0,66.0,1409.0,76.0,$1171,$1409,$965
2011,6037651201,Census Tract 6512.01,Torrance,Los Angeles County,California,Torrance,1138.0,173.0,1594.0,598.0,2001.0,,$1594,Not available. Exceeds $2000!,$1138
2011,6037651221,Census Tract 6512.21,Torrance,Los Angeles County,California,Torrance,1013.0,76.0,1153.0,49.0,1333.0,89.0,$1153,$1333,$1013
2011,6037651222,Census Tract 6512.22,Torrance,Los Angeles County,California,Torrance,1325.0,50.0,1544.0,68.0,1782.0,40.0,$1544,$1782,$1325
2011,6037651302,Census Tract 6513.02,Torrance,Los Angeles County,California,Torrance,1110.0,215.0,1510.0,1040.0,2001.0,,$1510,Not available. Exceeds $2000!,$1110
2011,6037651304,Census Tract 6513.04,Torrance,Los Angeles County,California,Torrance,1411.0,102.0,1685.0,78.0,1937.0,79.0,$1685,$1937,$1411
2011,6037651401,Census Tract 6514.01,Torrance,Los Angeles County,California,Torrance,656.0,46.0,1288.0,542.0,1663.0,546.0,$1288,$1663,$656
2011,6037651402,Census Tract 6514.02,Torrance,Los Angeles County,California,Torrance,971.0,52.0,1223.0,181.0,1760.0,255.0,$1223,$1760,$971
2011,6037980005,Census Tract 9800.05,Torrance,Los Angeles County,California,Torrance,,,,,,,Not Available!,Not Available!,Not Available!
2012,6037603200,Census Tract 6032,Torrance,Los Angeles County,California,Torrance,728.0,128.0,892.0,190.0,1152.0,102.0,$892,$1152,$728
2012,6037603302,Census Tract 6033.02,Torrance,Los Angeles County,California,Torrance,856.0,53.0,1014.0,85.0,1224.0,91.0,$1014,$1224,$856
2012,6037620602,Census Tract 6206.02,Torrance,Los Angeles County,California,Torrance,1305.0,211.0,1651.0,197.0,2001.0,,$1651,Not available. Exceeds $2000!,$1305
2012,6037621400,Census Tract 6214,Torrance,Los Angeles County,California,Torrance,1255.0,105.0,1629.0,122.0,1939.0,106.0,$1629,$1939,$1255
2012,6037650001,Census Tract 6500.01,Torrance,Los Angeles County,California,Torrance,438.0,774.0,1053.0,279.0,1801.0,703.0,$1053,$1801,$438
2012,6037650003,Census Tract 6500.03,Torrance,Los Angeles County,California,Torrance,841.0,46.0,996.0,255.0,1388.0,86.0,$996,$1388,$841
2012,6037650004,Census Tract 6500.04,Torrance,Los Angeles County,California,Torrance,1048.0,52.0,1197.0,64.0,1434.0,143.0,$1197,$1434,$1048
2012,6037650101,Census Tract 6501.01,Torrance,Los Angeles County,California,Torrance,1067.0,45.0,1172.0,62.0,1377.0,414.0,$1172,$1377,$1067
2012,6037650102,Census Tract 6501.02,Torrance,Los Angeles County,California,Torrance,1269.0,268.0,1599.0,149.0,1871.0,141.0,$1599,$1871,$1269
2012,6037650200,Census Tract 6502,Torrance,Los Angeles County,California,Torrance,1348.0,140.0,1645.0,131.0,1923.0,163.0,$1645,$1923,$1348
2012,6037650300,Census Tract 6503,Torrance,Los Angeles County,California,Torrance,867.0,108.0,1294.0,123.0,1745.0,182.0,$1294,$1745,$867
2012,6037650401,Census Tract 6504.01,Torrance,Los Angeles County,California,Torrance,1276.0,217.0,1597.0,249.0,1931.0,295.0,$1597,$1931,$1276
2012,6037650501,Census Tract 6505.01,Torrance,Los Angeles County,California,Torrance,859.0,1446.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$859
2012,6037650502,Census Tract 6505.02,Torrance,Los Angeles County,California,Torrance,1544.0,123.0,1822.0,133.0,2001.0,,$1822,Not available. Exceeds $2000!,$1544
2012,6037650602,Census Tract 6506.02,Torrance,Los Angeles County,California,Torrance,1139.0,102.0,1411.0,68.0,1774.0,106.0,$1411,$1774,$1139
2012,6037650603,Census Tract 6506.03,Torrance,Los Angeles County,California,Torrance,1008.0,115.0,1234.0,131.0,1563.0,189.0,$1234,$1563,$1008
2012,6037650604,Census Tract 6506.04,Torrance,Los Angeles County,California,Torrance,1015.0,50.0,1233.0,54.0,1431.0,36.0,$1233,$1431,$1015
2012,6037650605,Census Tract 6506.05,Torrance,Los Angeles County,California,Torrance,1144.0,68.0,1343.0,82.0,1606.0,198.0,$1343,$1606,$1144
2012,6037650701,Census Tract 6507.01,Torrance,Los Angeles County,California,Torrance,499.0,1628.0,1903.0,412.0,2001.0,,$1903,Not available. Exceeds $2000!,$499
2012,6037650702,Census Tract 6507.02,Torrance,Los Angeles County,California,Torrance,1369.0,807.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1369
2012,6037650800,Census Tract 6508,Torrance,Los Angeles County,California,Torrance,1399.0,155.0,1985.0,317.0,2001.0,,$1985,Not available. Exceeds $2000!,$1399
2012,6037650901,Census Tract 6509.01,Torrance,Los Angeles County,California,Torrance,866.0,68.0,1153.0,83.0,1529.0,191.0,$1153,$1529,$866
2012,6037650902,Census Tract 6509.02,Torrance,Los Angeles County,California,Torrance,1058.0,63.0,1247.0,91.0,1474.0,195.0,$1247,$1474,$1058
2012,6037651001,Census Tract 6510.01,Torrance,Los Angeles County,California,Torrance,897.0,135.0,1334.0,128.0,1719.0,430.0,$1334,$1719,$897
2012,6037651002,Census Tract 6510.02,Torrance,Los Angeles County,California,Torrance,1048.0,89.0,1277.0,196.0,1783.0,135.0,$1277,$1783,$1048
2012,6037651101,Census Tract 6511.01,Torrance,Los Angeles County,California,Torrance,1365.0,78.0,1621.0,90.0,1863.0,71.0,$1621,$1863,$1365
2012,6037651102,Census Tract 6511.02,Torrance,Los Angeles County,California,Torrance,1016.0,58.0,1222.0,76.0,1496.0,133.0,$1222,$1496,$1016
2012,6037651201,Census Tract 6512.01,Torrance,Los Angeles County,California,Torrance,1148.0,155.0,1407.0,397.0,2001.0,,$1407,Not available. Exceeds $2000!,$1148
2012,6037651221,Census Tract 6512.21,Torrance,Los Angeles County,California,Torrance,1029.0,49.0,1181.0,47.0,1390.0,72.0,$1181,$1390,$1029
2012,6037651222,Census Tract 6512.22,Torrance,Los Angeles County,California,Torrance,1287.0,58.0,1504.0,72.0,1752.0,40.0,$1504,$1752,$1287
2012,6037651302,Census Tract 6513.02,Torrance,Los Angeles County,California,Torrance,1146.0,189.0,1418.0,725.0,2001.0,,$1418,Not available. Exceeds $2000!,$1146
2012,6037651304,Census Tract 6513.04,Torrance,Los Angeles County,California,Torrance,1384.0,107.0,1644.0,93.0,1890.0,81.0,$1644,$1890,$1384
2012,6037651401,Census Tract 6514.01,Torrance,Los Angeles County,California,Torrance,684.0,42.0,973.0,474.0,1695.0,730.0,$973,$1695,$684
2012,6037651402,Census Tract 6514.02,Torrance,Los Angeles County,California,Torrance,1041.0,140.0,1343.0,133.0,1766.0,324.0,$1343,$1766,$1041
2012,6037980005,Census Tract 9800.05,Torrance,Los Angeles County,California,Torrance,,,,,,,Not Available!,Not Available!,Not Available!
2013,6037603200,Census Tract 6032,Torrance,Los Angeles County,California,Torrance,874.0,99.0,995.0,116.0,1189.0,168.0,$995,$1189,$874
2013,6037603302,Census Tract 6033.02,Torrance,Los Angeles County,California,Torrance,902.0,56.0,1024.0,76.0,1238.0,91.0,$1024,$1238,$902
2013,6037620602,Census Tract 6206.02,Torrance,Los Angeles County,California,Torrance,1260.0,269.0,1614.0,155.0,1895.0,116.0,$1614,$1895,$1260
2013,6037621400,Census Tract 6214,Torrance,Los Angeles County,California,Torrance,1238.0,91.0,1609.0,117.0,1918.0,102.0,$1609,$1918,$1238
2013,6037650001,Census Tract 6500.01,Torrance,Los Angeles County,California,Torrance,665.0,529.0,1117.0,202.0,1796.0,805.0,$1117,$1796,$665
2013,6037650003,Census Tract 6500.03,Torrance,Los Angeles County,California,Torrance,840.0,26.0,1027.0,142.0,1329.0,87.0,$1027,$1329,$840
