YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,846.0,265.0,1128.0,145.0,1393.0,885.0,$1128,$1393,$846
2011,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,749.0,307.0,1153.0,345.0,1770.0,687.0,$1153,$1770,$749
2012,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,757.0,99.0,1125.0,622.0,1556.0,648.0,$1125,$1556,$757
2013,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,761.0,103.0,918.0,404.0,1457.0,219.0,$918,$1457,$761
2014,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,676.0,54.0,900.0,363.0,1443.0,344.0,$900,$1443,$676
2015,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,645.0,46.0,744.0,287.0,1657.0,439.0,$744,$1657,$645
2016,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,649.0,61.0,957.0,285.0,1504.0,430.0,$957,$1504,$649
2017,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,638.0,214.0,1000.0,305.0,1556.0,472.0,$1000,$1556,$638
2018,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,623.0,231.0,1091.0,472.0,1618.0,602.0,$1091,$1618,$623
2019,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,1093.0,162.0,1412.0,451.0,1910.0,345.0,$1412,$1910,$1093
2020,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,1116.0,61.0,1262.0,198.0,1672.0,350.0,$1262,$1672,$1116
2021,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,1251.0,342.0,1390.0,102.0,1634.0,362.0,$1390,$1634,$1251
2022,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,1263.0,144.0,1392.0,83.0,1610.0,359.0,$1392,$1610,$1263
2023,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,1119.0,88.0,1281.0,176.0,1565.0,284.0,$1281,$1565,$1119
