YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,,,1978.0,648.0,2271.0,147.0,$1978,$2271,Not Available!,1
2021,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,1277.0,200.0,1576.0,559.0,2187.0,177.0,$1576,$2187,$1277,1
2021,6037407501,Census Tract 4075.01,Valinda,Los Angeles County,California,Valinda,1277.0,259.0,1653.0,99.0,1885.0,82.0,$1653,$1885,$1277,1
2021,6037407502,Census Tract 4075.02,Valinda,Los Angeles County,California,Valinda,1374.0,63.0,1574.0,177.0,1900.0,158.0,$1574,$1900,$1374,1
2021,6037407801,Census Tract 4078.01,Valinda,Los Angeles County,California,Valinda,1375.0,545.0,1837.0,470.0,2246.0,248.0,$1837,$2246,$1375,1
2021,6037407802,Census Tract 4078.02,Valinda,Los Angeles County,California,Valinda,1621.0,158.0,1935.0,243.0,2264.0,218.0,$1935,$2264,$1621,1
2021,6037407901,Census Tract 4079.01,Valinda,Los Angeles County,California,Valinda,1485.0,228.0,1824.0,323.0,2162.0,276.0,$1824,$2162,$1485,1
2021,6037408003,Census Tract 4080.03,Valinda,Los Angeles County,California,Valinda,1599.0,76.0,1776.0,70.0,1953.0,89.0,$1776,$1953,$1599,1
2021,6037408004,Census Tract 4080.04,Valinda,Los Angeles County,California,Valinda,1595.0,32.0,1746.0,26.0,1896.0,28.0,$1746,$1896,$1595,1
2012,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,1257.0,517.0,1368.0,59.0,1479.0,354.0,$1368,$1479,$1257,1
2012,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,1056.0,75.0,1222.0,126.0,1463.0,176.0,$1222,$1463,$1056,1
2012,6037407501,Census Tract 4075.01,Valinda,Los Angeles County,California,Valinda,1077.0,98.0,1316.0,87.0,1492.0,127.0,$1316,$1492,$1077,1
2012,6037407502,Census Tract 4075.02,Valinda,Los Angeles County,California,Valinda,715.0,327.0,960.0,259.0,1229.0,147.0,$960,$1229,$715,1
2012,6037407801,Census Tract 4078.01,Valinda,Los Angeles County,California,Valinda,909.0,556.0,1282.0,588.0,1510.0,377.0,$1282,$1510,$909,1
2012,6037407802,Census Tract 4078.02,Valinda,Los Angeles County,California,Valinda,852.0,263.0,1370.0,674.0,1701.0,192.0,$1370,$1701,$852,1
2012,6037407900,Census Tract 4079,Valinda,Los Angeles County,California,Valinda,445.0,691.0,1047.0,233.0,1428.0,429.0,$1047,$1428,$445,1
2012,6037408003,Census Tract 4080.03,Valinda,Los Angeles County,California,Valinda,1292.0,458.0,1397.0,99.0,1510.0,408.0,$1397,$1510,$1292,1
2013,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,873.0,647.0,1404.0,465.0,1757.0,342.0,$1404,$1757,$873,1
2013,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,1091.0,79.0,1290.0,154.0,1604.0,201.0,$1290,$1604,$1091,1
2013,6037407501,Census Tract 4075.01,Valinda,Los Angeles County,California,Valinda,1113.0,121.0,1351.0,84.0,1577.0,191.0,$1351,$1577,$1113,1
2013,6037407502,Census Tract 4075.02,Valinda,Los Angeles County,California,Valinda,742.0,147.0,1068.0,150.0,1336.0,276.0,$1068,$1336,$742,1
2013,6037407801,Census Tract 4078.01,Valinda,Los Angeles County,California,Valinda,982.0,318.0,1301.0,395.0,1578.0,416.0,$1301,$1578,$982,1
2013,6037407802,Census Tract 4078.02,Valinda,Los Angeles County,California,Valinda,873.0,661.0,1560.0,546.0,1780.0,126.0,$1560,$1780,$873,1
2013,6037407900,Census Tract 4079,Valinda,Los Angeles County,California,Valinda,443.0,655.0,1148.0,249.0,1515.0,447.0,$1148,$1515,$443,1
2013,6037408003,Census Tract 4080.03,Valinda,Los Angeles County,California,Valinda,1173.0,273.0,1347.0,143.0,1478.0,174.0,$1347,$1478,$1173,1
2014,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,857.0,282.0,1551.0,980.0,1913.0,329.0,$1551,$1913,$857,1
2014,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,1088.0,97.0,1337.0,232.0,1699.0,133.0,$1337,$1699,$1088,1
2014,6037407501,Census Tract 4075.01,Valinda,Los Angeles County,California,Valinda,1073.0,112.0,1313.0,85.0,1484.0,128.0,$1313,$1484,$1073,1
2014,6037407502,Census Tract 4075.02,Valinda,Los Angeles County,California,Valinda,788.0,244.0,1174.0,181.0,1546.0,271.0,$1174,$1546,$788,1
2014,6037407801,Census Tract 4078.01,Valinda,Los Angeles County,California,Valinda,938.0,183.0,1202.0,457.0,1605.0,347.0,$1202,$1605,$938,1
2014,6037407802,Census Tract 4078.02,Valinda,Los Angeles County,California,Valinda,870.0,400.0,1539.0,497.0,1769.0,121.0,$1539,$1769,$870,1
2014,6037407900,Census Tract 4079,Valinda,Los Angeles County,California,Valinda,1048.0,282.0,1244.0,417.0,1834.0,377.0,$1244,$1834,$1048,1
2014,6037408003,Census Tract 4080.03,Valinda,Los Angeles County,California,Valinda,1144.0,213.0,1338.0,136.0,1482.0,193.0,$1338,$1482,$1144,1
2023,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,2033.0,385.0,2538.0,295.0,2813.0,155.0,$2538,$2813,$2033,1
2023,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,1081.0,138.0,1307.0,210.0,2011.0,693.0,$1307,$2011,$1081,1
