YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037980016,Census Tract 9800.16,Vernon,Los Angeles County,California,Vernon,981.0,95.0,1231.0,157.0,1400.0,82.0,$1231,$1400,$981,1
2012,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,457.0,63.0,701.0,158.0,890.0,71.0,$701,$890,$457,1
2012,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,356.0,79.0,689.0,77.0,860.0,33.0,$689,$860,$356,1
2012,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,678.0,47.0,930.0,161.0,1187.0,125.0,$930,$1187,$678,1
2012,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,308.0,218.0,818.0,278.0,1175.0,175.0,$818,$1175,$308,1
2012,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,356.0,653.0,863.0,349.0,1098.0,103.0,$863,$1098,$356,1
2012,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,672.0,76.0,771.0,43.0,899.0,162.0,$771,$899,$672,1
2012,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,705.0,95.0,884.0,62.0,1070.0,112.0,$884,$1070,$705,1
2013,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,431.0,62.0,689.0,108.0,885.0,55.0,$689,$885,$431,1
2013,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,392.0,91.0,696.0,104.0,875.0,42.0,$696,$875,$392,1
2013,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,649.0,35.0,776.0,79.0,1105.0,140.0,$776,$1105,$649,1
2013,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,347.0,242.0,857.0,144.0,1238.0,193.0,$857,$1238,$347,1
2013,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,383.0,105.0,825.0,777.0,1071.0,431.0,$825,$1071,$383,1
2013,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,709.0,69.0,832.0,30.0,963.0,64.0,$832,$963,$709,1
2013,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,801.0,150.0,899.0,105.0,1148.0,98.0,$899,$1148,$801,1
2014,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,429.0,84.0,771.0,64.0,979.0,91.0,$771,$979,$429,1
2014,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,386.0,39.0,674.0,88.0,870.0,54.0,$674,$870,$386,1
2014,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,676.0,31.0,811.0,82.0,1162.0,159.0,$811,$1162,$676,1
2014,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,297.0,114.0,713.0,124.0,1176.0,162.0,$713,$1176,$297,1
2014,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,463.0,217.0,807.0,679.0,875.0,64.0,$807,$875,$463,1
2014,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,753.0,44.0,852.0,38.0,1026.0,138.0,$852,$1026,$753,1
2014,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,734.0,117.0,888.0,63.0,1146.0,73.0,$888,$1146,$734,1
2023,6037980016,Census Tract 9800.16,Vernon,Los Angeles County,California,Vernon,1076.0,96.0,1280.0,87.0,1438.0,53.0,$1280,$1438,$1076,1
2011,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,444.0,105.0,704.0,183.0,857.0,57.0,$704,$857,$444,1
2011,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,385.0,148.0,725.0,181.0,876.0,41.0,$725,$876,$385,1
2011,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,679.0,46.0,864.0,108.0,1190.0,285.0,$864,$1190,$679,1
2011,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,415.0,280.0,796.0,322.0,1103.0,139.0,$796,$1103,$415,1
2011,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,375.0,617.0,850.0,234.0,950.0,66.0,$850,$950,$375,1
2011,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,646.0,92.0,742.0,26.0,858.0,56.0,$742,$858,$646,1
2011,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,693.0,72.0,865.0,75.0,1000.0,122.0,$865,$1000,$693,1
2015,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,409.0,100.0,817.0,89.0,1019.0,76.0,$817,$1019,$409,1
2015,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,412.0,43.0,709.0,62.0,858.0,39.0,$709,$858,$412,1
2015,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,708.0,54.0,897.0,102.0,1153.0,93.0,$897,$1153,$708,1
2015,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,375.0,301.0,903.0,102.0,1240.0,155.0,$903,$1240,$375,1
2015,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,363.0,196.0,483.0,386.0,917.0,247.0,$483,$917,$363,1
2015,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,771.0,39.0,879.0,35.0,1093.0,131.0,$879,$1093,$771,1
2015,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,807.0,90.0,915.0,60.0,1123.0,82.0,$915,$1123,$807,1
2010,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,498.0,135.0,716.0,70.0,840.0,81.0,$716,$840,$498,1
2010,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,392.0,105.0,656.0,77.0,854.0,44.0,$656,$854,$392,1
2010,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,733.0,75.0,891.0,100.0,1226.0,237.0,$891,$1226,$733,1
2010,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,569.0,264.0,794.0,195.0,898.0,296.0,$794,$898,$569,1
2010,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,543.0,431.0,837.0,117.0,892.0,67.0,$837,$892,$543,1
2010,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,635.0,105.0,753.0,39.0,853.0,36.0,$753,$853,$635,1
2010,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,688.0,62.0,875.0,83.0,1038.0,135.0,$875,$1038,$688,1
2020,6037980016,Census Tract 9800.16,Vernon,Los Angeles County,California,Vernon,893.0,117.0,1066.0,60.0,1179.0,37.0,$1066,$1179,$893,1
2016,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,461.0,42.0,848.0,49.0,1055.0,90.0,$848,$1055,$461,1
2016,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,452.0,63.0,733.0,46.0,884.0,45.0,$733,$884,$452,1
2016,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,795.0,72.0,937.0,78.0,1154.0,82.0,$937,$1154,$795,1
2016,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,308.0,163.0,876.0,160.0,1149.0,156.0,$876,$1149,$308,1
2016,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,425.0,144.0,525.0,308.0,900.0,352.0,$525,$900,$425,1
2016,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,781.0,34.0,906.0,60.0,1211.0,171.0,$906,$1211,$781,1
2016,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,821.0,57.0,958.0,80.0,1155.0,66.0,$958,$1155,$821,1
2018,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,507.0,73.0,928.0,39.0,1178.0,86.0,$928,$1178,$507,1
2018,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,426.0,142.0,754.0,90.0,947.0,43.0,$754,$947,$426,1
2018,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,864.0,62.0,1025.0,109.0,1286.0,135.0,$1025,$1286,$864,1
2018,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,664.0,64.0,934.0,91.0,1187.0,78.0,$934,$1187,$664,1
2018,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,563.0,235.0,750.0,237.0,930.0,69.0,$750,$930,$563,1
2018,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,771.0,76.0,928.0,69.0,1168.0,133.0,$928,$1168,$771,1
2018,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,913.0,34.0,1009.0,72.0,1214.0,93.0,$1009,$1214,$913,1
2022,6037980016,Census Tract 9800.16,Vernon,Los Angeles County,California,Vernon,991.0,159.0,1283.0,93.0,1421.0,51.0,$1283,$1421,$991,1
2017,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,438.0,103.0,857.0,52.0,1036.0,79.0,$857,$1036,$438,1
2017,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,454.0,69.0,754.0,64.0,926.0,49.0,$754,$926,$454,1
2017,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,816.0,55.0,942.0,72.0,1170.0,106.0,$942,$1170,$816,1
2017,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,622.0,116.0,904.0,142.0,1140.0,80.0,$904,$1140,$622,1
2017,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,453.0,69.0,575.0,349.0,915.0,75.0,$575,$915,$453,1
2017,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,791.0,40.0,929.0,58.0,1153.0,110.0,$929,$1153,$791,1
2017,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,887.0,51.0,992.0,63.0,1189.0,79.0,$992,$1189,$887,1
2019,6037205120,Census Tract 2051.20,Vernon,Los Angeles County,California,Vernon,491.0,52.0,913.0,59.0,1165.0,113.0,$913,$1165,$491,1
2019,6037206050,Census Tract 2060.50,Vernon,Los Angeles County,California,Vernon,421.0,135.0,814.0,93.0,958.0,52.0,$814,$958,$421,1
2019,6037532302,Census Tract 5323.02,Vernon,Los Angeles County,California,Vernon,888.0,71.0,1064.0,118.0,1306.0,145.0,$1064,$1306,$888,1
2019,6037532304,Census Tract 5323.04,Vernon,Los Angeles County,California,Vernon,687.0,66.0,1007.0,114.0,1219.0,73.0,$1007,$1219,$687,1
2019,6037532400,Census Tract 5324,Vernon,Los Angeles County,California,Vernon,625.0,158.0,825.0,214.0,913.0,76.0,$825,$913,$625,1
2019,6037532500,Census Tract 5325,Vernon,Los Angeles County,California,Vernon,825.0,62.0,990.0,92.0,1268.0,107.0,$990,$1268,$825,1
2019,6037533401,Census Tract 5334.01,Vernon,Los Angeles County,California,Vernon,933.0,27.0,1036.0,67.0,1185.0,54.0,$1036,$1185,$933,1
