YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2011,6037404501,Census Tract 4045.01,Vincent,Los Angeles County,California,Vincent,966.0,64.0,1080.0,96.0,1217.0,92.0,$1080,$1217,$966
2011,6037404503,Census Tract 4045.03,Vincent,Los Angeles County,California,Vincent,1110.0,225.0,1334.0,226.0,1557.0,289.0,$1334,$1557,$1110
2011,6037405301,Census Tract 4053.01,Vincent,Los Angeles County,California,Vincent,908.0,117.0,974.0,44.0,1191.0,162.0,$974,$1191,$908
2011,6037405400,Census Tract 4054,Vincent,Los Angeles County,California,Vincent,1450.0,412.0,1661.0,97.0,1831.0,49.0,$1661,$1831,$1450
2011,6037405500,Census Tract 4055,Vincent,Los Angeles County,California,Vincent,804.0,122.0,1084.0,270.0,1687.0,192.0,$1084,$1687,$804
2011,6037405701,Census Tract 4057.01,Vincent,Los Angeles County,California,Vincent,1003.0,489.0,1210.0,123.0,1431.0,92.0,$1210,$1431,$1003
2011,6037405702,Census Tract 4057.02,Vincent,Los Angeles County,California,Vincent,901.0,79.0,1079.0,214.0,1334.0,139.0,$1079,$1334,$901
2011,6037405800,Census Tract 4058,Vincent,Los Angeles County,California,Vincent,1022.0,84.0,1196.0,102.0,1384.0,75.0,$1196,$1384,$1022
2012,6037404501,Census Tract 4045.01,Vincent,Los Angeles County,California,Vincent,964.0,41.0,1078.0,99.0,1228.0,110.0,$1078,$1228,$964
2012,6037404503,Census Tract 4045.03,Vincent,Los Angeles County,California,Vincent,904.0,537.0,1259.0,325.0,1486.0,205.0,$1259,$1486,$904
2012,6037405301,Census Tract 4053.01,Vincent,Los Angeles County,California,Vincent,916.0,84.0,1033.0,122.0,1275.0,132.0,$1033,$1275,$916
2012,6037405400,Census Tract 4054,Vincent,Los Angeles County,California,Vincent,1250.0,265.0,1574.0,225.0,1787.0,121.0,$1574,$1787,$1250
2012,6037405500,Census Tract 4055,Vincent,Los Angeles County,California,Vincent,809.0,125.0,982.0,174.0,1632.0,197.0,$982,$1632,$809
2012,6037405701,Census Tract 4057.01,Vincent,Los Angeles County,California,Vincent,1007.0,285.0,1195.0,156.0,1484.0,194.0,$1195,$1484,$1007
2012,6037405702,Census Tract 4057.02,Vincent,Los Angeles County,California,Vincent,929.0,75.0,1226.0,239.0,1438.0,108.0,$1226,$1438,$929
2012,6037405800,Census Tract 4058,Vincent,Los Angeles County,California,Vincent,1104.0,50.0,1251.0,112.0,1467.0,140.0,$1251,$1467,$1104
2013,6037404501,Census Tract 4045.01,Vincent,Los Angeles County,California,Vincent,992.0,64.0,1134.0,88.0,1310.0,138.0,$1134,$1310,$992
2013,6037404503,Census Tract 4045.03,Vincent,Los Angeles County,California,Vincent,968.0,376.0,1238.0,206.0,1439.0,150.0,$1238,$1439,$968
2013,6037405301,Census Tract 4053.01,Vincent,Los Angeles County,California,Vincent,903.0,81.0,985.0,77.0,1233.0,163.0,$985,$1233,$903
2013,6037405400,Census Tract 4054,Vincent,Los Angeles County,California,Vincent,1356.0,314.0,1662.0,192.0,1893.0,189.0,$1662,$1893,$1356
2013,6037405500,Census Tract 4055,Vincent,Los Angeles County,California,Vincent,804.0,180.0,977.0,177.0,1603.0,198.0,$977,$1603,$804
2013,6037405701,Census Tract 4057.01,Vincent,Los Angeles County,California,Vincent,867.0,118.0,996.0,137.0,1205.0,229.0,$996,$1205,$867
2013,6037405702,Census Tract 4057.02,Vincent,Los Angeles County,California,Vincent,939.0,34.0,1155.0,268.0,1469.0,194.0,$1155,$1469,$939
2013,6037405800,Census Tract 4058,Vincent,Los Angeles County,California,Vincent,1115.0,58.0,1277.0,122.0,1491.0,175.0,$1277,$1491,$1115
2014,6037404501,Census Tract 4045.01,Vincent,Los Angeles County,California,Vincent,1042.0,51.0,1148.0,56.0,1262.0,117.0,$1148,$1262,$1042
2014,6037404503,Census Tract 4045.03,Vincent,Los Angeles County,California,Vincent,693.0,498.0,1065.0,142.0,1249.0,163.0,$1065,$1249,$693
