YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037403500,Census Tract 4035,West Covina,Los Angeles County,California,WestCovina,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!
2010,6037403600,Census Tract 4036,West Covina,Los Angeles County,California,WestCovina,891.0,165.0,1184.0,145.0,1426.0,121.0,$1184,$1426,$891
2010,6037405301,Census Tract 4053.01,West Covina,Los Angeles County,California,WestCovina,884.0,87.0,993.0,123.0,1329.0,189.0,$993,$1329,$884
2010,6037405302,Census Tract 4053.02,West Covina,Los Angeles County,California,WestCovina,827.0,174.0,1146.0,189.0,1539.0,279.0,$1146,$1539,$827
2010,6037405400,Census Tract 4054,West Covina,Los Angeles County,California,WestCovina,1168.0,140.0,1387.0,169.0,1664.0,227.0,$1387,$1664,$1168
2010,6037405500,Census Tract 4055,West Covina,Los Angeles County,California,WestCovina,758.0,92.0,966.0,685.0,1742.0,203.0,$966,$1742,$758
2010,6037405600,Census Tract 4056,West Covina,Los Angeles County,California,WestCovina,653.0,800.0,849.0,78.0,1210.0,718.0,$849,$1210,$653
2010,6037406200,Census Tract 4062,West Covina,Los Angeles County,California,WestCovina,744.0,66.0,919.0,55.0,1133.0,78.0,$919,$1133,$744
2010,6037406300,Census Tract 4063,West Covina,Los Angeles County,California,WestCovina,1253.0,121.0,1379.0,52.0,1528.0,189.0,$1379,$1528,$1253
2010,6037406402,Census Tract 4064.02,West Covina,Los Angeles County,California,WestCovina,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!
2010,6037406411,Census Tract 4064.11,West Covina,Los Angeles County,California,WestCovina,995.0,1289.0,1758.0,289.0,2001.0,,$1758,Not available. Exceeds $2000!,$995
2010,6037406412,Census Tract 4064.12,West Covina,Los Angeles County,California,WestCovina,541.0,462.0,908.0,479.0,2001.0,,$908,Not available. Exceeds $2000!,$541
2010,6037406500,Census Tract 4065,West Covina,Los Angeles County,California,WestCovina,954.0,39.0,1111.0,87.0,1332.0,101.0,$1111,$1332,$954
2010,6037406601,Census Tract 4066.01,West Covina,Los Angeles County,California,WestCovina,1193.0,605.0,1372.0,93.0,1499.0,1159.0,$1372,$1499,$1193
2010,6037406602,Census Tract 4066.02,West Covina,Los Angeles County,California,WestCovina,993.0,288.0,1375.0,130.0,1614.0,253.0,$1375,$1614,$993
2010,6037406701,Census Tract 4067.01,West Covina,Los Angeles County,California,WestCovina,1081.0,23.0,1175.0,44.0,1297.0,112.0,$1175,$1297,$1081
2010,6037406702,Census Tract 4067.02,West Covina,Los Angeles County,California,WestCovina,821.0,699.0,1248.0,120.0,1404.0,51.0,$1248,$1404,$821
2010,6037406800,Census Tract 4068,West Covina,Los Angeles County,California,WestCovina,980.0,92.0,1170.0,224.0,1485.0,626.0,$1170,$1485,$980
2010,6037406901,Census Tract 4069.01,West Covina,Los Angeles County,California,WestCovina,646.0,103.0,933.0,242.0,1173.0,120.0,$933,$1173,$646
2010,6037406902,Census Tract 4069.02,West Covina,Los Angeles County,California,WestCovina,250.0,175.0,1257.0,1653.0,1466.0,1416.0,$1257,$1466,$250
2010,6037407400,Census Tract 4074,West Covina,Los Angeles County,California,WestCovina,532.0,709.0,872.0,2206.0,2001.0,,$872,Not available. Exceeds $2000!,$532
2010,6037407801,Census Tract 4078.01,West Covina,Los Angeles County,California,WestCovina,691.0,561.0,1149.0,490.0,1752.0,646.0,$1149,$1752,$691
2010,6037407900,Census Tract 4079,West Covina,Los Angeles County,California,WestCovina,734.0,305.0,1305.0,431.0,1627.0,335.0,$1305,$1627,$734
