YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037700101,Census Tract 7001.01,West Hollywood,Los Angeles County,California,WestHollywood,1276.0,158.0,1727.0,94.0,2288.0,233.0,$1727,$2288,$1276,1
2021,6037700102,Census Tract 7001.02,West Hollywood,Los Angeles County,California,WestHollywood,861.0,319.0,1539.0,181.0,2005.0,253.0,$1539,$2005,$861,1
2021,6037700200,Census Tract 7002,West Hollywood,Los Angeles County,California,WestHollywood,1230.0,246.0,1759.0,185.0,2362.0,204.0,$1759,$2362,$1230,1
2021,6037700300,Census Tract 7003,West Hollywood,Los Angeles County,California,WestHollywood,1300.0,160.0,1768.0,82.0,2255.0,149.0,$1768,$2255,$1300,1
2021,6037700400,Census Tract 7004,West Hollywood,Los Angeles County,California,WestHollywood,1375.0,173.0,2029.0,214.0,2603.0,207.0,$2029,$2603,$1375,1
2021,6037700501,Census Tract 7005.01,West Hollywood,Los Angeles County,California,WestHollywood,1388.0,277.0,1928.0,239.0,2583.0,355.0,$1928,$2583,$1388,1
2021,6037700502,Census Tract 7005.02,West Hollywood,Los Angeles County,California,WestHollywood,1409.0,179.0,1969.0,205.0,2587.0,354.0,$1969,$2587,$1409,1
2012,6037700101,Census Tract 7001.01,West Hollywood,Los Angeles County,California,WestHollywood,663.0,139.0,1099.0,40.0,1406.0,106.0,$1099,$1406,$663,1
2012,6037700102,Census Tract 7001.02,West Hollywood,Los Angeles County,California,WestHollywood,515.0,193.0,1002.0,136.0,1345.0,107.0,$1002,$1345,$515,1
2012,6037700200,Census Tract 7002,West Hollywood,Los Angeles County,California,WestHollywood,976.0,77.0,1229.0,71.0,1670.0,120.0,$1229,$1670,$976,1
2012,6037700300,Census Tract 7003,West Hollywood,Los Angeles County,California,WestHollywood,1005.0,78.0,1315.0,124.0,1750.0,96.0,$1315,$1750,$1005,1
2012,6037700400,Census Tract 7004,West Hollywood,Los Angeles County,California,WestHollywood,997.0,113.0,1387.0,84.0,1898.0,138.0,$1387,$1898,$997,1
2012,6037700501,Census Tract 7005.01,West Hollywood,Los Angeles County,California,WestHollywood,1158.0,142.0,1453.0,137.0,1892.0,140.0,$1453,$1892,$1158,1
2012,6037700502,Census Tract 7005.02,West Hollywood,Los Angeles County,California,WestHollywood,1062.0,90.0,1354.0,97.0,1781.0,162.0,$1354,$1781,$1062,1
2013,6037700101,Census Tract 7001.01,West Hollywood,Los Angeles County,California,WestHollywood,903.0,158.0,1123.0,35.0,1396.0,146.0,$1123,$1396,$903,1
2013,6037700102,Census Tract 7001.02,West Hollywood,Los Angeles County,California,WestHollywood,509.0,252.0,1037.0,142.0,1423.0,132.0,$1037,$1423,$509,1
2013,6037700200,Census Tract 7002,West Hollywood,Los Angeles County,California,WestHollywood,1023.0,73.0,1326.0,69.0,1734.0,126.0,$1326,$1734,$1023,1
2013,6037700300,Census Tract 7003,West Hollywood,Los Angeles County,California,WestHollywood,1008.0,70.0,1355.0,120.0,1753.0,79.0,$1355,$1753,$1008,1
2013,6037700400,Census Tract 7004,West Hollywood,Los Angeles County,California,WestHollywood,1079.0,106.0,1434.0,95.0,1917.0,108.0,$1434,$1917,$1079,1
2013,6037700501,Census Tract 7005.01,West Hollywood,Los Angeles County,California,WestHollywood,1121.0,187.0,1429.0,113.0,1953.0,224.0,$1429,$1953,$1121,1
2013,6037700502,Census Tract 7005.02,West Hollywood,Los Angeles County,California,WestHollywood,1074.0,66.0,1371.0,154.0,1807.0,110.0,$1371,$1807,$1074,1
2014,6037700101,Census Tract 7001.01,West Hollywood,Los Angeles County,California,WestHollywood,920.0,234.0,1163.0,50.0,1467.0,121.0,$1163,$1467,$920,1
2014,6037700102,Census Tract 7001.02,West Hollywood,Los Angeles County,California,WestHollywood,794.0,164.0,1161.0,100.0,1440.0,66.0,$1161,$1440,$794,1
2014,6037700200,Census Tract 7002,West Hollywood,Los Angeles County,California,WestHollywood,1075.0,60.0,1361.0,64.0,1787.0,151.0,$1361,$1787,$1075,1
2014,6037700300,Census Tract 7003,West Hollywood,Los Angeles County,California,WestHollywood,1059.0,65.0,1388.0,133.0,1773.0,82.0,$1388,$1773,$1059,1
2014,6037700400,Census Tract 7004,West Hollywood,Los Angeles County,California,WestHollywood,1140.0,119.0,1473.0,99.0,1892.0,107.0,$1473,$1892,$1140,1
2014,6037700501,Census Tract 7005.01,West Hollywood,Los Angeles County,California,WestHollywood,1176.0,136.0,1436.0,82.0,1896.0,166.0,$1436,$1896,$1176,1
2014,6037700502,Census Tract 7005.02,West Hollywood,Los Angeles County,California,WestHollywood,1079.0,101.0,1420.0,123.0,1848.0,124.0,$1420,$1848,$1079,1
2023,6037700101,Census Tract 7001.01,West Hollywood,Los Angeles County,California,WestHollywood,1570.0,138.0,2081.0,142.0,2601.0,378.0,$2081,$2601,$1570,1
2023,6037700102,Census Tract 7001.02,West Hollywood,Los Angeles County,California,WestHollywood,1036.0,468.0,1765.0,311.0,2673.0,467.0,$1765,$2673,$1036,1
2023,6037700200,Census Tract 7002,West Hollywood,Los Angeles County,California,WestHollywood,1226.0,335.0,2039.0,251.0,2639.0,358.0,$2039,$2639,$1226,1
2023,6037700300,Census Tract 7003,West Hollywood,Los Angeles County,California,WestHollywood,1358.0,175.0,1813.0,112.0,2580.0,297.0,$1813,$2580,$1358,1
2023,6037700400,Census Tract 7004,West Hollywood,Los Angeles County,California,WestHollywood,1442.0,183.0,2019.0,292.0,2829.0,249.0,$2019,$2829,$1442,1
2023,6037700501,Census Tract 7005.01,West Hollywood,Los Angeles County,California,WestHollywood,1445.0,342.0,2097.0,709.0,3452.0,532.0,$2097,$3452,$1445,1
2023,6037700502,Census Tract 7005.02,West Hollywood,Los Angeles County,California,WestHollywood,1571.0,166.0,2135.0,216.0,2912.0,290.0,$2135,$2912,$1571,1
2011,6037700101,Census Tract 7001.01,West Hollywood,Los Angeles County,California,WestHollywood,659.0,169.0,1085.0,48.0,1365.0,91.0,$1085,$1365,$659,1
2011,6037700102,Census Tract 7001.02,West Hollywood,Los Angeles County,California,WestHollywood,585.0,172.0,1050.0,77.0,1321.0,75.0,$1050,$1321,$585,1
2011,6037700200,Census Tract 7002,West Hollywood,Los Angeles County,California,WestHollywood,966.0,90.0,1219.0,58.0,1578.0,108.0,$1219,$1578,$966,1
2011,6037700300,Census Tract 7003,West Hollywood,Los Angeles County,California,WestHollywood,951.0,106.0,1258.0,90.0,1619.0,135.0,$1258,$1619,$951,1
2011,6037700400,Census Tract 7004,West Hollywood,Los Angeles County,California,WestHollywood,956.0,93.0,1349.0,107.0,1827.0,127.0,$1349,$1827,$956,1
2011,6037700501,Census Tract 7005.01,West Hollywood,Los Angeles County,California,WestHollywood,1083.0,179.0,1404.0,115.0,1834.0,175.0,$1404,$1834,$1083,1
2011,6037700502,Census Tract 7005.02,West Hollywood,Los Angeles County,California,WestHollywood,971.0,67.0,1265.0,125.0,1624.0,186.0,$1265,$1624,$971,1
2015,6037700101,Census Tract 7001.01,West Hollywood,Los Angeles County,California,WestHollywood,874.0,310.0,1167.0,39.0,1450.0,82.0,$1167,$1450,$874,1
2015,6037700102,Census Tract 7001.02,West Hollywood,Los Angeles County,California,WestHollywood,801.0,194.0,1074.0,96.0,1390.0,81.0,$1074,$1390,$801,1
