YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037404703,Census Tract 4047.03,West Puente Valley,Los Angeles County,California,WestPuenteValley,906.0,128.0,1011.0,68.0,1148.0,48.0,$1011,$1148,$906
2010,6037406901,Census Tract 4069.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,646.0,103.0,933.0,242.0,1173.0,120.0,$933,$1173,$646
2010,6037406902,Census Tract 4069.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,250.0,175.0,1257.0,1653.0,1466.0,1416.0,$1257,$1466,$250
2010,6037407001,Census Tract 4070.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1017.0,72.0,1110.0,47.0,1203.0,38.0,$1110,$1203,$1017
2010,6037407002,Census Tract 4070.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,1365.0,218.0,1632.0,324.0,1958.0,376.0,$1632,$1958,$1365
2010,6037407301,Census Tract 4073.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1054.0,85.0,1156.0,80.0,1305.0,460.0,$1156,$1305,$1054
2010,6037407302,Census Tract 4073.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,1308.0,322.0,1627.0,255.0,1893.0,186.0,$1627,$1893,$1308
2010,6037407501,Census Tract 4075.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1046.0,74.0,1206.0,103.0,1433.0,138.0,$1206,$1433,$1046
2011,6037404703,Census Tract 4047.03,West Puente Valley,Los Angeles County,California,WestPuenteValley,930.0,43.0,1041.0,72.0,1175.0,48.0,$1041,$1175,$930
2011,6037406901,Census Tract 4069.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,693.0,99.0,941.0,316.0,1333.0,561.0,$941,$1333,$693
2011,6037406902,Census Tract 4069.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,269.0,34.0,735.0,996.0,1470.0,1434.0,$735,$1470,$269
2011,6037407001,Census Tract 4070.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1009.0,91.0,1116.0,63.0,1224.0,94.0,$1116,$1224,$1009
2011,6037407002,Census Tract 4070.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,1508.0,811.0,1778.0,324.0,2001.0,,$1778,Not available. Exceeds $2000!,$1508
2011,6037407301,Census Tract 4073.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1073.0,37.0,1167.0,61.0,1551.0,645.0,$1167,$1551,$1073
2011,6037407302,Census Tract 4073.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,1323.0,209.0,1532.0,259.0,1819.0,189.0,$1532,$1819,$1323
2011,6037407501,Census Tract 4075.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1093.0,90.0,1296.0,108.0,1494.0,149.0,$1296,$1494,$1093
2012,6037404703,Census Tract 4047.03,West Puente Valley,Los Angeles County,California,WestPuenteValley,904.0,49.0,1020.0,73.0,1179.0,56.0,$1020,$1179,$904
2012,6037406901,Census Tract 4069.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,680.0,39.0,983.0,277.0,1356.0,373.0,$983,$1356,$680
2012,6037406902,Census Tract 4069.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,270.0,163.0,715.0,720.0,956.0,437.0,$715,$956,$270
2012,6037407001,Census Tract 4070.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1030.0,53.0,1128.0,49.0,1226.0,101.0,$1128,$1226,$1030
2012,6037407002,Census Tract 4070.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,1514.0,869.0,1769.0,301.0,2001.0,,$1769,Not available. Exceeds $2000!,$1514
2012,6037407301,Census Tract 4073.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1078.0,56.0,1199.0,202.0,1643.0,241.0,$1199,$1643,$1078
2012,6037407302,Census Tract 4073.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,1154.0,119.0,1458.0,327.0,1771.0,179.0,$1458,$1771,$1154
2012,6037407501,Census Tract 4075.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1077.0,98.0,1316.0,87.0,1492.0,127.0,$1316,$1492,$1077
2013,6037404703,Census Tract 4047.03,West Puente Valley,Los Angeles County,California,WestPuenteValley,890.0,52.0,985.0,55.0,1194.0,91.0,$985,$1194,$890
2013,6037406901,Census Tract 4069.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,901.0,239.0,1132.0,171.0,1572.0,405.0,$1132,$1572,$901
2013,6037406902,Census Tract 4069.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,291.0,262.0,789.0,89.0,1552.0,826.0,$789,$1552,$291
2013,6037407001,Census Tract 4070.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,1015.0,78.0,1113.0,49.0,1211.0,51.0,$1113,$1211,$1015
2013,6037407002,Census Tract 4070.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,1637.0,269.0,1878.0,415.0,2001.0,,$1878,Not available. Exceeds $2000!,$1637
