YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037540800,Census Tract 5408,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,344.0,393.0,659.0,62.0,990.0,247.0,$659,$990,$344
2010,6037540901,Census Tract 5409.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,695.0,183.0,889.0,170.0,1600.0,520.0,$889,$1600,$695
2010,6037540902,Census Tract 5409.02,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,536.0,231.0,775.0,93.0,991.0,395.0,$775,$991,$536
2010,6037541001,Census Tract 5410.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,320.0,344.0,340.0,769.0,821.0,960.0,$340,$821,$320
2010,6037541100,Census Tract 5411,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,644.0,240.0,796.0,85.0,981.0,424.0,$796,$981,$644
2010,6037541200,Census Tract 5412,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,322.0,143.0,769.0,215.0,1393.0,152.0,$769,$1393,$322
2010,6037543000,Census Tract 5430,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,725.0,124.0,806.0,45.0,863.0,30.0,$806,$863,$725
2011,6037540800,Census Tract 5408,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,381.0,283.0,671.0,89.0,1100.0,325.0,$671,$1100,$381
2011,6037540901,Census Tract 5409.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,818.0,140.0,1083.0,213.0,1624.0,201.0,$1083,$1624,$818
2011,6037540902,Census Tract 5409.02,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,540.0,259.0,819.0,112.0,1142.0,298.0,$819,$1142,$540
2011,6037541001,Census Tract 5410.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,808.0,219.0,839.0,95.0,869.0,26.0,$839,$869,$808
2011,6037541100,Census Tract 5411,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,788.0,53.0,894.0,121.0,1247.0,418.0,$894,$1247,$788
2011,6037541200,Census Tract 5412,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,379.0,172.0,775.0,190.0,1384.0,127.0,$775,$1384,$379
2011,6037543000,Census Tract 5430,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,801.0,154.0,868.0,43.0,944.0,37.0,$868,$944,$801
2012,6037540800,Census Tract 5408,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,656.0,158.0,906.0,244.0,1317.0,115.0,$906,$1317,$656
2012,6037540901,Census Tract 5409.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,884.0,137.0,1129.0,187.0,1660.0,243.0,$1129,$1660,$884
2012,6037540902,Census Tract 5409.02,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,509.0,232.0,792.0,118.0,1071.0,192.0,$792,$1071,$509
2012,6037541001,Census Tract 5410.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,675.0,923.0,827.0,178.0,864.0,81.0,$827,$864,$675
2012,6037541100,Census Tract 5411,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,777.0,182.0,942.0,125.0,1231.0,642.0,$942,$1231,$777
2012,6037541200,Census Tract 5412,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,391.0,233.0,864.0,664.0,1470.0,195.0,$864,$1470,$391
2012,6037543000,Census Tract 5430,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,767.0,95.0,888.0,62.0,957.0,27.0,$888,$957,$767
2013,6037540800,Census Tract 5408,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,665.0,66.0,750.0,176.0,1119.0,200.0,$750,$1119,$665
2013,6037540901,Census Tract 5409.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,864.0,115.0,1066.0,215.0,1648.0,205.0,$1066,$1648,$864
2013,6037540902,Census Tract 5409.02,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,530.0,464.0,892.0,165.0,1238.0,159.0,$892,$1238,$530
2013,6037541001,Census Tract 5410.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,659.0,730.0,841.0,331.0,1285.0,808.0,$841,$1285,$659
2013,6037541100,Census Tract 5411,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,830.0,48.0,944.0,105.0,1238.0,639.0,$944,$1238,$830
2013,6037541200,Census Tract 5412,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,448.0,451.0,876.0,407.0,1520.0,232.0,$876,$1520,$448
2013,6037543000,Census Tract 5430,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,767.0,152.0,872.0,52.0,977.0,70.0,$872,$977,$767
2014,6037540800,Census Tract 5408,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,703.0,37.0,849.0,172.0,1129.0,190.0,$849,$1129,$703
2014,6037540901,Census Tract 5409.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,904.0,132.0,1116.0,117.0,1526.0,301.0,$1116,$1526,$904
