YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037501001,Census Tract 5010.01,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,956.0,117.0,1083.0,146.0,1214.0,259.0,$1083,$1214,$956
2010,6037501002,Census Tract 5010.02,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,783.0,189.0,1243.0,481.0,1828.0,479.0,$1243,$1828,$783
2010,6037501200,Census Tract 5012,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,1061.0,129.0,1308.0,143.0,1564.0,191.0,$1308,$1564,$1061
2010,6037501400,Census Tract 5014,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,742.0,48.0,915.0,215.0,1201.0,114.0,$915,$1201,$742
2010,6037502100,Census Tract 5021,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,740.0,49.0,976.0,127.0,1265.0,155.0,$976,$1265,$740
2010,6037502200,Census Tract 5022,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,951.0,55.0,1117.0,106.0,1358.0,175.0,$1117,$1358,$951
2010,6037502301,Census Tract 5023.01,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,904.0,338.0,1519.0,561.0,1759.0,114.0,$1519,$1759,$904
2010,6037502302,Census Tract 5023.02,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,848.0,67.0,956.0,33.0,1119.0,97.0,$956,$1119,$848
2011,6037501001,Census Tract 5010.01,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,1031.0,132.0,1170.0,158.0,1361.0,233.0,$1170,$1361,$1031
2011,6037501002,Census Tract 5010.02,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,827.0,356.0,1344.0,326.0,1858.0,421.0,$1344,$1858,$827
2011,6037501200,Census Tract 5012,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,1132.0,131.0,1367.0,85.0,1609.0,193.0,$1367,$1609,$1132
2011,6037501400,Census Tract 5014,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,783.0,66.0,996.0,126.0,1240.0,175.0,$996,$1240,$783
