YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037800324,Census Tract 8003.24,Westlake Village,Los Angeles County,California,WestlakeVillage,2413.0,2000.0,3303.0,293.0,3501.0,,$3303,Not available. Exceeds $3500!,$2413,1
2021,6037800325,Census Tract 8003.25,Westlake Village,Los Angeles County,California,WestlakeVillage,2140.0,258.0,3073.0,1276.0,3501.0,,$3073,Not available. Exceeds $3500!,$2140,1
2021,6037800335,Census Tract 8003.35,Westlake Village,Los Angeles County,California,WestlakeVillage,1911.0,529.0,2458.0,465.0,3501.0,,$2458,Not available. Exceeds $3500!,$1911,1
2021,6037800338,Census Tract 8003.38,Westlake Village,Los Angeles County,California,WestlakeVillage,3042.0,562.0,3364.0,262.0,3501.0,,$3364,Not available. Exceeds $3500!,$3042,1
2012,6037800324,Census Tract 8003.24,Westlake Village,Los Angeles County,California,WestlakeVillage,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2012,6037800325,Census Tract 8003.25,Westlake Village,Los Angeles County,California,WestlakeVillage,1341.0,538.0,1878.0,445.0,2001.0,,$1878,Not available. Exceeds $2000!,$1341,1
2012,6037800326,Census Tract 8003.26,Westlake Village,Los Angeles County,California,WestlakeVillage,1578.0,174.0,1925.0,226.0,2001.0,,$1925,Not available. Exceeds $2000!,$1578,1
2012,6037800331,Census Tract 8003.31,Westlake Village,Los Angeles County,California,WestlakeVillage,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2013,6037800324,Census Tract 8003.24,Westlake Village,Los Angeles County,California,WestlakeVillage,1680.0,635.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1680,1
2013,6037800325,Census Tract 8003.25,Westlake Village,Los Angeles County,California,WestlakeVillage,1309.0,1428.0,1963.0,448.0,2001.0,,$1963,Not available. Exceeds $2000!,$1309,1
2013,6037800326,Census Tract 8003.26,Westlake Village,Los Angeles County,California,WestlakeVillage,1630.0,149.0,1940.0,230.0,2001.0,,$1940,Not available. Exceeds $2000!,$1630,1
2013,6037800331,Census Tract 8003.31,Westlake Village,Los Angeles County,California,WestlakeVillage,1844.0,1472.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1844,1
2014,6037800324,Census Tract 8003.24,Westlake Village,Los Angeles County,California,WestlakeVillage,1727.0,528.0,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,$1727,1
2014,6037800325,Census Tract 8003.25,Westlake Village,Los Angeles County,California,WestlakeVillage,509.0,1433.0,1592.0,390.0,2001.0,,$1592,Not available. Exceeds $2000!,$509,1
2014,6037800326,Census Tract 8003.26,Westlake Village,Los Angeles County,California,WestlakeVillage,1601.0,122.0,1862.0,171.0,2001.0,,$1862,Not available. Exceeds $2000!,$1601,1
2014,6037800331,Census Tract 8003.31,Westlake Village,Los Angeles County,California,WestlakeVillage,1075.0,841.0,1875.0,861.0,2001.0,,$1875,Not available. Exceeds $2000!,$1075,1
2023,6037800324,Census Tract 8003.24,Westlake Village,Los Angeles County,California,WestlakeVillage,2882.0,350.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$2882,1
2023,6037800325,Census Tract 8003.25,Westlake Village,Los Angeles County,California,WestlakeVillage,2081.0,274.0,3171.0,1343.0,3501.0,,$3171,Not available. Exceeds $3500!,$2081,1
2023,6037800335,Census Tract 8003.35,Westlake Village,Los Angeles County,California,WestlakeVillage,2406.0,637.0,2764.0,190.0,3230.0,740.0,$2764,$3230,$2406,1
2023,6037800338,Census Tract 8003.38,Westlake Village,Los Angeles County,California,WestlakeVillage,3118.0,2366.0,3501.0,,3501.0,,Not available. Exceeds $3500!,Not available. Exceeds $3500!,$3118,1
2011,6037800324,Census Tract 8003.24,Westlake Village,Los Angeles County,California,WestlakeVillage,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2011,6037800325,Census Tract 8003.25,Westlake Village,Los Angeles County,California,WestlakeVillage,1340.0,1539.0,1802.0,331.0,2001.0,,$1802,Not available. Exceeds $2000!,$1340,1
2011,6037800326,Census Tract 8003.26,Westlake Village,Los Angeles County,California,WestlakeVillage,1154.0,543.0,1871.0,316.0,2001.0,,$1871,Not available. Exceeds $2000!,$1154,1
2011,6037800331,Census Tract 8003.31,Westlake Village,Los Angeles County,California,WestlakeVillage,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
2015,6037800324,Census Tract 8003.24,Westlake Village,Los Angeles County,California,WestlakeVillage,1713.0,511.0,2245.0,364.0,2667.0,274.0,$2245,$2667,$1713,1
2015,6037800325,Census Tract 8003.25,Westlake Village,Los Angeles County,California,WestlakeVillage,1329.0,219.0,1830.0,730.0,2952.0,728.0,$1830,$2952,$1329,1
2015,6037800326,Census Tract 8003.26,Westlake Village,Los Angeles County,California,WestlakeVillage,1727.0,97.0,1983.0,228.0,2420.0,335.0,$1983,$2420,$1727,1
2015,6037800331,Census Tract 8003.31,Westlake Village,Los Angeles County,California,WestlakeVillage,,,2636.0,345.0,2864.0,142.0,$2636,$2864,Not Available!,1
2010,6037800324,Census Tract 8003.24,Westlake Village,Los Angeles County,California,WestlakeVillage,2001.0,,2001.0,,2001.0,,Not available. Exceeds $2000!,Not available. Exceeds $2000!,Not available. Exceeds $2000!,1
