YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th,dummy
2021,6037600100,Census Tract 6001,Westmont,Los Angeles County,California,Westmont,796.0,130.0,1247.0,116.0,1587.0,186.0,$1247,$1587,$796,1
2021,6037600201,Census Tract 6002.01,Westmont,Los Angeles County,California,Westmont,967.0,89.0,1290.0,103.0,1530.0,154.0,$1290,$1530,$967,1
2021,6037600202,Census Tract 6002.02,Westmont,Los Angeles County,California,Westmont,711.0,382.0,1103.0,159.0,1536.0,169.0,$1103,$1536,$711,1
2021,6037600302,Census Tract 6003.02,Westmont,Los Angeles County,California,Westmont,881.0,267.0,1220.0,176.0,1454.0,157.0,$1220,$1454,$881,1
2021,6037600303,Census Tract 6003.03,Westmont,Los Angeles County,California,Westmont,957.0,69.0,1246.0,309.0,1711.0,88.0,$1246,$1711,$957,1
2021,6037600304,Census Tract 6003.04,Westmont,Los Angeles County,California,Westmont,821.0,138.0,1108.0,122.0,1412.0,89.0,$1108,$1412,$821,1
2021,6037600400,Census Tract 6004,Westmont,Los Angeles County,California,Westmont,,,1055.0,623.0,1706.0,373.0,$1055,$1706,Not Available!,1
2012,6037600100,Census Tract 6001,Westmont,Los Angeles County,California,Westmont,686.0,122.0,882.0,65.0,1112.0,73.0,$882,$1112,$686,1
2012,6037600201,Census Tract 6002.01,Westmont,Los Angeles County,California,Westmont,624.0,108.0,845.0,142.0,1078.0,80.0,$845,$1078,$624,1
2012,6037600202,Census Tract 6002.02,Westmont,Los Angeles County,California,Westmont,707.0,111.0,878.0,48.0,1130.0,44.0,$878,$1130,$707,1
2012,6037600302,Census Tract 6003.02,Westmont,Los Angeles County,California,Westmont,843.0,30.0,920.0,213.0,1371.0,253.0,$920,$1371,$843,1
2012,6037600303,Census Tract 6003.03,Westmont,Los Angeles County,California,Westmont,577.0,124.0,891.0,84.0,1085.0,107.0,$891,$1085,$577,1
2012,6037600304,Census Tract 6003.04,Westmont,Los Angeles County,California,Westmont,577.0,55.0,805.0,135.0,1143.0,315.0,$805,$1143,$577,1
2012,6037600400,Census Tract 6004,Westmont,Los Angeles County,California,Westmont,812.0,450.0,1220.0,254.0,1498.0,429.0,$1220,$1498,$812,1
