YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M,Median,75th,25th
2010,6037408503,Census Tract 4085.03,Whittier,Los Angeles County,California,Whittier,1146.0,648.0,1654.0,649.0,1928.0,306.0,$1654,$1928,$1146
2010,6037433802,Census Tract 4338.02,Whittier,Los Angeles County,California,Whittier,1094.0,83.0,1188.0,607.0,1808.0,1178.0,$1188,$1808,$1094
2010,6037500201,Census Tract 5002.01,Whittier,Los Angeles County,California,Whittier,883.0,1125.0,1891.0,815.0,2001.0,,$1891,Not available. Exceeds $2000!,$883
2010,6037500202,Census Tract 5002.02,Whittier,Los Angeles County,California,Whittier,907.0,149.0,1026.0,113.0,1157.0,83.0,$1026,$1157,$907
2010,6037500300,Census Tract 5003,Whittier,Los Angeles County,California,Whittier,1290.0,408.0,1433.0,206.0,1839.0,576.0,$1433,$1839,$1290
2010,6037501001,Census Tract 5010.01,Whittier,Los Angeles County,California,Whittier,956.0,117.0,1083.0,146.0,1214.0,259.0,$1083,$1214,$956
2010,6037501002,Census Tract 5010.02,Whittier,Los Angeles County,California,Whittier,783.0,189.0,1243.0,481.0,1828.0,479.0,$1243,$1828,$783
2010,6037501200,Census Tract 5012,Whittier,Los Angeles County,California,Whittier,1061.0,129.0,1308.0,143.0,1564.0,191.0,$1308,$1564,$1061
2010,6037501300,Census Tract 5013,Whittier,Los Angeles County,California,Whittier,924.0,104.0,1212.0,170.0,1456.0,143.0,$1212,$1456,$924
2010,6037501400,Census Tract 5014,Whittier,Los Angeles County,California,Whittier,742.0,48.0,915.0,215.0,1201.0,114.0,$915,$1201,$742
2010,6037501501,Census Tract 5015.01,Whittier,Los Angeles County,California,Whittier,1033.0,470.0,1230.0,701.0,1737.0,312.0,$1230,$1737,$1033
2010,6037501503,Census Tract 5015.03,Whittier,Los Angeles County,California,Whittier,872.0,61.0,981.0,35.0,1171.0,62.0,$981,$1171,$872
2010,6037501504,Census Tract 5015.04,Whittier,Los Angeles County,California,Whittier,623.0,42.0,833.0,53.0,1082.0,164.0,$833,$1082,$623
2010,6037501600,Census Tract 5016,Whittier,Los Angeles County,California,Whittier,761.0,69.0,926.0,101.0,1146.0,121.0,$926,$1146,$761
2010,6037501700,Census Tract 5017,Whittier,Los Angeles County,California,Whittier,907.0,110.0,980.0,63.0,1161.0,144.0,$980,$1161,$907
